Model,Features Creator,Intelligence Humanity's Last Exam (Reasoning & Knowledge)
Gemini 3 Pro Preview (high),Google,37%
GPT-5.2 (xhigh),OpenAI,31%
Gemini 3 Flash,Google,35%
Claude Opus 4.5,Anthropic,28%
GPT-5.1 (high),OpenAI,27%
GPT-5 Codex (high),OpenAI,26%
GPT-5 (high),OpenAI,27%
GLM-4.7,Z AI,25%
Kimi K2 Thinking,Kimi,22%
GPT-5.1 Codex (high),OpenAI,23%
GPT-5 (medium),OpenAI,24%
MiMo-V2-Flash,Xiaomi,21%
V3.2,DeepSeek,22%
o3,OpenAI,20%
Grok 4,xAI,24%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,28%
GPT-5 mini (high),OpenAI,20%
Grok 4.1 Fast,xAI,18%
-M2.1,MiniMax,22%
KAT-Coder-Pro V1,KwaiKAT,33%
Claude 4.5 Sonnet,Anthropic,17%
Nova 2.0 Pro Preview (medium),Amazon,9%
GPT-5.1 Codex mini (high),OpenAI,17%
GPT-5 (low),OpenAI,18%
-M2,MiniMax,13%
GPT-5 mini (medium),OpenAI,15%
gpt-oss-120B (high),OpenAI,19%
Grok 4 Fast,xAI,17%
Claude Opus 4.5,Anthropic,13%
Gemini 2.5 Pro,Google,21%
o4-mini (high),OpenAI,18%
Claude 4.1 Opus,Anthropic,12%
V3.2 Speciale,DeepSeek,26%
Nova 2.0 Lite (medium),Amazon,9%
V3.1 Terminus,DeepSeek,15%
Nova 2.0 Pro Preview (low),Amazon,5%
Qwen3 235B A22B 2507,Alibaba,15%
Doubao Seed Code,ByteDance Seed,13%
Grok 3 mini Reasoning (high),xAI,11%
Apriel-v1.6-15B-Thinker,ServiceNow,10%
V3.2 Exp,DeepSeek,14%
Claude 4 Sonnet,Anthropic,10%
Nova 2.0 Omni (medium),Amazon,7%
GLM-4.6,Z AI,13%
Qwen3 Max Thinking,Alibaba,12%
Qwen3 Max,Alibaba,11%
Claude 4.5 Haiku,Anthropic,10%
Gemini 3 Flash,Google,14%
Gemini 2.5 Flash (Sep),Google,13%
Qwen3 VL 235B A22B,Alibaba,10%
Qwen3 Next 80B A3B,Alibaba,12%
Claude 4 Opus,Anthropic,12%
Gemini 2.5 Pro (Mar),Google,17%
V3.1,DeepSeek,13%
ERNIE 5.0 Thinking Preview,Baidu,13%
Gemini 2.5 Pro (May),Google,15%
V3.2,DeepSeek,11%
gpt-oss-20B (high),OpenAI,10%
Magistral Medium 1.2,Mistral,10%
R1 0528,DeepSeek,15%
Qwen3 VL 32B,Alibaba,10%
Nemotron 3 Nano,NVIDIA,10%
Seed-OSS-36B-Instruct,ByteDance Seed,9%
Apriel-v1.5-15B-Thinker,ServiceNow,12%
GLM-4.5,Z AI,12%
Gemini 2.5 Flash,Google,11%
GPT-5 nano (high),OpenAI,8%
o3-mini (high),OpenAI,12%
GLM-4.7,Z AI,6%
Kimi K2 0905,Kimi,6%
Claude 3.7 Sonnet,Anthropic,10%
Claude 4.5 Sonnet,Anthropic,7%
GPT-5 nano (medium),OpenAI,8%
GLM-4.5-Air,Z AI,7%
Nova 2.0 Omni (low),Amazon,4%
Grok Code Fast 1,xAI,8%
Qwen3 Max (Preview),Alibaba,9%
Kimi K2,Kimi,7%
o3-mini,OpenAI,9%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,7%
Gemini 2.5 Flash-Lite (Sep),Google,7%
gpt-oss-120B (low),OpenAI,5%
o1,OpenAI,8%
Nova 2.0 Lite (low),Amazon,4%
Gemini 2.5 Flash (Sep),Google,8%
Qwen3 30B A3B 2507,Alibaba,10%
K2-V2 (high),MBZUAI Institute of Foundation Models,10%
Sonar Reasoning Pro,Perplexity,--
V3.2 Exp,DeepSeek,9%
M1 80k,MiniMax,8%
MiMo-V2-Flash,Xiaomi,8%
Gemini 2.5 Flash,Google,12%
V3.1 Terminus,DeepSeek,8%
Qwen3 235B 2507,Alibaba,11%
Qwen3 VL 30B A3B,Alibaba,9%
Grok 3,xAI,5%
Llama Nemotron Super 49B v1.5,NVIDIA,7%
Motif-2-12.7B,Motif Technologies,8%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,7%
Ling-1T,InclusionAI,7%
V3.1,DeepSeek,6%
GLM-4.6,Z AI,5%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,6%
Claude 4 Sonnet,Anthropic,4%
gpt-oss-20B (low),OpenAI,5%
Qwen3 VL 235B A22B,Alibaba,6%
R1 (Jan),DeepSeek,9%
Mi:dm K 2.5 Pro Preview,Korea Telecom,9%
GPT-5 (minimal),OpenAI,5%
GPT-4.1,OpenAI,5%
Qwen3 4B 2507,Alibaba,6%
Magistral Small 1.2,Mistral,6%
GPT-5.1,OpenAI,5%
EXAONE 4.0 32B,LG AI Research,11%
GPT-4.1 mini,OpenAI,5%
Claude 4 Opus,Anthropic,6%
Qwen3 Coder 480B,Alibaba,4%
Nova 2.0 Pro Preview,Amazon,4%
Ring-1T,InclusionAI,10%
GPT-5 (ChatGPT),OpenAI,6%
