Model,Features Creator,Intelligence LiveCodeBench (Coding)
Gemini 3 Pro Preview (high),Google,92%
GPT-5.2 (xhigh),OpenAI,89%
Gemini 3 Flash,Google,91%
Claude Opus 4.5,Anthropic,87%
GPT-5.1 (high),OpenAI,87%
GPT-5 Codex (high),OpenAI,84%
GPT-5 (high),OpenAI,85%
GLM-4.7,Z AI,89%
Kimi K2 Thinking,Kimi,85%
GPT-5.1 Codex (high),OpenAI,85%
GPT-5 (medium),OpenAI,70%
MiMo-V2-Flash,Xiaomi,87%
V3.2,DeepSeek,86%
o3,OpenAI,81%
Grok 4,xAI,82%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,86%
GPT-5 mini (high),OpenAI,84%
Grok 4.1 Fast,xAI,82%
-M2.1,MiniMax,81%
KAT-Coder-Pro V1,KwaiKAT,75%
Claude 4.5 Sonnet,Anthropic,71%
Nova 2.0 Pro Preview (medium),Amazon,73%
GPT-5.1 Codex mini (high),OpenAI,84%
GPT-5 (low),OpenAI,76%
-M2,MiniMax,83%
GPT-5 mini (medium),OpenAI,69%
gpt-oss-120B (high),OpenAI,88%
Grok 4 Fast,xAI,83%
Claude Opus 4.5,Anthropic,74%
Gemini 2.5 Pro,Google,80%
o4-mini (high),OpenAI,86%
Claude 4.1 Opus,Anthropic,65%
V3.2 Speciale,DeepSeek,90%
Nova 2.0 Lite (medium),Amazon,66%
V3.1 Terminus,DeepSeek,80%
Nova 2.0 Pro Preview (low),Amazon,64%
Qwen3 235B A22B 2507,Alibaba,79%
Doubao Seed Code,ByteDance Seed,77%
Grok 3 mini Reasoning (high),xAI,70%
Apriel-v1.6-15B-Thinker,ServiceNow,81%
V3.2 Exp,DeepSeek,79%
Claude 4 Sonnet,Anthropic,66%
Nova 2.0 Omni (medium),Amazon,66%
GLM-4.6,Z AI,70%
Qwen3 Max Thinking,Alibaba,54%
Qwen3 Max,Alibaba,77%
Claude 4.5 Haiku,Anthropic,62%
Gemini 3 Flash,Google,80%
Gemini 2.5 Flash (Sep),Google,71%
Qwen3 VL 235B A22B,Alibaba,65%
Qwen3 Next 80B A3B,Alibaba,78%
Claude 4 Opus,Anthropic,64%
Gemini 2.5 Pro (Mar),Google,78%
V3.1,DeepSeek,78%
ERNIE 5.0 Thinking Preview,Baidu,81%
Gemini 2.5 Pro (May),Google,77%
V3.2,DeepSeek,59%
gpt-oss-20B (high),OpenAI,78%
Magistral Medium 1.2,Mistral,75%
R1 0528,DeepSeek,77%
Qwen3 VL 32B,Alibaba,74%
Nemotron 3 Nano,NVIDIA,74%
Seed-OSS-36B-Instruct,ByteDance Seed,77%
Apriel-v1.5-15B-Thinker,ServiceNow,73%
GLM-4.5,Z AI,74%
Gemini 2.5 Flash,Google,70%
GPT-5 nano (high),OpenAI,79%
o3-mini (high),OpenAI,73%
GLM-4.7,Z AI,56%
Kimi K2 0905,Kimi,61%
Claude 3.7 Sonnet,Anthropic,47%
Claude 4.5 Sonnet,Anthropic,59%
GPT-5 nano (medium),OpenAI,76%
GLM-4.5-Air,Z AI,68%
Nova 2.0 Omni (low),Amazon,59%
Grok Code Fast 1,xAI,66%
Qwen3 Max (Preview),Alibaba,65%
Kimi K2,Kimi,56%
o3-mini,OpenAI,72%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,67%
Gemini 2.5 Flash-Lite (Sep),Google,69%
gpt-oss-120B (low),OpenAI,71%
o1,OpenAI,68%
Nova 2.0 Lite (low),Amazon,47%
Gemini 2.5 Flash (Sep),Google,63%
Qwen3 30B A3B 2507,Alibaba,71%
K2-V2 (high),MBZUAI Institute of Foundation Models,69%
Sonar Reasoning Pro,Perplexity,--
V3.2 Exp,DeepSeek,55%
M1 80k,MiniMax,71%
MiMo-V2-Flash,Xiaomi,40%
Gemini 2.5 Flash,Google,51%
V3.1 Terminus,DeepSeek,53%
Qwen3 235B 2507,Alibaba,52%
Qwen3 VL 30B A3B,Alibaba,70%
Grok 3,xAI,43%
Llama Nemotron Super 49B v1.5,NVIDIA,74%
Motif-2-12.7B,Motif Technologies,65%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,68%
Ling-1T,InclusionAI,68%
V3.1,DeepSeek,58%
GLM-4.6,Z AI,56%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,63%
Claude 4 Sonnet,Anthropic,45%
gpt-oss-20B (low),OpenAI,65%
Qwen3 VL 235B A22B,Alibaba,59%
R1 (Jan),DeepSeek,62%
Mi:dm K 2.5 Pro Preview,Korea Telecom,58%
GPT-5 (minimal),OpenAI,56%
GPT-4.1,OpenAI,46%
Qwen3 4B 2507,Alibaba,64%
Magistral Small 1.2,Mistral,72%
GPT-5.1,OpenAI,49%
EXAONE 4.0 32B,LG AI Research,75%
GPT-4.1 mini,OpenAI,48%
Claude 4 Opus,Anthropic,54%
Qwen3 Coder 480B,Alibaba,59%
Nova 2.0 Pro Preview,Amazon,47%
Ring-1T,InclusionAI,64%
GPT-5 (ChatGPT),OpenAI,54%
Claude 4.5 Haiku,Anthropic,51%
Qwen3 235B,Alibaba,62%
Gemini 2.5 Flash-Lite (Sep),Google,64%
GPT-5 mini (minimal),OpenAI,55%
Hermes 4 405B,Nous Research,69%
Grok 3 Reasoning Beta,xAI,--
V3 0324,DeepSeek,41%
Claude 3.7 Sonnet,Anthropic,39%
Qwen3 VL 32B,Alibaba,51%
GLM-4.6V,Z AI,16%
Nemotron Nano 12B v2 VL,NVIDIA,69%
