Model,Features Creator,Intelligence MMLU-Pro (Reasoning & Knowledge)
Gemini 3 Pro Preview (high),Google,90%
GPT-5.2 (xhigh),OpenAI,87%
Gemini 3 Flash,Google,89%
Claude Opus 4.5,Anthropic,90%
GPT-5.1 (high),OpenAI,87%
GPT-5 Codex (high),OpenAI,87%
GPT-5 (high),OpenAI,87%
GLM-4.7,Z AI,86%
Kimi K2 Thinking,Kimi,85%
GPT-5.1 Codex (high),OpenAI,86%
GPT-5 (medium),OpenAI,87%
MiMo-V2-Flash,Xiaomi,84%
V3.2,DeepSeek,86%
o3,OpenAI,85%
Grok 4,xAI,87%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,90%
GPT-5 mini (high),OpenAI,84%
Grok 4.1 Fast,xAI,85%
-M2.1,MiniMax,88%
KAT-Coder-Pro V1,KwaiKAT,81%
Claude 4.5 Sonnet,Anthropic,88%
Nova 2.0 Pro Preview (medium),Amazon,83%
GPT-5.1 Codex mini (high),OpenAI,82%
GPT-5 (low),OpenAI,86%
-M2,MiniMax,82%
GPT-5 mini (medium),OpenAI,83%
gpt-oss-120B (high),OpenAI,81%
Grok 4 Fast,xAI,85%
Claude Opus 4.5,Anthropic,89%
Gemini 2.5 Pro,Google,86%
o4-mini (high),OpenAI,83%
Claude 4.1 Opus,Anthropic,88%
V3.2 Speciale,DeepSeek,86%
Nova 2.0 Lite (medium),Amazon,81%
V3.1 Terminus,DeepSeek,85%
Nova 2.0 Pro Preview (low),Amazon,82%
Qwen3 235B A22B 2507,Alibaba,84%
Doubao Seed Code,ByteDance Seed,85%
Grok 3 mini Reasoning (high),xAI,83%
Apriel-v1.6-15B-Thinker,ServiceNow,79%
V3.2 Exp,DeepSeek,85%
Claude 4 Sonnet,Anthropic,84%
Nova 2.0 Omni (medium),Amazon,81%
GLM-4.6,Z AI,83%
Qwen3 Max Thinking,Alibaba,82%
Qwen3 Max,Alibaba,84%
Claude 4.5 Haiku,Anthropic,76%
Gemini 3 Flash,Google,88%
Gemini 2.5 Flash (Sep),Google,84%
Qwen3 VL 235B A22B,Alibaba,84%
Qwen3 Next 80B A3B,Alibaba,82%
Claude 4 Opus,Anthropic,87%
Gemini 2.5 Pro (Mar),Google,86%
V3.1,DeepSeek,85%
ERNIE 5.0 Thinking Preview,Baidu,83%
Gemini 2.5 Pro (May),Google,84%
V3.2,DeepSeek,84%
gpt-oss-20B (high),OpenAI,75%
Magistral Medium 1.2,Mistral,82%
R1 0528,DeepSeek,85%
Qwen3 VL 32B,Alibaba,82%
Nemotron 3 Nano,NVIDIA,79%
Seed-OSS-36B-Instruct,ByteDance Seed,82%
Apriel-v1.5-15B-Thinker,ServiceNow,77%
GLM-4.5,Z AI,84%
Gemini 2.5 Flash,Google,83%
GPT-5 nano (high),OpenAI,78%
o3-mini (high),OpenAI,80%
GLM-4.7,Z AI,79%
