Model,Features Creator,Intelligence SciCode (Coding)
Gemini 3 Pro Preview (high),Google,56%
GPT-5.2 (xhigh),OpenAI,52%
Gemini 3 Flash,Google,51%
Claude Opus 4.5,Anthropic,50%
GPT-5.1 (high),OpenAI,43%
GPT-5 Codex (high),OpenAI,41%
GPT-5 (high),OpenAI,43%
GLM-4.7,Z AI,45%
Kimi K2 Thinking,Kimi,42%
GPT-5.1 Codex (high),OpenAI,40%
GPT-5 (medium),OpenAI,41%
MiMo-V2-Flash,Xiaomi,39%
V3.2,DeepSeek,39%
o3,OpenAI,41%
Grok 4,xAI,46%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,50%
GPT-5 mini (high),OpenAI,39%
Grok 4.1 Fast,xAI,44%
-M2.1,MiniMax,41%
KAT-Coder-Pro V1,KwaiKAT,37%
Claude 4.5 Sonnet,Anthropic,45%
Nova 2.0 Pro Preview (medium),Amazon,43%
GPT-5.1 Codex mini (high),OpenAI,43%
GPT-5 (low),OpenAI,39%
-M2,MiniMax,36%
GPT-5 mini (medium),OpenAI,41%
gpt-oss-120B (high),OpenAI,39%
Grok 4 Fast,xAI,44%
Claude Opus 4.5,Anthropic,47%
Gemini 2.5 Pro,Google,43%
o4-mini (high),OpenAI,47%
Claude 4.1 Opus,Anthropic,41%
V3.2 Speciale,DeepSeek,44%
Nova 2.0 Lite (medium),Amazon,37%
V3.1 Terminus,DeepSeek,41%
Nova 2.0 Pro Preview (low),Amazon,39%
Qwen3 235B A22B 2507,Alibaba,42%
Doubao Seed Code,ByteDance Seed,41%
Grok 3 mini Reasoning (high),xAI,41%
Apriel-v1.6-15B-Thinker,ServiceNow,37%
V3.2 Exp,DeepSeek,38%
Claude 4 Sonnet,Anthropic,40%
Nova 2.0 Omni (medium),Amazon,36%
GLM-4.6,Z AI,38%
Qwen3 Max Thinking,Alibaba,39%
Qwen3 Max,Alibaba,38%
Claude 4.5 Haiku,Anthropic,43%
Gemini 3 Flash,Google,50%
Gemini 2.5 Flash (Sep),Google,41%
Qwen3 VL 235B A22B,Alibaba,40%
Qwen3 Next 80B A3B,Alibaba,39%
Claude 4 Opus,Anthropic,40%
Gemini 2.5 Pro (Mar),Google,40%
V3.1,DeepSeek,39%
ERNIE 5.0 Thinking Preview,Baidu,38%
Gemini 2.5 Pro (May),Google,42%
V3.2,DeepSeek,39%
gpt-oss-20B (high),OpenAI,34%
Magistral Medium 1.2,Mistral,39%
R1 0528,DeepSeek,40%
Qwen3 VL 32B,Alibaba,28%
Nemotron 3 Nano,NVIDIA,30%
Seed-OSS-36B-Instruct,ByteDance Seed,37%
Apriel-v1.5-15B-Thinker,ServiceNow,35%
GLM-4.5,Z AI,35%
Gemini 2.5 Flash,Google,39%
GPT-5 nano (high),OpenAI,37%
o3-mini (high),OpenAI,40%
GLM-4.7,Z AI,35%
Kimi K2 0905,Kimi,31%
Claude 3.7 Sonnet,Anthropic,40%
Claude 4.5 Sonnet,Anthropic,43%
GPT-5 nano (medium),OpenAI,34%
GLM-4.5-Air,Z AI,31%
Nova 2.0 Omni (low),Amazon,34%
Grok Code Fast 1,xAI,36%
Qwen3 Max (Preview),Alibaba,37%
Kimi K2,Kimi,35%
o3-mini,OpenAI,40%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,40%
Gemini 2.5 Flash-Lite (Sep),Google,29%
gpt-oss-120B (low),OpenAI,36%
o1,OpenAI,36%
Nova 2.0 Lite (low),Amazon,33%
Gemini 2.5 Flash (Sep),Google,38%
Qwen3 30B A3B 2507,Alibaba,33%
K2-V2 (high),MBZUAI Institute of Foundation Models,29%
Sonar Reasoning Pro,Perplexity,--
V3.2 Exp,DeepSeek,40%
M1 80k,MiniMax,37%
MiMo-V2-Flash,Xiaomi,26%
Gemini 2.5 Flash,Google,36%
V3.1 Terminus,DeepSeek,32%
Qwen3 235B 2507,Alibaba,36%
Qwen3 VL 30B A3B,Alibaba,29%
Grok 3,xAI,37%
Llama Nemotron Super 49B v1.5,NVIDIA,35%
Motif-2-12.7B,Motif Technologies,28%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,31%
Ling-1T,InclusionAI,35%
V3.1,DeepSeek,37%
GLM-4.6,Z AI,33%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,28%
Claude 4 Sonnet,Anthropic,37%
gpt-oss-20B (low),OpenAI,34%
Qwen3 VL 235B A22B,Alibaba,36%
R1 (Jan),DeepSeek,36%
Mi:dm K 2.5 Pro Preview,Korea Telecom,30%
GPT-5 (minimal),OpenAI,39%
GPT-4.1,OpenAI,38%
Qwen3 4B 2507,Alibaba,26%
Magistral Small 1.2,Mistral,35%
GPT-5.1,OpenAI,37%
EXAONE 4.0 32B,LG AI Research,34%
GPT-4.1 mini,OpenAI,40%
Claude 4 Opus,Anthropic,41%
Qwen3 Coder 480B,Alibaba,36%
Nova 2.0 Pro Preview,Amazon,28%
Ring-1T,InclusionAI,37%
GPT-5 (ChatGPT),OpenAI,38%
Claude 4.5 Haiku,Anthropic,34%
Qwen3 235B,Alibaba,40%
Gemini 2.5 Flash-Lite (Sep),Google,28%
GPT-5 mini (minimal),OpenAI,37%
Hermes 4 405B,Nous Research,25%
Grok 3 Reasoning Beta,xAI,--
V3 0324,DeepSeek,36%
Claude 3.7 Sonnet,Anthropic,38%
Qwen3 VL 32B,Alibaba,30%
GLM-4.6V,Z AI,30%
Nemotron Nano 12B v2 VL,NVIDIA,26%
Gemini 2.5 Flash,Google,29%
Gemini 2.5 Flash-Lite,Google,19%
M1 40k,MiniMax,38%
K2-V2 (medium),MBZUAI Institute of Foundation Models,25%
Qwen3 Omni 30B A3B,Alibaba,31%
Ring-flash-2.0,InclusionAI,17%
o1-mini,OpenAI,32%
Hermes 4 70B,Nous Research,34%
Qwen3 32B,Alibaba,35%
Grok 4 Fast,xAI,33%
Llama Nemotron Ultra,NVIDIA,35%
Qwen3 VL 30B A3B,Alibaba,31%
Large 3,Mistral,36%
GPT-4.5 (Preview),OpenAI,--
Olmo 3.1 32B Think,Allen Institute for AI,29%
Ling-flash-2.0,InclusionAI,29%
Grok 4.1 Fast,xAI,30%
QwQ-32B,Alibaba,36%
Solar Pro 2,Upstage,30%
Gemini 2.0 Flash Thinking exp. (Jan),Google,33%
Nemotron Nano 9B V2,NVIDIA,22%
