model_key,name,score,score_value,score_error,n_correct,organization
gpt-5.2-2025-12-11_xhigh-tier1-3,GPT-5.2 (xhigh),40.7% ±2.9%,40.7%,±2.9%,118 / 290,OpenAI
gpt-5.2-2025-12-11_high-tier1-3,GPT-5.2 (high),40.3% ±2.9%,40.3%,±2.9%,117 / 290,OpenAI
gemini-3-pro-preview-tier1-3,Gemini 3 Pro Preview,37.6% ±2.8%,37.6%,±2.8%,109 / 290,Google DeepMind
gpt-5.2-2025-12-11_medium-tier1-3,GPT-5.2 (medium),36.9% ±2.8%,36.9%,±2.8%,107 / 290,OpenAI
gemini-3-flash-preview-tier1-3,Gemini 3 Flash,35.6% ±2.8%,35.6%,±2.8%,103 / 290,Google DeepMind
gpt-5-2025-08-07_high-tier1-3,GPT-5 (high),32.4% ±2.8%,32.4%,±2.8%,94 / 290,OpenAI
gpt-5.1-2025-11-13_high-tier1-3,GPT-5.1 (high),31.0% ±2.7%,31.0%,±2.7%,90 / 290,OpenAI
gemini-2.5-deep-think-2025-08-01-webapp-tier1-3,Gemini 2.5 Deep Think,29.0% ±2.7%,29.0%,±2.7%,84 / 290,"Google,Google DeepMind"
gpt-5-mini-2025-08-07_high-tier1-3,GPT-5 mini (high),27.2% ±2.6%,27.2%,±2.6%,79 / 290,OpenAI
gpt-5-2025-08-07_medium-tier1-3,GPT-5 (medium),27.2% ±2.6%,27.2%,±2.6%,79 / 290,OpenAI
gpt-5.1-2025-11-13_medium-tier1-3,GPT-5.1 (medium),26.9% ±2.6%,26.9%,±2.6%,78 / 290,OpenAI
gpt-5.2-2025-12-11_low-tier1-3,GPT-5.2 (low),26.6% ±2.6%,26.6%,±2.6%,77 / 290,OpenAI
o4-mini-2025-04-16_high-tier1-3,o4-mini (high),24.8% ±2.5%,24.8%,±2.5%,72 / 290,OpenAI
fireworks/deepseek-v3p2-tier1-3,-V3.2,22.1% ±4.1%,22.1%,±4.1%,64 / 290,DeepSeek
moonshotai/Kimi-K2-Thinking-tier1-3,Kimi K2 Thinking,21.4% ±2.4%,21.4%,±2.4%,62 / 290,Moonshot
claude-opus-4-5-20251101-tier1-3,Claude Opus 4.5 (no thinking),20.7% ±2.4%,20.7%,±2.4%,60 / 290,Anthropic
claude-opus-4-5-20251101_32K-tier1-3,Claude Opus 4.5 (32k thinking),20.7% ±2.4%,20.7%,±2.4%,60 / 290,Anthropic
claude-opus-4-5-20251101_16K-tier1-3,Claude Opus 4.5 (16k thinking),20.3% ±2.4%,20.3%,±2.4%,59 / 290,Anthropic
gpt-5-mini-2025-08-07_medium-tier1-3,GPT-5 mini (medium),20.3% ±2.4%,20.3%,±2.4%,59 / 290,OpenAI
grok-4-0709-tier1-3,Grok 4,19.7% ±2.3%,19.7%,±2.3%,57 / 290,xAI
o4-mini-2025-04-16_medium-tier1-3,o4-mini (medium),19.0% ±2.3%,19.0%,±2.3%,55 / 290,OpenAI
o3-2025-04-16_high-tier1-3,o3 (high),18.7% ±2.3%,18.7%,±2.3%,54 / 290,OpenAI
gpt-5.1-2025-11-13_low-tier1-3,GPT-5.1 (low),17.3% ±2.2%,17.3%,±2.2%,50 / 290,OpenAI
o3-2025-04-16_medium-tier1-3,o3 (medium),16.9% ±2.2%,16.9%,±2.2%,49 / 290,OpenAI
claude-sonnet-4-5-20250929_32K-tier1-3,Claude Sonnet 4.5 (32k thinking),15.2% ±2.1%,15.2%,±2.1%,44 / 290,Anthropic
gemini-2.5-pro-tier1-3,Gemini 2.5 Pro (Jun 2025),14.1% ±2.0%,14.1%,±2.0%,41 / 290,Google DeepMind
