Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►2,gemini-3-pro,1489,±13,2679,Google,Proprietary
2,1◄─►14,gemini-3-flash,1463Preliminary,±23,739,Google,Proprietary
3,2◄─►13,claude-opus-4-5-20251101,1458,±14,1862,Anthropic,Proprietary
4,2◄─►13,gemini-2.5-pro,1452,±7,10502,Google,Proprietary
5,2◄─►16,claude-opus-4-5-20251101-thinking-32k,1451,±15,1738,Anthropic,Proprietary
6,2◄─►16,claude-opus-4-1-20250805-thinking-16k,1441,±8,6195,Anthropic,Proprietary
7,2◄─►18,claude-sonnet-4-5-20250929,1441,±10,3635,Anthropic,Proprietary
8,2◄─►26,gemini-3-flash (thinking-minimal),1438Preliminary,±23,745,Google,Proprietary
9,2◄─►18,claude-sonnet-4-5-20250929-thinking-32k,1438,±10,4161,Anthropic,Proprietary
10,2◄─►21,grok-4.1-thinking,1436,±12,2793,xAI,Proprietary
11,2◄─►22,gpt-5.1-high,1435,±13,2358,OpenAI,Proprietary
12,4◄─►18,claude-opus-4-1-20250805,1434,±7,7801,Anthropic,Proprietary
13,2◄─►22,gpt-4.5-preview-2025-02-27,1434,±12,2642,OpenAI,Proprietary
14,2◄─►40,ernie-5.0-preview-1203,1430Preliminary,±28,458,Baidu,Proprietary
15,5◄─►26,grok-4.1,1427,±12,2764,xAI,Proprietary
16,7◄─►26,claude-opus-4-20250514-thinking-16k,1421,±9,4632,Anthropic,Proprietary
17,10◄─►28,chatgpt-4o-latest-20250326,1418,±7,9038,OpenAI,Proprietary
18,13◄─►38,claude-opus-4-20250514,1412,±8,5655,Anthropic,Proprietary
19,13◄─►48,gpt-5.1,1408,±13,2561,OpenAI,Proprietary
20,10◄─►48,-v3.2-thinking,1408,±17,1264,DeepSeek AI,MIT
21,5◄─►67,gpt-5.2,1408Preliminary,±32,348,OpenAI,Proprietary
22,11◄─►48,grok-4-1-fast-reasoning,1408,±14,1781,xAI,Proprietary
23,10◄─►54,ernie-5.0-preview-1103,1407,±19,1028,Baidu,Proprietary
24,7◄─►67,-v3.1-terminus,1405,±27,452,DeepSeek AI,MIT
25,13◄─►51,-v3.1-thinking,1404,±15,1700,DeepSeek,MIT
26,13◄─►57,-v3.2-exp,1401,±15,1522,DeepSeek AI,MIT
27,17◄─►51,glm-4.6,1400,±10,3585,Z.ai,MIT
28,17◄─►48,gpt-4.1-2025-04-14,1399,±8,6836,OpenAI,Proprietary
29,17◄─►57,kimi-k2-thinking-turbo,1398,±12,2627,Moonshot,Modified MIT
30,17◄─►48,gemini-2.5-flash,1398,±7,10240,Google,Proprietary
31,17◄─►51,grok-3-preview-02-24,1398,±9,4949,xAI,Proprietary
32,17◄─►57,qwen3-max-preview,1396,±10,3719,Alibaba,Proprietary
33,16◄─►66,qwen3-max-2025-09-23,1395,±17,1148,Alibaba,Proprietary
34,16◄─►66,-v3.2,1395,±17,1392,DeepSeek AI,MIT
35,18◄─►57,grok-4-0709,1395,±8,5569,xAI,Proprietary
36,17◄─►67,-v3.2-exp-thinking,1394,±17,1195,DeepSeek AI,MIT
37,17◄─►65,-v3.1,1393,±13,2043,DeepSeek,MIT
38,19◄─►60,claude-sonnet-4-20250514-thinking-32k,1392,±9,4483,Anthropic,Proprietary
39,19◄─►63,-v3-0324,1389,±8,6240,DeepSeek,MIT
40,19◄─►67,-r1-0528,1389,±12,2602,DeepSeek,MIT
41,19◄─►66,gpt-5-chat,1388,±10,3986,OpenAI,Proprietary
42,19◄─►65,claude-3-7-sonnet-20250219-thinking-32k,1388,±8,5400,Anthropic,Proprietary
43,17◄─►75,gpt-5.2-high,1387Preliminary,±22,799,OpenAI,Proprietary
44,24◄─►67,o3-2025-04-16,1383,±7,7914,OpenAI,Proprietary
45,19◄─►75,grok-4-fast-chat,1382,±19,986,xAI,Proprietary
46,24◄─►70,gemini-2.5-flash-preview-09-2025,1382,±10,4352,Google,Proprietary
47,19◄─►74,kimi-k2-0905-preview,1381,±15,1465,Moonshot,Modified MIT
48,24◄─►71,gpt-5-high,1381,±10,4339,OpenAI,Proprietary
49,27◄─►71,claude-sonnet-4-20250514,1380,±9,5239,Anthropic,Proprietary
50,27◄─►71,o1-2024-12-17,1380,±9,4683,OpenAI,Proprietary
51,28◄─►71,qwen3-235b-a22b-instruct-2507,1379,±7,7137,Alibaba,Apache 2.0
52,28◄─►72,-medium-2508,1379,±8,6508,Mistral,Proprietary
53,17◄─►86,-v3.1-terminus-thinking,1377,±28,433,DeepSeek AI,MIT
54,27◄─►75,grok-4-fast-reasoning,1377,±12,2402,xAI,Proprietary
55,19◄─►85,hunyuan-t1-20250711,1377,±24,620,Tencent,Proprietary
56,31◄─►74,claude-haiku-4-5-20251001,1376,±10,3865,Anthropic,Proprietary
57,32◄─►75,glm-4.5,1375,±11,3153,Z.ai,MIT
58,33◄─►74,claude-3-7-sonnet-20250219,1373,±8,6210,Anthropic,Proprietary
59,33◄─►75,-r1,1373,±10,3339,DeepSeek,MIT
60,34◄─►77,kimi-k2-0711-preview,1371,±10,3650,Moonshot,Modified MIT
61,36◄─►76,gemini-2.5-flash-lite-preview-06-17-thinking,1370,±9,4303,Google,Proprietary
62,28◄─►85,qwen3-235b-a22b-thinking-2507,1370,±18,1155,Alibaba,Apache 2.0
63,32◄─►85,-large-3,1368,±16,1414,Mistral,Apache 2.0
64,44◄─►75,claude-3-5-sonnet-20241022,1368,±6,12008,Anthropic,Proprietary
65,44◄─►79,qwen3-235b-a22b-no-thinking,1366,±9,4766,Alibaba,Apache 2.0
66,18◄─►106,hunyuan-vision-1.5-thinking,1365,±37,251,Tencent,Proprietary
67,44◄─►81,o1-preview,1364,±10,4565,OpenAI,Proprietary
68,34◄─►89,qwen3-vl-235b-a22b-instruct,1363,±17,1152,Alibaba,Apache 2.0
69,39◄─►86,hunyuan-turbos-20250416,1363,±15,1601,Tencent,Proprietary
70,45◄─►86,qwen3-coder-480b-a35b-instruct,1362,±11,3184,Alibaba,Apache 2.0
71,50◄─►86,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1360,±9,4260,Google,Proprietary
72,50◄─►86,-medium-2505,1360,±9,4358,Mistral,Proprietary
73,49◄─►89,mai-1-preview,1359,±13,2209,Microsoft AI,Proprietary
74,53◄─►86,gemini-1.5-pro-002,1358,±7,8148,Google,Proprietary
75,59◄─►89,qwen2.5-max,1353,±8,5153,Alibaba,Proprietary
76,33◄─►117,mimo-v2-flash (non-thinking),1352,±30,410,Xiaomi,MIT
77,61◄─►94,-v3,1348,±10,3655,DeepSeek,DeepSeek
78,62◄─►92,gemma-3-27b-it,1347,±8,6620,Google,Gemma
79,63◄─►94,gemini-2.0-flash-001,1346,±8,6491,Google,Proprietary
80,63◄─►96,gpt-4.1-mini-2025-04-14,1345,±9,5310,OpenAI,Proprietary
81,63◄─►96,gemini-2.0-flash-lite-preview-02-05,1344,±9,4174,Google,Proprietary
82,60◄─►116,qwen3-vl-235b-a22b-thinking,1342,±18,983,Alibaba,Apache 2.0
83,66◄─►102,gemini-advanced-0514,1342,±10,7089,Google,Proprietary
84,72◄─►103,o4-mini-2025-04-16,1339,±8,6019,OpenAI,Proprietary
85,72◄─►111,grok-3-mini-beta,1336,±11,2958,xAI,Proprietary
86,75◄─►105,gpt-4o-2024-05-13,1336,±7,16709,OpenAI,Proprietary
87,62◄─►120,step-2-16k-exp-202412,1335,±21,758,StepFun,Proprietary
88,75◄─►108,command-a-03-2025,1334,±7,7826,Cohere,CC-BY-NC-4.0
89,61◄─►132,llama-3.1-nemotron-ultra-253b-v1,1332,±27,455,Nvidia,Nvidia Open Model
90,72◄─►119,longcat-flash-chat,1332,±16,1358,Meituan,MIT
91,63◄─►126,gemma-3-12b-it,1331,±23,615,Google,Gemma
92,75◄─►119,grok-3-mini-high,1331,±13,2135,xAI,Proprietary
93,76◄─►119,gpt-5-mini-high,1329,±11,3483,OpenAI,Proprietary
94,76◄─►119,qwen3-235b-a22b,1329,±10,3739,Alibaba,Apache 2.0
95,78◄─►119,glm-4.5-air,1327,±10,4039,Z.ai,MIT
96,80◄─►119,gpt-4o-2024-08-06,1324,±8,6818,OpenAI,Proprietary
97,80◄─►121,qwen3-30b-a3b-instruct-2507,1324,±11,3023,Alibaba,Apache 2.0
98,80◄─►122,-small-2506,1323,±12,2338,Mistral,Apache 2.0
99,82◄─►120,-m1,1322,±9,4758,MiniMax,Apache 2.0
100,82◄─►120,gpt-4-turbo-2024-04-09,1322,±7,14494,OpenAI,Proprietary
101,83◄─►120,gemini-1.5-pro-001,1321,±8,11903,Google,Proprietary
102,80◄─►130,qwen3-next-80b-a3b-thinking,1321,±14,1755,Alibaba,Apache 2.0
103,84◄─►130,qwen3-next-80b-a3b-instruct,1318,±11,2923,Alibaba,Apache 2.0
104,78◄─►136,glm-4-plus-0111,1318,±19,935,Zhipu,Proprietary
105,87◄─►123,grok-2-2024-08-13,1316,±7,9381,xAI,Proprietary
106,80◄─►141,qwen-plus-0125,1315,±18,942,Alibaba,Proprietary
107,88◄─►136,o3-mini-high,1310,±11,3082,OpenAI,Proprietary
108,81◄─►156,glm-4.5v,1308,±23,620,Z.ai,MIT
109,86◄─►151,-v2.5-1210,1308,±17,1100,DeepSeek,DeepSeek
110,94◄─►136,llama-4-maverick-17b-128e-instruct,1307,±8,5362,Meta,Llama 4
111,86◄─►151,gpt-4.1-nano-2025-04-14,1306,±18,1013,OpenAI,Proprietary
112,80◄─►163,-llama-3.3-nemotron-super-49b-v1.5,1306,±28,410,Nvidia,Nvidia Open
113,86◄─►157,step-3,1305,±21,794,StepFun,Apache 2.0
114,85◄─►159,intellect-3,1304,±22,753,Prime Intellect,MIT
115,85◄─►159,qwen3-32b,1304,±23,621,Alibaba,Apache 2.0
116,99◄─►141,llama-3.1-405b-instruct-fp8,1304,±7,9074,Meta,Llama 3.1 Community
117,100◄─►146,claude-3-5-sonnet-20240620,1302,±7,12521,Anthropic,Proprietary
118,101◄─►143,o3-mini,1302,±7,8371,OpenAI,Proprietary
119,85◄─►167,hunyuan-turbos-20250226,1301,±26,429,Tencent,Proprietary
120,86◄─►166,hunyuan-large-2025-02-10,1301,±24,571,Tencent,Proprietary
121,102◄─►146,llama-3.1-405b-instruct-bf16,1301,±7,6604,Meta,Llama 3.1 Community
122,86◄─►168,hunyuan-turbo-0110,1300,±25,455,Tencent,Proprietary
123,104◄─►146,claude-3-5-haiku-20241022,1300,±6,10107,Anthropic,Proprietary
124,102◄─►151,gemini-1.5-flash-002,1298,±9,5076,Google,Proprietary
125,101◄─►154,gemma-3n-e4b-it,1298,±11,3064,Google,Gemma
126,102◄─►154,yi-lightning,1297,±10,3831,01 AI,Proprietary
127,84◄─►175,-nova-experimental-chat-10-09,1296,±33,306,Amazon,Proprietary
128,88◄─►173,llama-3.3-nemotron-49b-super-v1,1295,±27,435,Nvidia,Nvidia
129,105◄─►156,qwq-32b,1294,±10,3816,Alibaba,Apache 2.0
130,105◄─►154,gpt-4o-mini-2024-07-18,1293,±7,10585,OpenAI,Proprietary
131,108◄─►156,gemma-2-27b-it,1291,±7,11547,Google,Gemma license
132,105◄─►160,llama-4-scout-17b-16e-instruct,1290,±10,3912,Meta,Llama
133,108◄─►163,glm-4-plus,1288,±10,3834,Zhipu AI,Proprietary
134,101◄─►173,-m2,1288,±21,862,MiniMax,Apache 2.0
135,104◄─►173,step-1o-turbo-202506,1288,±18,1082,StepFun,Proprietary
136,114◄─►160,claude-3-opus-20240229,1287,±6,28675,Anthropic,Proprietary
