Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►4,gemini-3-pro,1505,±7,10758,Google,Proprietary
2,1◄─►5,claude-opus-4-5-20251101-thinking-32k,1502,±8,7050,Anthropic,Proprietary
3,1◄─►8,claude-opus-4-5-20251101,1493,±8,7533,Anthropic,Proprietary
4,2◄─►10,grok-4.1-thinking,1490,±7,11027,xAI,Proprietary
5,1◄─►13,gemini-3-flash,1489Preliminary,±12,2797,Google,Proprietary
6,3◄─►13,claude-sonnet-4-5-20250929-thinking-32k,1485,±6,16727,Anthropic,Proprietary
7,3◄─►15,gemini-3-flash (thinking-minimal),1481Preliminary,±11,3034,Google,Proprietary
8,4◄─►14,claude-opus-4-1-20250805-thinking-16k,1479,±5,23427,Anthropic,Proprietary
9,4◄─►15,grok-4.1,1477,±7,11510,xAI,Proprietary
10,5◄─►15,claude-sonnet-4-5-20250929,1474,±6,14351,Anthropic,Proprietary
11,5◄─►16,gpt-5.1-high,1473,±8,9206,OpenAI,Proprietary
12,3◄─►22,gpt-5.2,1472Preliminary,±17,1265,OpenAI,Proprietary
13,7◄─►16,claude-opus-4-1-20250805,1471,±5,29590,Anthropic,Proprietary
14,5◄─►28,ernie-5.0-preview-1203,1466Preliminary,±14,1662,Baidu,Proprietary
15,11◄─►18,gemini-2.5-pro,1463,±4,37735,Google,Proprietary
16,8◄─►29,gpt-5.2-high,1460Preliminary,±11,3263,OpenAI,Proprietary
17,13◄─►29,qwen3-max-preview,1457,±6,13543,Alibaba,Proprietary
18,13◄─►30,gpt-5.1,1456,±7,10294,OpenAI,Proprietary
19,14◄─►34,claude-opus-4-20250514-thinking-16k,1452,±6,16434,Anthropic,Proprietary
20,14◄─►33,chatgpt-4o-latest-20250326,1451,±4,29878,OpenAI,Proprietary
21,15◄─►37,qwen3-235b-a22b-instruct-2507,1449,±5,26992,Alibaba,Apache 2.0
22,14◄─►39,kimi-k2-thinking-turbo,1449,±7,10283,Moonshot,Modified MIT
23,15◄─►39,gpt-5-high,1448,±6,15132,OpenAI,Proprietary
24,15◄─►39,gpt-5-chat,1446,±6,15263,OpenAI,Proprietary
