Rank,Model,Score,Size,Context,Cost,License
1,MiMo-V2-Flash,0.862,309B,256K,$0.10$0.30,
2,Qwen Team,0.827,80B,66K,$0.15$1.50,
3,Qwen Team,0.797,235B,262K,$0.30$3.00,
4,Qwen Team,0.792,235B,262K,$0.15$0.80,
5,Qwen Team,0.774,236B,262K,$0.30$1.49,
6,Nemotron 3 Nano (30B A3B),0.677,32B,262K,$0.06$0.24,
7,Qwen Team,0.647,33B,—,—,
8,Qwen Team,0.623,80B,66K,$0.15$1.50,
9,Qwen Team,0.605,33B,—,—,
10,Qwen Team,0.585,31B,262K,$0.20$0.70,
11,Qwen Team,0.567,31B,262K,$0.20$1.00,
12,Qwen Team,0.511,9B,262K,$0.18$2.09,
13,Qwen Team,0.368,4B,262K,$0.10$1.00,
