Rank,Model,Score,Size,Context,Cost,License
1,GPT-5.2 Pro,1.0,—,400K,$21.00$168.00,
2,GPT-5.2,0.994,—,400K,$1.75$14.00,
3,-V3.2-Speciale,0.992,685B,131K,$0.28$0.42,
4,Kimi K2-Thinking-0905,0.975,1.0T,262K,$0.47$2.00,
5,Grok 4 Fast,0.933,—,2.0M,$0.20$0.50,
5,GPT-5,0.933,—,400K,$1.25$10.00,
7,-V3.2 (Thinking),0.902,685B,131K,$0.28$0.42,
8,GPT-5 mini,0.878,—,400K,$0.25$2.00,
9,MiMo-V2-Flash,0.844,309B,256K,$0.10$0.30,
10,-V3.2-Exp,0.836,685B,164K,$0.27$0.41,
11,-R1-0528,0.794,671B,131K,$0.50$2.15,
12,GPT-5 nano,0.756,—,400K,$0.05$0.40,
13,Kimi K2 Instruct,0.388,1.0T,200K,$0.50$0.50,
13,Kimi K2-Instruct-0905,0.388,1.0T,—,—,
15,GPT-4.1 mini,0.35,—,1.0M,$0.40$1.60,
16,-V3.1,0.335,671B,164K,$0.27$1.00,
17,GPT-4.1,0.289,—,1.0M,$2.00$8.00,
