Rank,Model,Score,Size,Context,Cost,License
1,Kimi K2 0905,0.945,1.0T,262K,$0.60$2.50,
2,Claude 3.5 Sonnet,0.937,—,200K,$3.00$15.00,
3,GPT-5,0.934,—,400K,$1.25$10.00,
4,Kimi K2 Instruct,0.933,1.0T,200K,$0.50$0.50,
5,Qwen Team,0.927,32B,128K,$0.09$0.09,
6,o1-mini,0.924,—,128K,$3.00$12.00,
7,Claude 3.5 Sonnet,0.92,—,200K,$3.00$15.00,
7,Large 2Mistral AI,0.92,123B,128K,$2.00$6.00,
9,Qwen Team,0.915,34B,—,—,
10,GPT-4o,0.902,—,128K,$2.50$10.00,
11,Granite 3.3 8B InstructIBM,0.897,8B,—,—,
11,Granite 3.3 8B BaseIBM,0.897,8B,—,—,
13,Gemini Diffusion,0.896,—,—,—,
14,Nova Pro,0.89,—,300K,$0.80$3.20,
14,Llama 3.1 405B Instruct,0.89,405B,128K,$0.89$0.89,
14,-V2.5,0.89,236B,8K,$0.14$0.28,
17,Small 3.1 24B InstructMistral AI,0.884,24B,—,—,
18,Qwen Team,0.884,33B,—,—,
18,Llama 3.3 70B Instruct,0.884,70B,128K,$0.20$0.20,
18,Qwen Team,0.884,7B,—,—,
18,Grok-2,0.884,—,128K,$2.00$10.00,
22,Claude 3.5 Haiku,0.881,—,200K,$0.80$4.00,
22,o1,0.881,—,200K,$15.00$60.00,
24,GPT-4.5,0.88,—,128K,$75.00$150.00,
25,Gemma 3 27B,0.878,27B,131K,$0.10$0.20,
26,GPT-4o mini,0.872,—,128K,$0.15$0.60,
27,GPT-4 Turbo,0.871,—,128K,$10.00$30.00,
28,Qwen Team,0.866,73B,131K,$0.35$0.40,
29,Qwen Team,0.86,72B,—,—,
30,Grok-2 mini,0.857,—,—,—,
31,Nova Lite,0.854,—,300K,$0.06$0.24,
31,Gemma 3 12B,0.854,12B,131K,$0.05$0.10,
33,Claude 3 Opus,0.849,—,200K,$15.00$75.00,
34,Small 3 24B InstructMistral AI,0.848,24B,32K,$0.07$0.14,
34,Qwen Team,0.848,8B,131K,$0.30$0.30,
36,Gemini 1.5 Pro,0.841,—,2.1M,$2.50$10.00,
37,Qwen Team,0.835,15B,—,—,
38,Phi 4,0.826,15B,16K,$0.07$0.14,
39,IBM Granite 4.0 Tiny PreviewIBM,0.824,7B,—,—,
40,Nova Micro,0.811,—,128K,$0.03$0.14,
40,Codestral-22BMistral AI,0.811,22B,—,—,
42,Llama 3.1 70B Instruct,0.805,70B,128K,$0.20$0.20,
43,Qwen Team,0.799,8B,—,—,
44,Qwen Team,0.787,7B,—,—,
45,Claude 3 Haiku,0.759,—,200K,$0.25$1.25,
46,Gemma 3n E4B Instructed,0.75,8B,32K,$20.00$40.00,
46,Gemma 3n E4B Instructed LiteRT Preview,0.75,2B,—,—,
48,Gemini 1.5 Flash,0.743,—,1.0M,$0.15$0.60,
49,Grok-1.5,0.741,—,—,—,
50,Claude 3 Sonnet,0.73,—,200K,$3.00$15.00,
