model_name,accuracy,latency,stderr,cost_per_test
gpt-5.2-2025-12-11,54.8333,6739.6124,0,3.871992
gemini-3-flash-preview,39.0833,1846.5265,0,0.375052
gemini-3-pro-preview,38.8333,900.44,0,0.331188
grok-4-0709,26.1667,4265.885,0,3.182344
claude-opus-4-5-20251101,23.5833,7682.385,0,9.146205
gpt-5.1-2025-11-13,21.5,1750.065,0,0.368193
gpt-5.1-codex-max,21.4167,956.69,0,0.422645
claude-opus-4-5-20251101-thinking,20.25,8211.49,0,11.770501
gpt-5-2025-08-07,20.0,2608.25,0,1.629263
claude-sonnet-4-5-20250929-thinking,18.3333,3315.165,0,3.072989
gemini-2.5-pro,17.0833,2964.795,0,0.615461
qwen3-max,15.6667,2045.245,0,0.824523
deepseek-v3p2,14.4167,2384.5156,0,0.040514
claude-opus-4-1-20250805,12.5151,6124.895,0,17.585952
grok-4-fast-reasoning,11.5,1408.45,0,0.97412
deepseek-v3p2-thinking,10.6667,1558.619,0,0.082479
gpt-5-codex,9.75,1542.895,0,2.669955
qwen3-max-preview,7.75,3372.05,0,1.757157
grok-4-1-fast-non-reasoning,7.6667,7675.29,0,0.069549
glm-4.7,7.5833,5316.8759,0,0.443515
gpt-5-mini-2025-08-07,6.75,390.38,0,0.039167
claude-sonnet-4-20250514,6.5,3253.12,0,2.388929
claude-haiku-4-5-20251001-thinking,6.1667,7415.355,0,2.133406
o4-mini-2025-04-16,4.8333,480.19,0,0.156077
claude-sonnet-4-20250514-thinking,4.5833,2216.285,0,1.329832
glm-4.6,4.3333,7105.85,0,1.768717
grok-code-fast-1,4.3333,1083.865,0,1.61801
mistral-large-2512,4.0,6788.58,0,3.073948
grok-4-fast-non-reasoning,3.8333,577.63,0,0.12675
gpt-5.1-codex,3.6667,2227.445,0,0.176857
grok-4-1-fast-reasoning,3.0833,1533.285,0,0.029969
glm-4.5,2.9167,2336.43,0,0.942275
gemini-2.5-flash,2.6111,350.19,0,0.039426
labs-devstral-small-2512,2.5,7466.6029,0,0.50569
MiniMax-M2.1,2.3333,5210.4014,0,0.580307
deepseek-v3-0324,1.6667,171.48,0,0.808646
Kimi-K2-Instruct,1.25,1551.1,0,2.367573
devstral-2512,0.6666,8044.6449,0,1.753753
magistral-medium-2509,0.6666,2211.785,0,6.344222
qwen3-235b-a22b,0.0,352.565,0,0.109574
