display_name,swe_rank,lmarena_rank
gemini-3-pro,3,1
claude-opus-4-5-2511,1,2
claude-opus-4-1-2508,4,3
gpt-5.1,2,4
claude-haiku-4-5-2510,6,5
gemini-2.5-pro,20,6
deepseek-v3.2-exp,17,7
deepseek-v3.2-thinking,7,8
kimi-k2-0905-preview,10,9
glm-4.6,16,10
deepseek-r1-0528,27,11
claude-opus-4-2505,9,12
gpt-4.5-preview-2502,31,13
o3-2504,14,14
gpt-4.1-2504,24,15
qwen3-coder-480b-a35b-instruct,12,16
glm-4.5,19,17
deepseek-v3.1,18,18
claude-sonnet-4-2505,8,19
o1-2412,30,20
o4-mini-2504,15,21
claude-3-7-sonnet-2502,11,22
glm-4.5-air,22,23
mimo-v2-flash (non-thinking),5,24
gemini-2.5-flash,21,25
minimax-m1,23,26
o1-preview,29,27
o3-mini,25,28
claude-3-5-sonnet-2406,26,29
deepseek-v3,28,30
minimax-m2,13,31
gpt-4o-2408,32,32
