model_id,display_name,swe_rank,lmarena_rank
gemini-3-pro,gemini-3-pro,3.0,1.0
Anthropicclaude-opus-4-5-20251101,claude-opus-4-5-2511,1.0,2.0
Anthropicclaude-opus-4-1-20250805,claude-opus-4-1-2508,4.0,3.0
gpt-5.1,gpt-5.1,2.0,4.0
Anthropicclaude-haiku-4-5-20251001,claude-haiku-4-5-2510,6.0,5.0
gemini-2.5-pro,gemini-2.5-pro,20.0,6.0
deepseek-v3.2-exp,deepseek-v3.2-exp,17.0,7.0
deepseek-v3.2-thinking,deepseek-v3.2-thinking,7.0,8.0
MoonshotAIkimi-k2-0905-preview,kimi-k2-0905-preview,10.0,9.0
deepseek-r1-0528,deepseek-r1-0528,27.0,10.5
glm-4.6,glm-4.6,16.0,10.5
Anthropicclaude-opus-4-20250514,claude-opus-4-2505,9.0,12.0
gpt-4.5-preview-2025-02-27,gpt-4.5-preview-2502,31.0,13.0
o3-2025-04-16,o3-2504,14.0,14.0
glm-4.5,glm-4.5,19.0,16.0
gpt-4.1-2025-04-14,gpt-4.1-2504,24.0,16.0
qwen3-coder-480b-a35b-instruct,qwen3-coder-480b-a35b-instruct,12.0,16.0
deepseek-v3.1,deepseek-v3.1,18.0,18.0
Anthropicclaude-sonnet-4-20250514,claude-sonnet-4-2505,8.0,19.0
o1-2024-12-17,o1-2412,30.0,20.0
o4-mini-2025-04-16,o4-mini-2504,15.0,21.0
Anthropicclaude-3-7-sonnet-20250219,claude-3-7-sonnet-2502,11.0,22.0
glm-4.5-air,glm-4.5-air,22.0,23.0
mimo-v2-flash (non-thinking),mimo-v2-flash (non-thinking),5.0,24.0
gemini-2.5-flash,gemini-2.5-flash,21.0,25.0
Minimaxminimax-m1,minimax-m1,23.0,26.0
o1-preview,o1-preview,29.0,27.0
o3-mini,o3-mini,25.0,28.0
Anthropicclaude-3-5-sonnet-20240620,claude-3-5-sonnet-2406,26.0,29.0
deepseek-v3,deepseek-v3,28.0,30.0
Minimaxminimax-m2,minimax-m2,13.0,31.0
gpt-4o-2024-08-06,gpt-4o-2408,32.0,32.0
