model_name,score,rank
GPT-5 (high),76.0,1
GPT-5.1 (high),75.0,2
Claude Opus 4.5 Thinking,74.0,3
KAT-Coder-Pro V1,74.0,3
GPT-5 (medium),73.0,5
GPT-5.2 (xhigh),73.0,5
Gemini 3 Pro Preview (high),71.0,7
Claude 4.5 Haiku Thinking,70.0,8
DeepSeek V3.2 Exp Thinking,69.0,9
GPT-5 Codex (high),69.0,9
o3,69.0,9
GPT-5 mini (high),68.0,12
Grok 4,68.0,12
Grok 4.1 Fast Thinking,68.0,12
GPT-5.1 Codex (high),67.0,15
Gemini 3 Pro Preview (low),67.0,15
Qwen3 235B A22B 2507,67.0,15
Claude 4.1 Opus Thinking,66.0,18
Claude 4.5 Sonnet Thinking,66.0,18
GPT-5 mini (medium),66.0,18
Gemini 2.5 Pro,66.0,18
Gemini 3 Flash Thinking,66.0,18
Kimi K2 Thinking,66.0,18
Claude 4 Sonnet Thinking,65.0,24
Claude Opus 4.5 Non-Thinking,65.0,24
DeepSeek V3.1 Terminus Thinking,65.0,24
DeepSeek V3.2 Thinking,65.0,24
Doubao Seed Code,65.0,24
Grok 4 Fast Thinking,65.0,24
GLM-4.7 Thinking,64.0,30
GPT-5 (ChatGPT),64.0,30
Gemini 2.5 Flash (Sep) Thinking,64.0,30
GPT-5.1 Codex mini (high),63.0,33
MiMo-V2-Flash Thinking,63.0,33
Gemini 2.5 Flash Thinking 2505,62.0,35
Nova 2.0 Pro Preview (low),62.0,35
Claude 3.7 Sonnet Thinking,61.0,37
GPT-4.1,61.0,37
MiniMax-M2,61.0,37
Qwen3 Next 80B A3B Thinking,60.0,40
DeepSeek V3.2 Speciale,59.0,41
GPT-5 (low),59.0,41
Gemini 2.5 Flash-Lite (Sep) Thinking,59.0,41
MiniMax-M2.1,59.0,41
Qwen3 30B A3B 2507 Thinking,59.0,41
Qwen3 VL 235B A22B Thinking,59.0,41
Nova 2.0 Lite (medium),58.0,47
Qwen3 Max Thinking,58.0,47
Seed-OSS-36B-Instruct,58.0,47
Gemini 2.5 Flash (Sep) Non-Thinking,57.0,50
DeepSeek R1 0528,55.0,51
Grok 3,55.0,51
Qwen3 VL 32B Thinking,55.0,51
o4-mini (high),55.0,51
GLM-4.6 Thinking,54.0,55
MiniMax M1 80k,54.0,55
Nova 2.0 Omni (medium),54.0,55
Nova 2.0 Pro Preview (medium),54.0,55
DeepSeek V3.1 Thinking,53.0,59
GPT-4o (ChatGPT),53.0,59
DeepSeek R1 (Jan),52.0,61
Kimi K2 0905,52.0,61
MiniMax M1 40k,52.0,61
Nova 2.0 Lite (low),52.0,61
Claude 4.5 Sonnet Non-Thinking,51.0,65
Gemini 2.5 Flash-Lite Thinking,51.0,65
Kimi K2,51.0,65
Magistral Medium 1.2,51.0,65
Nova 2.0 Omni (low),51.0,65
Qwen3 Next 80B A3B Non-Thinking,51.0,65
gpt-oss-120B (high),51.0,65
Apriel-v1.6-15B-Thinker,50.0,72
Grok 3 mini Reasoning (high),50.0,72
Claude 3.7 Sonnet Non-Thinking,48.0,74
GLM-4.5,48.0,74
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,48.0,74
Gemini 3 Flash Non-Thinking,48.0,74
Grok Code Fast 1,48.0,74
Qwen3 Max,47.0,79
Gemini 2.5 Flash Non-Thinking 2505,46.0,80
Llama 4 Maverick,46.0,80
DeepSeek V3.1 Non-Thinking,45.0,82
Claude 4 Sonnet Non-Thinking,44.0,83
Claude 4.5 Haiku Non-Thinking,44.0,83
GLM-4.5-Air,44.0,83
GPT-5.1,44.0,83
gpt-oss-120B (low),44.0,83
DeepSeek V3.1 Terminus Non-Thinking,43.0,88
DeepSeek V3.2 Exp Non-Thinking,43.0,88
GPT-4.1 mini,42.0,90
GPT-5 nano (high),42.0,90
Qwen3 Coder 480B,42.0,90
DeepSeek V3 0324,41.0,93
Qwen3 VL 30B A3B Thinking,41.0,93
GLM-4.6V Thinking,40.0,95
GPT-5 nano (medium),40.0,95
NVIDIA Nemotron Nano 12B v2 VL Thinking,40.0,95
Qwen3 Max (Preview),40.0,95
DeepSeek V3.2 Non-Thinking,39.0,99
GPT-5.2,38.0,100
Qwen3 4B 2507 Thinking,38.0,100
Claude 4 Opus Non-Thinking,36.0,102
GLM-4.7 Non-Thinking,36.0,102
GPT-5 mini (minimal),36.0,102
Ling-1T,35.0,105
Mistral Large 3,35.0,105
Claude 4 Opus Thinking,34.0,107
Llama Nemotron Super 49B v1.5 Thinking,34.0,107
NVIDIA Nemotron 3 Nano Thinking,34.0,107
K2-V2 (high),33.0,110
Qwen3 VL 235B A22B Non-Thinking,32.0,111
Gemini 2.5 Flash-Lite Non-Thinking,31.0,112
MiMo-V2-Flash Non-Thinking,31.0,112
Qwen3 235B 2507,31.0,112
Qwen3 VL 32B Non-Thinking,31.0,112
Qwen3 VL 8B Thinking,31.0,112
gpt-oss-20B (high),31.0,112
gpt-oss-20B (low),31.0,112
Devstral 2,30.0,119
Nova Premier,30.0,119
DeepSeek V3 (Dec),29.0,121
Devstral Medium,29.0,121
Qwen3 Coder 30B A3B,29.0,121
Gemini 2.0 Flash,28.0,124
K2-V2 (medium),28.0,124
Mistral Medium 3,28.0,124
Nova 2.0 Pro Preview,28.0,124
GLM-4.6 Non-Thinking,26.0,128
Kimi Linear 48B A3B Instruct,26.0,128
Llama 4 Scout,26.0,128
GPT-5 (minimal),25.0,131
QwQ-32B,25.0,131
Devstral Small 2,24.0,133
Llama 3.1 405B,24.0,133
Ministral 8B (Dec '25),24.0,133
Qwen3 VL 30B A3B Non-Thinking,24.0,133
NVIDIA Nemotron Nano 9B V2 Non-Thinking,23.0,137
Qwen3 30B A3B 2507 Non-Thinking,23.0,137
Cogito v2.1,22.0,139
Grok 4.1 Fast Non-Thinking,22.0,139
Llama Nemotron Super 49B v1.5 Non-Thinking,22.0,139
Ministral 14B (Dec '25),22.0,139
Nova 2.0 Omni,22.0,139
Hermes 4 405B Thinking,21.0,144
NVIDIA Nemotron Nano 9B V2 Thinking,21.0,144
Qwen3 VL 4B Thinking,21.0,144
Ring-flash-2.0,21.0,144
Apriel-v1.5-15B-Thinker,20.0,148
GPT-5 nano (minimal),20.0,148
Grok 4 Fast Non-Thinking,20.0,148
Hermes 4 405B Non-Thinking,20.0,148
Mistral Medium 3.1,20.0,148
Mistral Small 3.1,20.0,148
Qwen2.5 72B,20.0,148
K2-V2 (low),19.0,155
Nova Pro,19.0,155
Command A,18.0,157
Nova 2.0 Lite,18.0,157
Nova Lite,18.0,157
Devstral Small,17.0,160
GPT-4.1 nano,17.0,160
Jamba 1.7 Large,17.0,160
Llama 3.3 Nemotron Super 49B Thinking,17.0,160
Mistral Small 3.2,17.0,160
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,17.0,160
Llama 3.1 8B,16.0,166
Magistral Small 1.2,16.0,166
Ling-flash-2.0,15.0,168
Llama 3.3 70B,15.0,168
Qwen3 VL 8B Non-Thinking,15.0,168
EXAONE 4.0 32B Thinking,14.0,171
Phi-4 Mini,14.0,171
DeepSeek R1 0528 Qwen3 8B,13.0,173
Jamba 1.7 Mini,13.0,173
Motif-2-12.7B,13.0,173
Qwen3 VL 4B Non-Thinking,13.0,173
GLM-4.6V Non-Thinking,12.0,177
HyperCLOVA X SEED Think (32B),12.0,177
Llama 3.2 11B (Vision),12.0,177
Ministral 3B (Dec '25),12.0,177
DeepSeek R1 Distill Llama 70B,11.0,181
Llama 3.3 Nemotron Super 49B Non-Thinking,11.0,181
Mi:dm K 2.5 Pro Preview,11.0,181
DeepSeek R1 Distill Qwen 32B,10.0,184
Nova Micro,10.0,184
Pixtral Large,10.0,184
Granite 4.0 H Small,9.0,187
EXAONE 4.0 32B Non-Thinking,8.0,188
DeepSeek R1 Distill Qwen 14B,7.0,189
ERNIE 5.0 Thinking Preview,7.0,189
Gemma 3 12B,7.0,189
Hermes 4 70B Thinking,7.0,189
Jamba Reasoning 3B,7.0,189
Ling-mini-2.0,7.0,189
Llama 3.1 Nemotron 70B,7.0,189
Llama Nemotron Ultra,7.0,189
NVIDIA Nemotron 3 Nano Non-Thinking,7.0,189
Qwen3 4B 2507 Non-Thinking,7.0,189
Gemma 3 27B,6.0,199
Gemma 3 4B,6.0,199
Granite 4.0 H 1B,6.0,199
Llama 3.1 70B,6.0,199
Llama 3.2 1B,5.0,203
Mistral Large 2 (Nov),5.0,203
Granite 3.3 8B,4.0,205
Granite 4.0 1B,4.0,205
Granite 4.0 Micro,4.0,205
ERNIE 4.5 300B A47B,2.0,208
Hermes 4 70B Non-Thinking,2.0,208
Llama 3.2 3B,2.0,208
Mistral Large 2 (Jul),2.0,208
Phi-3 Mini,2.0,208
DeepSeek R1 Distill Llama 8B,0.0,213
DeepSeek R1 Distill Qwen 1.5B,0.0,213
Exaone 4.0 1.2B Non-Thinking,0.0,213
Exaone 4.0 1.2B Thinking,0.0,213
GLM-4.5V Thinking,0.0,213
GLM-4.5V Non-Thinking,0.0,213
GPT-4o (Nov),0.0,213
Gemma 3 1B,0.0,213
Gemma 3 270M,0.0,213
Gemma 3n E2B,0.0,213
Gemma 3n E4B,0.0,213
Granite 4.0 350M,0.0,213
Granite 4.0 H 350M,0.0,213
LFM2 1.2B,0.0,213
LFM2 2.6B,0.0,213
LFM2 8B A1B,0.0,213
Llama 3.1 Nemotron Nano 4B v1.1,0.0,213
Magistral Medium 1,0.0,213
Magistral Small 1,0.0,213
Mistral Small 3,0.0,213
Molmo 7B-D,0.0,213
OLMo 2 32B,0.0,213
OLMo 2 7B,0.0,213
OLMo 3 32B Think,0.0,213
OLMo 3 7B,0.0,213
OLMo 3 7B Think,0.0,213
Olmo 3.1 32B Think,0.0,213
Phi-4,0.0,213
Qwen3 0.6B Non-Thinking,0.0,213
Qwen3 0.6B Thinking,0.0,213
Qwen3 1.7B Thinking,0.0,213
Qwen3 1.7B Non-Thinking,0.0,213
