model_name,score,rank
GPT-5 Codex (high),99.0,1
GPT-5.2 (xhigh),99.0,1
DeepSeek V3.2 Speciale,97.0,3
Gemini 3 Flash Thinking,97.0,3
GPT-5.1 Codex (high),96.0,5
Gemini 3 Pro Preview (high),96.0,5
MiMo-V2-Flash Thinking,96.0,5
GLM-4.7 Thinking,95.0,8
KAT-Coder-Pro V1,95.0,8
Kimi K2 Thinking,95.0,8
GPT-5 (high),94.0,11
GPT-5.1 (high),94.0,11
Grok 4,93.0,13
gpt-oss-120B (high),93.0,13
DeepSeek V3.2 Thinking,92.0,15
GPT-5 (medium),92.0,15
GPT-5.1 Codex mini (high),92.0,15
Claude Opus 4.5 Thinking,91.0,18
GPT-5 mini (high),91.0,18
NVIDIA Nemotron 3 Nano Thinking,91.0,18
Qwen3 235B A22B 2507,91.0,18
o4-mini (high),91.0,18
DeepSeek V3.1 Thinking,90.0,23
DeepSeek V3.1 Terminus Thinking,90.0,23
Grok 4 Fast Thinking,90.0,23
Nova 2.0 Omni (medium),90.0,23
Grok 4.1 Fast Thinking,89.0,27
Nova 2.0 Lite (medium),89.0,27
Nova 2.0 Pro Preview (medium),89.0,27
Ring-1T,89.0,27
gpt-oss-20B (high),89.0,27
Apriel-v1.5-15B-Thinker,88.0,32
Apriel-v1.6-15B-Thinker,88.0,32
Claude 4.5 Sonnet Thinking,88.0,32
DeepSeek V3.2 Exp Thinking,88.0,32
Gemini 2.5 Pro,88.0,32
Qwen3 VL 235B A22B Thinking,88.0,32
o3,88.0,32
Gemini 3 Pro Preview (low),87.0,39
GLM-4.6 Thinking,86.0,40
ERNIE 5.0 Thinking Preview,85.0,41
GLM-4.6V Thinking,85.0,41
GPT-5 mini (medium),85.0,41
Grok 3 mini Reasoning (high),85.0,41
Qwen3 VL 32B Thinking,85.0,41
Seed-OSS-36B-Instruct,85.0,41
Claude 4.5 Haiku Thinking,84.0,47
GPT-5 nano (high),84.0,47
Qwen3 Next 80B A3B Thinking,84.0,47
Ring-flash-2.0,84.0,47
GPT-5 (low),83.0,51
MiniMax-M2.1,83.0,51
Qwen3 4B 2507 Thinking,83.0,51
Magistral Medium 1.2,82.0,54
Qwen3 235B Thinking,82.0,54
Qwen3 Max Thinking,82.0,54
Qwen3 VL 30B A3B Thinking,82.0,54
GLM-4.5-Air,81.0,58
Qwen3 Max,81.0,58
Claude 4.1 Opus Thinking,80.0,60
EXAONE 4.0 32B Thinking,80.0,60
Magistral Small 1.2,80.0,60
Motif-2-12.7B,80.0,60
Doubao Seed Code,79.0,64
Mi:dm K 2.5 Pro Preview,79.0,64
GPT-5 nano (medium),78.0,66
Gemini 2.5 Flash (Sep) Thinking,78.0,66
K2-V2 (high),78.0,66
MiniMax-M2,78.0,66
