model_name,score,rank
Human Panel,100.0,1
GPT-5.2 Pro (High),54.2,2
Gemini 3 Pro (Refine.),54.0,3
GPT-5.2 (X-High),52.9,4
Gemini 3 Deep Think (Preview) ²,45.1,5
GPT-5.2 (High),43.3,6
GPT-5.2 Pro (Medium),38.5,7
"Opus 4.5 (Thinking, 64K)",37.6,8
Gemini 3 Flash Preview (High),33.6,9
Gemini 3 Pro,31.1,10
"Opus 4.5 (Thinking, 32K)",30.6,11
NVARC,27.6,13
GPT-5.2 (Medium),26.7,14
"Opus 4.5 (Thinking, 16K)",22.8,16
GPT-5 Pro,18.3,17
"GPT-5.1 (Thinking, High)",17.6,18
Grok 4 (Thinking),16.0,19
"Opus 4.5 (Thinking, 8K)",13.9,20
Claude Sonnet 4.5 (Thinking 32K),13.6,21
Gemini 3 Flash Preview (Medium),12.8,22
GPT-5 (High),9.9,23
GPT-5.2 (Low),9.7,24
"Opus 4.5 (Thinking, 1K)",9.4,25
Claude Opus 4 (Thinking 16K),8.6,26
"Opus 4.5 (Thinking, None)",7.8,27
GPT-5 (Medium),7.5,28
Claude Sonnet 4.5 (Thinking 8K),6.9,29
Claude Sonnet 4.5 (Thinking 16K),6.9,29
o3 (High),6.5,31
"GPT-5.1 (Thinking, Medium)",6.5,31
Tiny Recursion Model (TRM),6.3,33
o4-mini (High),6.1,34
Claude Sonnet 4 (Thinking 16K),5.9,35
Claude Sonnet 4.5 (Thinking 1K),5.8,36
Grok 4 (Fast Reasoning),5.3,37
o3-Pro (High),4.9,38
Gemini 2.5 Pro (Thinking 32K),4.9,38
Claude Opus 4 (Thinking 8K),4.5,40
GPT-5 Mini (High),4.4,41
Gemini 2.5 Pro (Thinking 16K),4.0,42
GPT-5 Mini (Medium),4.0,42
Claude Haiku 4.5 (Thinking 32K),4.0,42
"o3 (Preview, Low) ",4.0,42
Gemini 2.5 Pro (Preview),3.8,46
Claude Sonnet 4.5,3.8,46
"Gemini 2.5 Pro (Preview, Thinking 1K)",3.4,48
Gemini 3 Flash Preview (Minimal),3.3,49
o3-mini (High),3.0,50
o3 (Medium),3.0,50
Gemini 2.5 Pro (Thinking 8K),2.9,52
Claude Haiku 4.5 (Thinking 16K),2.8,53
GPT-5 Nano (High),2.6,54
Gemini 2.5 Flash (Preview) (Thinking 24K),2.5,55
ARChitects,2.5,55
o4-mini (Medium),2.4,57
Gemini 2.5 Flash (Preview) (Thinking 1K),2.2,58
Gemini 2.5 Flash (Preview) (Thinking 8K),2.1,59
Claude Sonnet 4 (Thinking 8K),2.1,59
o3-mini (Medium),2.1,59
o3-Pro (Low),2.1,59
Hierarchical Reasoning Model (HRM),2.0,63
o3 (Low),2.0,63
Gemini 2.5 Flash (Preview) (Thinking 16K),2.0,63
o3-Pro (Medium),1.9,66
GPT-5 (Low),1.9,66
"GPT-5.1 (Thinking, Low)",1.9,66
Gemini 2.5 Flash (Preview),1.7,69
o4-mini (Low),1.7,69
GPT-5 Mini (Minimal),1.7,69
Claude Haiku 4.5 (Thinking 8K),1.7,69
Icecuber,1.6,73
Gemini 2.0 Flash,1.3,74
Deepseek R1,1.3,74
Codex Mini (Latest),1.3,74
Claude Sonnet 4,1.3,74
Claude Opus 4,1.3,74
Qwen3-235b-a22b Instruct (25/07),1.3,74
Claude Haiku 4.5,1.3,74
Claude Haiku 4.5 (Thinking 1K),1.3,74
Gemini 3 Flash Preview (Low),1.3,74
Deepseek R1 (05/28),1.1,83
Claude 3.7 (8K),0.9,84
GPT-5 Nano (Medium),0.9,84
Claude Sonnet 4 (Thinking 1K),0.9,84
o1-mini,0.8,87
GPT-5 Mini (Low),0.8,87
GPT-5.2,0.8,87
Gemini 1.5 Pro,0.8,87
GPT-4.5,0.8,87
Claude 3.7 (16K),0.7,92
GPT-4.1,0.4,93
Grok 3 Mini (Low),0.4,93
"GPT-5.1 (Thinking, None)",0.4,93
Claude 3.7 (1K),0.4,93
Claude 3.7,0.0,97
GPT-4o,0.0,97
GPT-4o-mini,0.0,97
Llama 4 Maverick,0.0,97
Llama 4 Scout,0.0,97
GPT-4.1-Nano,0.0,97
GPT-4.1-Mini,0.0,97
o3-mini (Low),0.0,97
Claude Opus 4 (Thinking 1K),0.0,97
Grok 3,0.0,97
Magistral Small,0.0,97
Magistral Medium,0.0,97
Magistral Medium (Thinking),0.0,97
Gemini 2.5 Pro (Thinking 1K),0.0,97
GPT-5 (Minimal),0.0,97
GPT-5 Nano (Low),0.0,97
GPT-5 Nano (Minimal),0.0,97
