model_name,score,rank
gemini-3-pro-preview,68.81958831381151,1
gemini-2.5-pro,62.05365688033265,2
gpt-5-2025-08-07,61.804322926957475,3
grok-4-0709,53.58011281715549,4
o3-2025-04-16,51.99995583252819,5
claude-opus-4-5-20251101,51.25903585049715,6
gpt-4.1-2025-04-14,50.46573342929961,7
gemini-2.5-flash,50.39963457012847,8
gpt-5.1-2025-11-13,49.36745512140127,9
claude-sonnet-4-5-thinking-20250929,47.9035215590499,10
claude-opus-4-1-20250805,46.520640915557884,11
gpt-5-mini-2025-08-07,45.928825086229416,12
claude-sonnet-4-20250514,42.84743016570085,13
o4-mini-2025-04-16,37.63510088190263,14
grok-4-fast-reasoning,35.98614903466032,15
