model_name,score,rank
GPT-5.2 (xhigh),40.7,1
GPT-5.2 (high),40.3,2
Gemini 3 Pro Preview,37.6,3
GPT-5.2 (medium),36.9,4
Gemini 3 Flash,35.6,5
GPT-5 (high),32.4,6
GPT-5.1 (high),31.0,7
Gemini 2.5 Deep Think,29.0,8
GPT-5 mini (high),27.2,9
GPT-5 (medium),27.2,9
GPT-5.1 (medium),26.9,11
GPT-5.2 (low),26.6,12
o4-mini (high),24.8,13
DeepSeek-V3.2,22.1,14
Kimi K2 Thinking,21.4,15
Claude Opus 4.5 (no thinking),20.7,16
Claude Opus 4.5 (32k thinking),20.7,16
Claude Opus 4.5 (16k thinking),20.3,18
GPT-5 mini (medium),20.3,18
Grok 4,19.7,20
o4-mini (medium),19.0,21
o3 (high),18.7,22
GPT-5.1 (low),17.3,23
o3 (medium),16.9,24
Claude Sonnet 4.5 (32k thinking),15.2,25
Gemini 2.5 Pro (Jun 2025),14.1,26
Claude Sonnet 4.5 (59k thinking),13.5,27
o3-mini (high),12.4,28
o4-mini (low),10.7,29
Gemini 2.5 Pro (Preview),10.3,30
o3 (low),9.7,31
Claude Sonnet 4.5 (no thinking),9.3,32
o1 (high),9.3,32
Qwen3-235B-A22B-Thinking-2507,8.5,34
GPT-5 nano (high),8.3,35
o3-mini (medium),8.1,36
GPT-5 nano (medium),7.2,37
Claude Opus 4.1 (27K thinking),7.2,37
Claude Haiku 4.5 (32K thinking),5.9,39
Claude Opus 4.1,5.9,39
Grok-3 mini,5.9,39
GPT-4.1,5.5,42
Gemini 2.5 Flash (Jun 2025),4.8,43
Claude Opus 4,4.5,44
GPT-4.1 mini,4.5,44
Claude Haiku 4.5,4.1,46
Claude Opus 4 (27K thinking),4.1,46
Claude Sonnet 4,4.1,46
Claude 3.7 Sonnet (16k thinking),4.1,46
GLM 4.6,3.8,50
Grok 3,3.8,50
Claude 3.7 Sonnet (32k thinking),3.4,52
Claude 3.7 Sonnet (64k thinking),3.1,53
Claude 3.7 Sonnet,3.1,53
Grok-3 mini(2),2.8,55
GPT-5.1 (no thinking),2.1,56
Claude 3.5 Sonnet (Oct 2024),2.1,56
Qwen Plus,1.7,58
Gemini 2.0 Flash (Feb 2025),1.7,58
DeepSeek-V3,1.7,58
o1-mini (medium),1.7,58
o1-mini (high),1.4,62
GPT-4.1 nano,1.0,63
Qwen2.5-Max,1.0,63
Claude 3.5 Sonnet (Jun 2024),1.0,63
Llama 4 Maverick (FP8),0.7,66
Grok-2,0.7,66
Mistral Medium 3,0.3,68
GPT-4o (Aug 2024),0.3,68
Claude 3.5 Haiku (Oct 2024),0.3,68
Mistral Large 2,0.3,68
GPT-4o (Nov 2024),0.3,68
Llama 4 Scout,0.0,73
Gemini 1.5 Flash (Sep 2024),0.0,73
