model_name,score,rank
GPT-5.2 Pro,93.2,1
GPT-5.2,92.4,2
Gemini 3 Pro,91.9,3
Gemini 3 Flash,90.4,4
Grok-4 Heavy,88.4,5
GPT-5.1,88.1,6
GPT-5.1 Instant,88.1,6
GPT-5.1 Thinking,88.1,6
Grok-4,87.5,9
Claude Opus 4.5,87.0,10
Gemini 2.5 Pro Preview 06-05,86.4,11
GPT-5,85.7,12
GLM-4.7,85.7,12
Grok 4 Fast,85.7,12
Claude 3.7 Sonnet,84.8,15
Grok-3,84.6,16
Kimi K2-Thinking-0905,84.5,17
Grok-3 Mini,84.0,18
MiMo-V2-Flash,83.7,19
Claude Sonnet 4.5,83.39999999999999,20
o3,83.3,21
Gemini 2.5 Pro,83.0,22
Gemini 2.5 Flash,82.8,23
DeepSeek-V3.2 (Thinking),82.39999999999999,24
GPT-5 mini,82.3,25
o4-mini,81.39999999999999,26
Qwen3-235B-A22B-Thinking-2507,81.10000000000001,27
GLM-4.6,81.0,28
DeepSeek-R1-0528,81.0,28
MiniMax M2.1,81.0,28
Claude Opus 4.1,80.9,31
GPT OSS 120B,80.10000000000001,32
DeepSeek-V3.2-Exp,79.9,33
Claude Opus 4,79.60000000000001,34
GLM-4.5,79.10000000000001,35
o1-pro,79.0,36
o1,78.0,37
MiniMax M2,78.0,37
Qwen3-235B-A22B-Instruct-2507,77.5,39
o3-mini,77.2,40
Qwen3-Next-80B-A3B-Thinking,77.2,40
Llama 3.1 Nemotron Ultra 253B v1,76.0,42
Kimi K2 0905,75.8,43
Claude Sonnet 4,75.4,44
Kimi K2 Instruct,75.1,45
Kimi K2-Instruct-0905,75.1,45
Nemotron 3 Nano (30B A3B),75.0,47
GLM-4.5-Air,75.0,47
DeepSeek-V3.1,74.9,49
Qwen3 VL 30B A3B Thinking,74.4,50
