model_name,score,rank
Anthropicclaude-opus-4-5-20251101-thinking-32k,1479.0,1
Anthropicclaude-opus-4-5-20251101,1477.0,2
gemini-3-pro,1474.0,3
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1460.0,4
Anthropicclaude-opus-4-1-20250805-thinking-16k,1456.0,5
Anthropicclaude-sonnet-4-5-20250929,1453.0,6
Anthropicclaude-opus-4-1-20250805,1447.0,7
gpt-5.1-high,1445.0,8
gemini-2.5-pro,1444.0,9
grok-4.1-thinking,1440.0,10
Anthropicclaude-opus-4-20250514-thinking-16k,1439.0,11
gpt-4.5-preview-2025-02-27,1432.0,12
grok-4.1,1430.0,13
gpt-5.1,1426.0,14
qwen3-max-preview,1425.0,15
chatgpt-4o-latest-20250326,1420.0,16
MoonshotAIkimi-k2-thinking-turbo,1416.0,17
deepseek-v3.1-thinking,1415.0,18
glm-4.6,1415.0,18
qwen3-235b-a22b-instruct-2507,1415.0,18
deepseek-v3.2-thinking,1414.0,21
deepseek-v3.2-exp-thinking,1414.0,21
qwen3-max-2025-09-23,1412.0,23
gpt-5-chat,1412.0,23
deepseek-v3.2-exp,1412.0,23
deepseek-v3.2,1411.0,26
deepseek-v3.1-terminus-thinking,1411.0,26
gpt-5-high,1411.0,26
qwen3-vl-235b-a22b-instruct,1410.0,29
Anthropicclaude-sonnet-4-20250514-thinking-32k,1410.0,29
Anthropicclaude-opus-4-20250514,1409.0,31
mistral-large-3,1408.0,32
Anthropicclaude-haiku-4-5-20251001,1406.0,33
glm-4.5,1404.0,34
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1403.0,35
grok-3-preview-02-24,1403.0,35
gemini-2.5-flash,1402.0,37
deepseek-v3.1,1401.0,38
o1-2024-12-17,1401.0,38
gemini-2.5-flash-preview-09-2025,1400.0,40
grok-4-fast-chat,1400.0,40
o3-2025-04-16,1399.0,42
mistral-medium-2508,1398.0,43
grok-4-1-fast-reasoning,1397.0,44
gpt-4.1-2025-04-14,1396.0,45
grok-4-0709,1394.0,46
deepseek-r1,1391.0,47
deepseek-v3.1-terminus,1391.0,47
ernie-5.0-preview-1103,1389.0,49
mimo-v2-flash (non-thinking),1389.0,49
deepseek-r1-0528,1388.0,51
longcat-flash-chat,1388.0,51
Anthropicclaude-sonnet-4-20250514,1387.0,53
qwen3-235b-a22b-thinking-2507,1387.0,53
Tencenthunyuan-vision-1.5-thinking,1386.0,55
grok-4-fast-reasoning,1384.0,56
MoonshotAIkimi-k2-0905-preview,1381.0,57
qwen3-coder-480b-a35b-instruct,1380.0,58
qwen3-next-80b-a3b-instruct,1379.0,59
qwen3-vl-235b-a22b-thinking,1378.0,60
qwen3-235b-a22b-no-thinking,1377.0,61
Anthropicclaude-3-7-sonnet-20250219,1377.0,61
Tencenthunyuan-t1-20250711,1375.0,63
o1-preview,1375.0,63
gpt-5-mini-high,1373.0,65
deepseek-v3-0324,1373.0,65
MoonshotAIkimi-k2-0711-preview,1372.0,67
mai-1-preview,1369.0,68
gemini-2.5-flash-lite-preview-06-17-thinking,1367.0,69
gpt-4.1-mini-2025-04-14,1367.0,69
Anthropicclaude-3-5-sonnet-20241022,1366.0,71
o4-mini-2025-04-16,1365.0,72
qwen3-30b-a3b-instruct-2507,1364.0,73
o3-mini-high,1361.0,74
mistral-medium-2505,1360.0,75
glm-4.5-air,1360.0,75
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1360.0,75
grok-3-mini-high,1358.0,78
qwen3-next-80b-a3b-thinking,1356.0,79
qwen3-235b-a22b,1355.0,80
qwen2.5-max,1353.0,81
grok-3-mini-beta,1352.0,82
Tencenthunyuan-turbos-20250416,1349.0,83
Nvidiallama-3.1-nemotron-ultra-253b-v1,1346.0,84
Minimaxminimax-m1,1345.0,85
gemini-2.0-flash-001,1344.0,86
amazon-nova-experimental-chat-10-20,1344.0,86
Tencenthunyuan-turbos-20250226,1344.0,86
Stepfunstep-3,1341.0,89
gemma-3-27b-it,1340.0,90
o3-mini,1340.0,90
deepseek-v3,1339.0,92
Coherecommand-a-03-2025,1337.0,93
glm-4.5v,1336.0,94
gemini-1.5-pro-002,1334.0,95
mistral-small-2506,1334.0,95
Minimaxminimax-m2,1332.0,97
intellect-3,1331.0,98
Anthropicclaude-3-5-sonnet-20240620,1330.0,99
qwen-plus-0125,1328.0,100
o1-mini,1328.0,100
gemini-2.0-flash-lite-preview-02-05,1327.0,102
nova-2-lite,1327.0,102
qwen3-32b,1327.0,102
gpt-5-nano-high,1322.0,105
gpt-oss-120b,1322.0,105
qwq-32b,1321.0,107
Nvidiallama-3.3-nemotron-49b-super-v1,1321.0,107
gpt-4o-2024-05-13,1320.0,109
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1318.0,110
gemma-3-12b-it,1317.0,111
amazon-nova-experimental-chat-10-09,1316.0,112
ling-flash-2.0,1315.0,113
ring-flash-2.0,1313.0,114
gpt-4o-2024-08-06,1313.0,114
glm-4-plus-0111,1312.0,116
Stepfunstep-2-16k-exp-202412,1311.0,117
Tencenthunyuan-large-2025-02-10,1311.0,117
deepseek-v2.5-1210,1310.0,119
Metallama-4-maverick-17b-128e-instruct,1310.0,119
gemini-advanced-0514,1310.0,119
Tencenthunyuan-turbo-0110,1309.0,122
Metallama-3.1-405b-instruct-fp8,1308.0,123
Metallama-3.1-405b-instruct-bf16,1308.0,123
qwen3-30b-a3b,1308.0,123
Stepfunstep-1o-turbo-202506,1307.0,126
grok-2-2024-08-13,1307.0,126
Anthropicclaude-3-5-haiku-20241022,1307.0,126
Anthropicclaude-3-opus-20240229,1307.0,126
01.AIyi-lightning,1305.0,130
gemini-1.5-pro-001,1304.0,131
magistral-medium-2506,1300.0,132
athene-v2-chat,1298.0,133
qwen-max-0919,1297.0,134
gpt-4-turbo-2024-04-09,1297.0,134
gpt-4.1-nano-2025-04-14,1296.0,136
glm-4-plus,1296.0,136
Metallama-4-scout-17b-16e-instruct,1295.0,138
olmo-3-32b-think,1294.0,139
mistral-large-2407,1294.0,139
mistral-small-3.1-24b-instruct-2503,1292.0,141
qwen2.5-plus-1127,1292.0,141
gpt-4-1106-preview,1290.0,143
mistral-large-2411,1289.0,144
gpt-4o-mini-2024-07-18,1289.0,144
qwen2.5-72b-instruct,1287.0,146
Metallama-3.3-70b-instruct,1287.0,146
deepseek-v2.5,1287.0,146
gemini-1.5-flash-002,1286.0,149
Tencenthunyuan-large-vision,1284.0,150
gpt-4-0125-preview,1284.0,150
gemma-3n-e4b-it,1280.0,152
grok-2-mini-2024-08-13,1279.0,153
Tencenthunyuan-standard-2025-02-10,1277.0,154
gpt-oss-20b,1277.0,154
Nvidiallama-3.1-nemotron-70b-instruct,1276.0,156
gpt-4-0314,1275.0,157
mercury,1273.0,158
athene-70b-0725,1271.0,159
amazon-nova-pro-v1.0,1271.0,159
Metallama-3.1-70b-instruct,1268.0,161
llama-3.1-tulu-3-70b,1268.0,161
gpt-4-0613,1267.0,163
ibm-granite-h-small,1265.0,164
gemma-3-4b-it,1264.0,165
gemma-2-27b-it,1264.0,165
jamba-1.5-large,1261.0,167
Anthropicclaude-3-sonnet-20240229,1260.0,168
gemini-1.5-flash-001,1258.0,169
qwen2.5-coder-32b-instruct,1258.0,169
reka-core-20240904,1256.0,171
Nvidiallama-3.1-nemotron-51b-instruct,1255.0,172
Nvidianemotron-4-340b-instruct,1253.0,173
Metallama-3-70b-instruct,1251.0,174
mistral-small-24b-instruct-2501,1250.0,175
glm-4-0520,1250.0,175
Coherecommand-r-plus-08-2024,1247.0,177
gemma-2-9b-it-simpo,1245.0,178
deepseek-coder-v2,1244.0,179
Coherec4ai-aya-expanse-32b,1243.0,180
reka-flash-20240904,1242.0,181
Azurephi-4,1240.0,182
amazon-nova-lite-v1.0,1239.0,183
Anthropicclaude-3-haiku-20240307,1238.0,184
gemma-2-9b-it,1237.0,185
Tencenthunyuan-standard-256k,1237.0,185
qwen2-72b-instruct,1235.0,187
Coherecommand-r-plus,1234.0,188
gemini-1.5-flash-8b-001,1233.0,189
mistral-large-2402,1230.0,190
Coherecommand-r-08-2024,1229.0,191
olmo-2-0325-32b-instruct,1225.0,192
amazon-nova-micro-v1.0,1211.0,193
qwen1.5-110b-chat,1211.0,193
gemini-pro,1208.0,195
mixtral-8x22b-instruct-v0.1,1207.0,196
ministral-8b-2410,1206.0,197
gpt-3.5-turbo-0125,1205.0,198
llama-3.1-tulu-3-8b,1205.0,198
qwen1.5-72b-chat,1204.0,200
mistral-medium,1204.0,200
gemini-pro-dev-api,1199.0,202
Coherec4ai-aya-expanse-8b,1199.0,202
jamba-1.5-mini,1199.0,202
reka-flash-21b-20240226-online,1194.0,205
Coherecommand-r,1192.0,206
granite-3.1-8b-instruct,1188.0,207
Metallama-3.1-8b-instruct,1188.0,207
gpt-3.5-turbo-1106,1186.0,209
Metallama-3-8b-instruct,1185.0,210
HuggingFacezephyr-orpo-141b-A35b-v0.1,1185.0,210
reka-flash-21b-20240226,1185.0,210
01.AIyi-1.5-34b-chat,1182.0,213
dbrx-instruct-preview,1179.0,214
qwen1.5-32b-chat,1178.0,215
InternLMinternlm2_5-20b-chat,1174.0,216
mixtral-8x7b-instruct-v0.1,1173.0,217
Azurephi-3-medium-4k-instruct,1171.0,218
granite-3.1-2b-instruct,1167.0,219
gemma-2-2b-it,1165.0,220
tulu-2-dpo-70b,1164.0,221
granite-3.0-8b-instruct,1163.0,222
qwen1.5-14b-chat,1161.0,223
Azurewizardlm-70b,1156.0,224
deepseek-llm-67b-chat,1149.0,225
qwq-32b-preview,1148.0,226
OpenChatopenchat-3.5-0106,1147.0,227
Azurephi-3-small-8k-instruct,1147.0,227
gemma-1.1-7b-it,1146.0,229
01.AIyi-34b-chat,1145.0,230
OpenChatopenchat-3.5,1145.0,230
Snowflakesnowflake-arctic-instruct,1145.0,230
openhermes-2.5-mistral-7b,1145.0,230
starling-lm-7b-beta,1141.0,234
