model_name,score,rank
Anthropicclaude-opus-4-5-20251101-thinking-32k,1479.0,1
Anthropicclaude-opus-4-5-20251101,1477.0,2
gemini-3-pro,1474.0,3
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1460.0,4
Anthropicclaude-opus-4-1-20250805-thinking-16k,1456.0,5
Anthropicclaude-sonnet-4-5-20250929,1453.0,6
Anthropicclaude-opus-4-1-20250805,1447.0,7
gpt-5.1-high,1445.0,8
gemini-2.5-pro,1444.0,9
grok-4.1-thinking,1440.0,10
Anthropicclaude-opus-4-20250514-thinking-16k,1439.0,11
gpt-4.5-preview-2025-02-27,1432.0,12
grok-4.1,1430.0,13
gpt-5.1,1426.0,14
qwen3-max-preview,1425.0,15
chatgpt-4o-latest-20250326,1420.0,16
MoonshotAIkimi-k2-thinking-turbo,1416.0,17
deepseek-v3.1-thinking,1415.0,18
glm-4.6,1415.0,18
qwen3-235b-a22b-instruct-2507,1415.0,18
deepseek-v3.2-thinking,1414.0,21
deepseek-v3.2-exp-thinking,1414.0,21
qwen3-max-2025-09-23,1412.0,23
gpt-5-chat,1412.0,23
deepseek-v3.2-exp,1412.0,23
deepseek-v3.2,1411.0,26
deepseek-v3.1-terminus-thinking,1411.0,26
gpt-5-high,1411.0,26
qwen3-vl-235b-a22b-instruct,1410.0,29
Anthropicclaude-sonnet-4-20250514-thinking-32k,1410.0,29
Anthropicclaude-opus-4-20250514,1409.0,31
mistral-large-3,1408.0,32
Anthropicclaude-haiku-4-5-20251001,1406.0,33
glm-4.5,1404.0,34
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1403.0,35
grok-3-preview-02-24,1403.0,35
gemini-2.5-flash,1402.0,37
deepseek-v3.1,1401.0,38
o1-2024-12-17,1401.0,38
gemini-2.5-flash-preview-09-2025,1400.0,40
grok-4-fast-chat,1400.0,40
o3-2025-04-16,1399.0,42
mistral-medium-2508,1398.0,43
grok-4-1-fast-reasoning,1397.0,44
gpt-4.1-2025-04-14,1396.0,45
grok-4-0709,1394.0,46
deepseek-r1,1391.0,47
deepseek-v3.1-terminus,1391.0,47
ernie-5.0-preview-1103,1389.0,49
mimo-v2-flash (non-thinking),1389.0,49
deepseek-r1-0528,1388.0,51
longcat-flash-chat,1388.0,51
Anthropicclaude-sonnet-4-20250514,1387.0,53
qwen3-235b-a22b-thinking-2507,1387.0,53
Tencenthunyuan-vision-1.5-thinking,1386.0,55
grok-4-fast-reasoning,1384.0,56
MoonshotAIkimi-k2-0905-preview,1381.0,57
qwen3-coder-480b-a35b-instruct,1380.0,58
qwen3-next-80b-a3b-instruct,1379.0,59
qwen3-vl-235b-a22b-thinking,1378.0,60
qwen3-235b-a22b-no-thinking,1377.0,61
Anthropicclaude-3-7-sonnet-20250219,1377.0,61
Tencenthunyuan-t1-20250711,1375.0,63
o1-preview,1375.0,63
gpt-5-mini-high,1373.0,65
deepseek-v3-0324,1373.0,65
MoonshotAIkimi-k2-0711-preview,1372.0,67
mai-1-preview,1369.0,68
gemini-2.5-flash-lite-preview-06-17-thinking,1367.0,69
gpt-4.1-mini-2025-04-14,1367.0,69
Anthropicclaude-3-5-sonnet-20241022,1366.0,71
o4-mini-2025-04-16,1365.0,72
qwen3-30b-a3b-instruct-2507,1364.0,73
o3-mini-high,1361.0,74
mistral-medium-2505,1360.0,75
glm-4.5-air,1360.0,75
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1360.0,75
grok-3-mini-high,1358.0,78
qwen3-next-80b-a3b-thinking,1356.0,79
qwen3-235b-a22b,1355.0,80
qwen2.5-max,1353.0,81
grok-3-mini-beta,1352.0,82
Tencenthunyuan-turbos-20250416,1349.0,83
Nvidiallama-3.1-nemotron-ultra-253b-v1,1346.0,84
Minimaxminimax-m1,1345.0,85
gemini-2.0-flash-001,1344.0,86
amazon-nova-experimental-chat-10-20,1344.0,86
Tencenthunyuan-turbos-20250226,1344.0,86
Stepfunstep-3,1341.0,89
gemma-3-27b-it,1340.0,90
o3-mini,1340.0,90
deepseek-v3,1339.0,92
Coherecommand-a-03-2025,1337.0,93
glm-4.5v,1336.0,94
gemini-1.5-pro-002,1334.0,95
mistral-small-2506,1334.0,95
Minimaxminimax-m2,1332.0,97
intellect-3,1331.0,98
Anthropicclaude-3-5-sonnet-20240620,1330.0,99
qwen-plus-0125,1328.0,100
o1-mini,1328.0,100
gemini-2.0-flash-lite-preview-02-05,1327.0,102
nova-2-lite,1327.0,102
qwen3-32b,1327.0,102
gpt-5-nano-high,1322.0,105
gpt-oss-120b,1322.0,105
qwq-32b,1321.0,107
gpt-4o-2024-05-13,1320.0,108
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1318.0,109
gemma-3-12b-it,1317.0,110
amazon-nova-experimental-chat-10-09,1316.0,111
ling-flash-2.0,1315.0,112
gpt-4o-2024-08-06,1313.0,113
glm-4-plus-0111,1312.0,114
Stepfunstep-2-16k-exp-202412,1311.0,115
gemini-advanced-0514,1310.0,116
Tencenthunyuan-turbo-0110,1309.0,117
Metallama-3.1-405b-instruct-fp8,1308.0,118
Metallama-3.1-405b-instruct-bf16,1308.0,118
grok-2-2024-08-13,1307.0,120
