model_name,score,rank
Gemini 3 Pro Preview (high),92.0,1
Gemini 3 Flash Thinking,91.0,2
DeepSeek V3.2 Speciale,90.0,3
GLM-4.7 Thinking,89.0,4
GPT-5.2 (xhigh),89.0,4
gpt-oss-120B (high),88.0,6
Claude Opus 4.5 Thinking,87.0,7
GPT-5.1 (high),87.0,7
MiMo-V2-Flash Thinking,87.0,7
DeepSeek V3.2 Thinking,86.0,10
Gemini 3 Pro Preview (low),86.0,10
o4-mini (high),86.0,10
GPT-5 (high),85.0,13
GPT-5.1 Codex (high),85.0,13
Kimi K2 Thinking,85.0,13
GPT-5 Codex (high),84.0,16
GPT-5 mini (high),84.0,16
GPT-5.1 Codex mini (high),84.0,16
Grok 4 Fast Thinking,83.0,19
MiniMax-M2,83.0,19
Grok 4,82.0,21
Grok 4.1 Fast Thinking,82.0,21
Apriel-v1.6-15B-Thinker,81.0,23
ERNIE 5.0 Thinking Preview,81.0,23
MiniMax-M2.1,81.0,23
o3,81.0,23
DeepSeek V3.1 Terminus Thinking,80.0,27
Gemini 2.5 Pro,80.0,27
Gemini 3 Flash Non-Thinking,80.0,27
DeepSeek V3.2 Exp Thinking,79.0,30
GPT-5 nano (high),79.0,30
Qwen3 235B A22B 2507,79.0,30
DeepSeek V3.1 Thinking,78.0,33
Gemini 2.5 Pro (Mar),78.0,33
Qwen3 Next 80B A3B Thinking,78.0,33
gpt-oss-20B (high),78.0,33
DeepSeek R1 0528,77.0,37
Doubao Seed Code,77.0,37
Gemini 2.5 Pro (May),77.0,37
Qwen3 Max,77.0,37
Seed-OSS-36B-Instruct,77.0,37
GPT-5 (low),76.0,42
GPT-5 nano (medium),76.0,42
EXAONE 4.0 32B Thinking,75.0,44
KAT-Coder-Pro V1,75.0,44
Magistral Medium 1.2,75.0,44
Claude Opus 4.5 Non-Thinking,74.0,47
GLM-4.5,74.0,47
Llama Nemotron Super 49B v1.5 Thinking,74.0,47
NVIDIA Nemotron 3 Nano Thinking,74.0,47
Qwen3 VL 32B Thinking,74.0,47
Apriel-v1.5-15B-Thinker,73.0,52
Nova 2.0 Pro Preview (medium),73.0,52
o3-mini (high),73.0,52
Magistral Small 1.2,72.0,55
NVIDIA Nemotron Nano 9B V2 Thinking,72.0,55
o3-mini,72.0,55
Claude 4.5 Sonnet Thinking,71.0,58
Gemini 2.5 Flash (Sep) Thinking,71.0,58
MiniMax M1 80k,71.0,58
Qwen3 30B A3B 2507 Thinking,71.0,58
gpt-oss-120B (low),71.0,58
GLM-4.6 Thinking,70.0,63
GPT-5 (medium),70.0,63
Gemini 2.5 Flash Thinking 2505,70.0,63
Grok 3 mini Reasoning (high),70.0,63
NVIDIA Nemotron Nano 9B V2 Non-Thinking,70.0,63
Olmo 3.1 32B Think,70.0,63
Qwen3 VL 30B A3B Thinking,70.0,63
Cogito v2.1,69.0,70
GPT-5 mini (medium),69.0,70
Gemini 2.5 Flash-Lite (Sep) Thinking,69.0,70
Hermes 4 405B Thinking,69.0,70
K2-V2 (high),69.0,70
NVIDIA Nemotron Nano 12B v2 VL Thinking,69.0,70
GLM-4.5-Air,68.0,76
Ling-1T,68.0,76
Qwen3 Next 80B A3B Non-Thinking,68.0,76
Qwen3 Omni 30B A3B Thinking,68.0,76
o1,68.0,76
GPT-5.2,67.0,81
OLMo 3 32B Think,67.0,81
Claude 4 Sonnet Thinking,66.0,83
Grok Code Fast 1,66.0,83
MiniMax M1 40k,66.0,83
Nova 2.0 Lite (medium),66.0,83
Nova 2.0 Omni (medium),66.0,83
Claude 4.1 Opus Thinking,65.0,88
Hermes 4 70B Thinking,65.0,88
Motif-2-12.7B,65.0,88
Qwen3 Max (Preview),65.0,88
Qwen3 VL 235B A22B Thinking,65.0,88
gpt-oss-20B (low),65.0,88
Claude 4 Opus Thinking,64.0,94
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,64.0,94
Llama Nemotron Ultra,64.0,94
Nova 2.0 Pro Preview (low),64.0,94
Qwen3 4B 2507 Thinking,64.0,94
Ring-1T,64.0,94
Gemini 2.5 Flash (Sep) Non-Thinking,63.0,100
HyperCLOVA X SEED Think (32B),63.0,100
QwQ-32B,63.0,100
Ring-flash-2.0,63.0,100
Claude 4.5 Haiku Thinking,62.0,104
DeepSeek R1 (Jan),62.0,104
OLMo 3 7B Think,62.0,104
Qwen3 235B Thinking,62.0,104
Solar Pro 2 Thinking,62.0,104
Kimi K2 0905,61.0,109
GLM-4.5V Thinking,60.0,110
Claude 4.5 Sonnet Non-Thinking,59.0,111
DeepSeek V3.2 Non-Thinking,59.0,111
Gemini 2.5 Flash-Lite Thinking,59.0,111
Ling-flash-2.0,59.0,111
Nova 2.0 Omni (low),59.0,111
Qwen3 Coder 480B,59.0,111
Qwen3 VL 235B A22B Non-Thinking,59.0,111
DeepSeek V3.1 Non-Thinking,58.0,118
Mi:dm K 2.5 Pro Preview,58.0,118
o1-mini,58.0,118
GLM-4.6 Non-Thinking,56.0,121
GLM-4.7 Non-Thinking,56.0,121
GPT-5 (minimal),56.0,121
Kimi K2,56.0,121
DeepSeek V3.2 Exp Non-Thinking,55.0,125
GPT-5 mini (minimal),55.0,125
Hermes 4 405B Non-Thinking,55.0,125
Qwen3 32B Thinking,55.0,125
Claude 4 Opus Non-Thinking,54.0,129
GPT-5 (ChatGPT),54.0,129
K2-V2 (medium),54.0,129
Qwen3 Max Thinking,54.0,129
DeepSeek V3.1 Terminus Non-Thinking,53.0,133
Magistral Medium 1,53.0,133
Exaone 4.0 1.2B Thinking,52.0,135
Qwen3 14B Thinking,52.0,135
Qwen3 235B 2507,52.0,135
Qwen3 30B A3B 2507 Non-Thinking,52.0,135
Claude 4.5 Haiku Non-Thinking,51.0,139
DeepSeek R1 0528 Qwen3 8B,51.0,139
Gemini 2.5 Flash Thinking 2504,51.0,139
Magistral Small 1,51.0,139
Qwen3 30B Thinking,51.0,139
Qwen3 VL 32B Non-Thinking,51.0,139
Gemini 2.5 Flash Non-Thinking 2505,50.0,145
GPT-5.1,49.0,146
Llama 3.1 Nemotron Nano 4B v1.1,49.0,146
GPT-4.1 mini,48.0,148
Qwen3 VL 30B A3B Non-Thinking,48.0,148
Claude 3.7 Sonnet Thinking,47.0,150
ERNIE 4.5 300B A47B,47.0,150
EXAONE 4.0 32B Non-Thinking,47.0,150
GPT-5 nano (minimal),47.0,150
Mistral Large 3,47.0,150
Nova 2.0 Lite (low),47.0,150
Nova 2.0 Pro Preview,47.0,150
Qwen3 4B Thinking,47.0,150
GPT-4.1,46.0,158
Solar Pro 2 Preview Thinking,46.0,158
Claude 4 Sonnet Non-Thinking,45.0,160
Devstral 2,45.0,160
Reka Flash 3,44.0,162
