model_name,score,rank
Claude Opus 4.5 Thinking,90.0,1
Gemini 3 Pro Preview (high),90.0,1
Gemini 3 Pro Preview (low),90.0,1
Claude Opus 4.5 Non-Thinking,89.0,4
Gemini 3 Flash Thinking,89.0,4
Claude 4.1 Opus Thinking,88.0,6
Claude 4.5 Sonnet Thinking,88.0,6
Gemini 3 Flash Non-Thinking,88.0,6
MiniMax-M2.1,88.0,6
Claude 4 Opus Thinking,87.0,10
GPT-5 (high),87.0,10
GPT-5 (medium),87.0,10
GPT-5 Codex (high),87.0,10
GPT-5.1 (high),87.0,10
GPT-5.2 (xhigh),87.0,10
Grok 4,87.0,10
Claude 4 Opus Non-Thinking,86.0,17
Claude 4.5 Sonnet Non-Thinking,86.0,17
DeepSeek V3.2 Thinking,86.0,17
DeepSeek V3.2 Speciale,86.0,17
GLM-4.7 Thinking,86.0,17
GPT-5 (low),86.0,17
GPT-5.1 Codex (high),86.0,17
Gemini 2.5 Pro,86.0,17
Gemini 2.5 Pro (Mar),86.0,17
Cogito v2.1,85.0,26
DeepSeek R1 0528,85.0,26
DeepSeek V3.1 Thinking,85.0,26
DeepSeek V3.1 Terminus Thinking,85.0,26
DeepSeek V3.2 Exp Thinking,85.0,26
Doubao Seed Code,85.0,26
Grok 4 Fast Thinking,85.0,26
Grok 4.1 Fast Thinking,85.0,26
Kimi K2 Thinking,85.0,26
o3,85.0,26
Claude 3.7 Sonnet Thinking,84.0,36
Claude 4 Sonnet Non-Thinking,84.0,36
Claude 4 Sonnet Thinking,84.0,36
DeepSeek R1 (Jan),84.0,36
DeepSeek V3.1 Terminus Non-Thinking,84.0,36
DeepSeek V3.2 Non-Thinking,84.0,36
DeepSeek V3.2 Exp Non-Thinking,84.0,36
GLM-4.5,84.0,36
GPT-5 mini (high),84.0,36
Gemini 2.5 Flash (Sep) Non-Thinking,84.0,36
Gemini 2.5 Flash (Sep) Thinking,84.0,36
Gemini 2.5 Pro (May),84.0,36
MiMo-V2-Flash Thinking,84.0,36
Qwen3 235B A22B 2507,84.0,36
Qwen3 Max,84.0,36
Qwen3 Max (Preview),84.0,36
Qwen3 VL 235B A22B Thinking,84.0,36
o1,84.0,36
DeepSeek V3.1 Non-Thinking,83.0,54
ERNIE 5.0 Thinking Preview,83.0,54
GLM-4.6 Thinking,83.0,54
GPT-5 mini (medium),83.0,54
Gemini 2.5 Flash Thinking 2505,83.0,54
Grok 3 mini Reasoning (high),83.0,54
Hermes 4 405B Thinking,83.0,54
Llama Nemotron Ultra,83.0,54
Nova 2.0 Pro Preview (medium),83.0,54
Qwen3 235B Thinking,83.0,54
Qwen3 235B 2507,83.0,54
o4-mini (high),83.0,54
DeepSeek V3 0324,82.0,66
EXAONE 4.0 32B Thinking,82.0,66
