model_name,score,rank
<<<<<<< HEAD
Claude Opus 4.5,80.9,1
GPT-5.2,80.0,2
Gemini 3 Flash,78.0,3
GPT-5.1,76.3,4
GPT-5.1 Instant,76.3,4
GPT-5.1 Thinking,76.3,4
Gemini 3 Pro,76.2,7
GPT-5,74.9,8
GPT-5 Codex,74.5,9
Claude Opus 4.1,74.5,9
GLM-4.7,73.8,11
GPT-5.1 Codex,73.7,12
MiMo-V2-Flash,73.4,13
Claude Haiku 4.5,73.3,14
DeepSeek-V3.2-Speciale,73.1,15
DeepSeek-V3.2 (Thinking),73.1,15
Claude Sonnet 4,72.7,17
Claude Opus 4,72.5,18
Kimi K2-Thinking-0905,71.3,19
Grok Code Fast 1,70.8,20
Claude 3.7 Sonnet,70.3,21
Qwen3-Coder 480B A35B Instruct,69.6,22
MiniMax M2,69.39999999999999,23
o3,69.1,24
o4-mini,68.10000000000001,25
GLM-4.6,68.0,26
DeepSeek-V3.2-Exp,67.80000000000001,27
Gemini 2.5 Pro Preview 06-05,67.2,28
MiniMax M2.1,67.0,29
DeepSeek-V3.1,66.0,30
Kimi K2-Instruct-0905,65.8,31
GLM-4.5,64.2,32
Gemini 2.5 Pro,63.2,33
Devstral Medium,61.6,34
Gemini 2.5 Flash,60.4,35
GLM-4.5-Air,57.599999999999994,36
MiniMax M1 80K,56.00000000000001,37
MiniMax M1 40K,55.60000000000001,38
GPT-4.1,54.6,39
Devstral Small 1.1,53.6,40
o3-mini,49.3,41
Claude 3.5 Sonnet,49.0,42
DeepSeek-R1-0528,44.6,43
DeepSeek-V3,42.0,44
o1-preview,41.3,45
o1,41.0,46
Claude 3.5 Haiku,40.6,47
Nemotron 3 Nano (30B A3B),38.800000000000004,48
GPT-4.5,38.0,49
GPT-4o,33.2,50
=======
Claude Opus 4.5,0.809,1
GPT-5.2,0.8,2
Gemini 3 Flash,0.78,3
GPT-5.1,0.763,4
GPT-5.1 Instant,0.763,4
GPT-5.1 Thinking,0.763,4
Gemini 3 Pro,0.762,7
GPT-5,0.749,8
GPT-5 Codex,0.745,9
Claude Opus 4.1,0.745,9
GLM-4.7,0.738,11
GPT-5.1 Codex,0.737,12
MiMo-V2-Flash,0.734,13
Claude Haiku 4.5,0.733,14
DeepSeek-V3.2-Speciale,0.731,15
DeepSeek-V3.2 (Thinking),0.731,15
Claude Sonnet 4,0.727,17
Claude Opus 4,0.725,18
Kimi K2-Thinking-0905,0.713,19
Grok Code Fast 1,0.708,20
Claude 3.7 Sonnet,0.703,21
Qwen3-Coder 480B A35B Instruct,0.696,22
MiniMax M2,0.694,23
o3,0.691,24
o4-mini,0.681,25
GLM-4.6,0.68,26
DeepSeek-V3.2-Exp,0.678,27
Gemini 2.5 Pro Preview 06-05,0.672,28
MiniMax M2.1,0.67,29
DeepSeek-V3.1,0.66,30
Kimi K2-Instruct-0905,0.658,31
GLM-4.5,0.642,32
Gemini 2.5 Pro,0.632,33
Devstral Medium,0.616,34
Gemini 2.5 Flash,0.604,35
GLM-4.5-Air,0.576,36
MiniMax M1 80K,0.56,37
MiniMax M1 40K,0.556,38
GPT-4.1,0.546,39
Devstral Small 1.1,0.536,40
o3-mini,0.493,41
Claude 3.5 Sonnet,0.49,42
DeepSeek-R1-0528,0.446,43
DeepSeek-V3,0.42,44
o1-preview,0.413,45
o1,0.41,46
Claude 3.5 Haiku,0.406,47
Nemotron 3 Nano (30B A3B),0.388,48
GPT-4.5,0.38,49
GPT-4o,0.332,50
>>>>>>> b33f13d89c137653bb0e88783874168f3c5b911a
