model_name,score,rank
GPT-5.2 Pro,0.932,1
GPT-5.2,0.924,2
Gemini 3 Pro,0.919,3
Gemini 3 Flash,0.904,4
Grok-4 Heavy,0.884,5
GPT-5.1,0.881,6
GPT-5.1 Instant,0.881,6
GPT-5.1 Thinking,0.881,6
Grok-4,0.875,9
Claude Opus 4.5,0.87,10
Gemini 2.5 Pro Preview 06-05,0.864,11
GPT-5,0.857,12
GLM-4.7,0.857,12
Grok 4 Fast,0.857,12
Claude 3.7 Sonnet,0.848,15
Grok-3,0.846,16
Kimi K2-Thinking-0905,0.845,17
Grok-3 Mini,0.84,18
MiMo-V2-Flash,0.837,19
Claude Sonnet 4.5,0.834,20
o3,0.833,21
Gemini 2.5 Pro,0.83,22
Gemini 2.5 Flash,0.828,23
DeepSeek-V3.2 (Thinking),0.824,24
GPT-5 mini,0.823,25
o4-mini,0.814,26
Qwen3-235B-A22B-Thinking-2507,0.811,27
GLM-4.6,0.81,28
DeepSeek-R1-0528,0.81,28
MiniMax M2.1,0.81,28
Claude Opus 4.1,0.809,31
GPT OSS 120B,0.801,32
DeepSeek-V3.2-Exp,0.799,33
Claude Opus 4,0.796,34
GLM-4.5,0.791,35
o1-pro,0.79,36
o1,0.78,37
MiniMax M2,0.78,37
Qwen3-235B-A22B-Instruct-2507,0.775,39
o3-mini,0.772,40
Qwen3-Next-80B-A3B-Thinking,0.772,40
Llama 3.1 Nemotron Ultra 253B v1,0.76,42
Kimi K2 0905,0.758,43
Claude Sonnet 4,0.754,44
Kimi K2 Instruct,0.751,45
Kimi K2-Instruct-0905,0.751,45
Nemotron 3 Nano (30B A3B),0.75,47
GLM-4.5-Air,0.75,47
DeepSeek-V3.1,0.749,49
Qwen3 VL 30B A3B Thinking,0.744,50
