model_name,score,rank
GPT-5.2 (xhigh),99.0,1
GPT-5 Codex (high),99.0,1
Gemini 3 Flash,97.0,3
DeepSeek V3.2 Speciale,97.0,3
Gemini 3 Pro Preview (high),96.0,5
GPT-5.1 Codex (high),96.0,5
MiMo-V2-Flash,96.0,5
GLM-4.7,95.0,8
Kimi K2 Thinking,95.0,8
KAT-Coder-Pro V1,95.0,8
GPT-5.1 (high),94.0,11
GPT-5 (high),94.0,11
Grok 4,93.0,13
gpt-oss-120B (high),93.0,13
GPT-5 (medium),92.0,15
DeepSeek V3.2,92.0,15
GPT-5.1 Codex mini (high),92.0,15
Claude Opus 4.5,91.0,18
GPT-5 mini (high),91.0,18
o4-mini (high),91.0,18
Qwen3 235B A22B 2507,91.0,18
NVIDIA Nemotron 3 Nano,91.0,18
Grok 4 Fast,90.0,23
DeepSeek V3.1 Terminus,90.0,23
Nova 2.0 Omni (medium),90.0,23
DeepSeek V3.1,90.0,23
Grok 4.1 Fast,89.0,27
Nova 2.0 Pro Preview (medium),89.0,27
Nova 2.0 Lite (medium),89.0,27
gpt-oss-20B (high),89.0,27
Ring-1T,89.0,27
o3,88.0,32
Claude 4.5 Sonnet,88.0,32
Gemini 2.5 Pro,88.0,32
Apriel-v1.6-15B-Thinker,88.0,32
DeepSeek V3.2 Exp,88.0,32
Qwen3 VL 235B A22B,88.0,32
Apriel-v1.5-15B-Thinker,88.0,32
Gemini 3 Pro Preview (low),87.0,39
GLM-4.6,86.0,40
GPT-5 mini (medium),85.0,41
Grok 3 mini Reasoning (high),85.0,41
ERNIE 5.0 Thinking Preview,85.0,41
Qwen3 VL 32B,85.0,41
Seed-OSS-36B-Instruct,85.0,41
GLM-4.6V,85.0,41
Claude 4.5 Haiku,84.0,47
Qwen3 Next 80B A3B,84.0,47
GPT-5 nano (high),84.0,47
Ring-flash-2.0,84.0,47
MiniMax-M2.1,83.0,51
GPT-5 (low),83.0,51
Qwen3 4B 2507,83.0,51
Qwen3 Max Thinking,82.0,54
Magistral Medium 1.2,82.0,54
Qwen3 VL 30B A3B,82.0,54
Qwen3 235B,82.0,54
Qwen3 Max,81.0,58
GLM-4.5-Air,81.0,58
Claude 4.1 Opus,80.0,60
Motif-2-12.7B,80.0,60
Magistral Small 1.2,80.0,60
EXAONE 4.0 32B,80.0,60
Doubao Seed Code,79.0,64
Mi:dm K 2.5 Pro Preview,79.0,64
MiniMax-M2,78.0,66
Gemini 2.5 Flash (Sep),78.0,66
GPT-5 nano (medium),78.0,66
K2-V2 (high),78.0,66
Llama Nemotron Super 49B v1.5,77.0,70
Olmo 3.1 32B Think,77.0,70
DeepSeek R1 0528,76.0,72
Qwen3 Max (Preview),75.0,73
NVIDIA Nemotron Nano 12B v2 VL,75.0,73
Claude 4 Sonnet,74.0,75
GLM-4.5,74.0,75
Qwen3 Omni 30B A3B,74.0,75
OLMo 3 32B Think,74.0,75
Claude 4 Opus,73.0,79
Gemini 2.5 Flash,73.0,79
Qwen3 32B,73.0,79
GLM-4.5V,73.0,79
Cogito v2.1,73.0,79
Qwen3 235B 2507,72.0,84
Qwen3 VL 30B A3B,72.0,84
Qwen3 30B,72.0,84
Ling-1T,71.0,87
Qwen3 VL 235B A22B,71.0,87
OLMo 3 7B Think,71.0,87
Hermes 4 405B,70.0,90
NVIDIA Nemotron Nano 9B V2,70.0,90
Gemini 2.5 Flash-Lite (Sep),69.0,92
Hermes 4 70B,69.0,92
MiMo-V2-Flash,68.0,94
DeepSeek R1 (Jan),68.0,94
Qwen3 VL 32B,68.0,94
gpt-oss-120B (low),67.0,97
Qwen3 Next 80B A3B,66.0,98
Qwen3 30B A3B 2507,66.0,98
K2-V2 (medium),65.0,100
Ling-flash-2.0,65.0,100
Llama Nemotron Ultra,64.0,102
DeepSeek R1 0528 Qwen3 8B,64.0,102
Claude Opus 4.5,63.0,104
Nova 2.0 Pro Preview (low),63.0,104
DeepSeek R1 Distill Qwen 32B,63.0,104
gpt-oss-20B (low),62.0,107
NVIDIA Nemotron Nano 9B V2,62.0,107
MiniMax M1 80k,61.0,109
Solar Pro 2,61.0,109
Gemini 2.5 Flash,60.0,111
DeepSeek V3.2,59.0,112
HyperCLOVA X SEED Think (32B),59.0,112
DeepSeek V3.2 Exp,58.0,114
Grok 3,58.0,114
Qwen3 14B,58.0,114
Kimi K2 0905,57.0,117
Kimi K2,57.0,117
Gemini 2.5 Flash (Sep),57.0,117
Gemini 3 Flash,56.0,120
Claude 3.7 Sonnet,56.0,120
Nova 2.0 Omni (low),56.0,120
Qwen3 30B A3B 2507,56.0,120
Qwen3 14B,56.0,120
DeepSeek R1 Distill Qwen 14B,56.0,120
Llama 3.3 Nemotron Super 49B,55.0,126
DeepSeek V3.1 Terminus,54.0,127
DeepSeek R1 Distill Llama 70B,54.0,127
Gemini 2.5 Flash-Lite,53.0,129
Qwen3 4B 2507,52.0,130
Qwen3 Omni 30B A3B,52.0,130
GPT-5.2,51.0,132
DeepSeek V3.1,50.0,133
Exaone 4.0 1.2B,50.0,133
Llama 3.1 Nemotron Nano 4B v1.1,50.0,133
Ling-mini-2.0,49.0,136
GLM-4.7,48.0,137
GPT-5 (ChatGPT),48.0,137
Nova 2.0 Lite (low),47.0,139
Gemini 2.5 Flash-Lite (Sep),47.0,139
GPT-5 mini (minimal),47.0,139
GPT-4.1 mini,46.0,142
GLM-4.6,44.0,143
Grok Code Fast 1,43.0,144
DeepSeek V3 0324,41.0,145
Grok 4 Fast,41.0,145
ERNIE 4.5 300B A47B,41.0,145
Magistral Small 1,41.0,145
OLMo 3 7B,41.0,145
DeepSeek R1 Distill Llama 8B,41.0,145
Magistral Medium 1,40.0,151
Qwen3 Coder 480B,39.0,152
Claude 4.5 Haiku,39.0,152
EXAONE 4.0 32B,39.0,152
Qwen3 1.7B,39.0,152
Claude 4 Sonnet,38.0,156
GPT-5.1,38.0,156
Mistral Large 3,38.0,156
Mistral Medium 3.1,38.0,156
Claude 4.5 Sonnet,37.0,160
Devstral 2,37.0,160
Nova 2.0 Omni,37.0,160
Qwen3 VL 4B,37.0,160
Claude 4 Opus,36.0,164
Kimi Linear 48B A3B Instruct,36.0,164
GPT-4.1,35.0,166
K2-V2 (low),35.0,166
Gemini 2.5 Flash-Lite,35.0,166
Grok 4.1 Fast,34.0,169
Nova 2.0 Lite,34.0,169
Devstral Small 2,34.0,169
Reka Flash 3,34.0,169
GPT-5 (minimal),32.0,173
Ministral 8B (Dec '25),32.0,173
Nova 2.0 Pro Preview,31.0,175
Qwen3 VL 8B,31.0,175
Mistral Medium 3,30.0,177
