model_name,score,rank
Gemini 3 Pro Preview (high),91.0,1
GPT-5.2 (xhigh),90.0,2
Gemini 3 Flash,90.0,2
Gemini 3 Pro Preview (low),89.0,4
Grok 4,88.0,5
Claude Opus 4.5,87.0,6
GPT-5.1 (high),87.0,6
DeepSeek V3.2 Speciale,87.0,6
GLM-4.7,86.0,9
GPT-5.1 Codex (high),86.0,9
GPT-5 (high),85.0,11
MiMo-V2-Flash,85.0,11
o3-pro,85.0,11
Grok 4.1 Fast,85.0,11
Grok 4 Fast,85.0,11
GPT-5 Codex (high),84.0,16
Kimi K2 Thinking,84.0,16
GPT-5 (medium),84.0,16
DeepSeek V3.2,84.0,16
Gemini 2.5 Pro,84.0,16
Gemini 2.5 Pro (Mar),84.0,16
o3,83.0,22
GPT-5 mini (high),83.0,22
MiniMax-M2.1,83.0,22
Claude 4.5 Sonnet,83.0,22
Gemini 2.5 Pro (May),82.0,26
GPT-5.1 Codex mini (high),81.0,27
GPT-5 (low),81.0,27
Claude Opus 4.5,81.0,27
Claude 4.1 Opus,81.0,27
Gemini 3 Flash,81.0,27
DeepSeek R1 0528,81.0,27
ERNIE 4.5 300B A47B,81.0,27
GPT-5 mini (medium),80.0,34
DeepSeek V3.2 Exp,80.0,34
Claude 4 Opus,80.0,34
Nova 2.0 Pro Preview (medium),79.0,37
DeepSeek V3.1 Terminus,79.0,37
Qwen3 235B A22B 2507,79.0,37
Grok 3 mini Reasoning (high),79.0,37
Gemini 2.5 Flash (Sep),79.0,37
Gemini 2.5 Flash,79.0,37
MiniMax-M2,78.0,43
gpt-oss-120B (high),78.0,43
o4-mini (high),78.0,43
Claude 4 Sonnet,78.0,43
GLM-4.6,78.0,43
Qwen3 Max Thinking,78.0,43
DeepSeek V3.1,78.0,43
ERNIE 5.0 Thinking Preview,78.0,43
GLM-4.5,78.0,43
Nova 2.0 Lite (medium),77.0,52
Qwen3 VL 235B A22B,77.0,52
o3-mini (high),77.0,52
Kimi K2 0905,77.0,52
Claude 3.7 Sonnet,77.0,52
Kimi K2,77.0,52
Gemini 2.5 Flash (Sep),77.0,52
Cogito v2.1,77.0,52
KAT-Coder-Pro V1,76.0,60
Doubao Seed Code,76.0,60
Nova 2.0 Omni (medium),76.0,60
Qwen3 Max,76.0,60
Qwen3 Next 80B A3B,76.0,60
NVIDIA Nemotron 3 Nano,76.0,60
Qwen3 Max (Preview),76.0,60
Nova 2.0 Pro Preview (low),75.0,67
DeepSeek V3.2,75.0,67
o3-mini,75.0,67
o1,75.0,67
DeepSeek V3.1 Terminus,75.0,67
Qwen3 235B 2507,75.0,67
Llama Nemotron Super 49B v1.5,75.0,67
Magistral Medium 1.2,74.0,74
DeepSeek V3.2 Exp,74.0,74
Qwen3 Next 80B A3B,74.0,74
DeepSeek V3.1,74.0,74
EXAONE 4.0 32B,74.0,74
Apriel-v1.6-15B-Thinker,73.0,79
Qwen3 VL 32B,73.0,79
Seed-OSS-36B-Instruct,73.0,79
Claude 4.5 Sonnet,73.0,79
GLM-4.5-Air,73.0,79
Grok Code Fast 1,73.0,79
Hermes 4 405B,73.0,79
Qwen3 Omni 30B A3B,73.0,79
Ring-flash-2.0,73.0,79
Llama Nemotron Ultra,73.0,79
Qwen3 VL 30B A3B,72.0,89
Ling-1T,72.0,89
Mi:dm K 2.5 Pro Preview,72.0,89
GLM-4.6V,72.0,89
Apriel-v1.5-15B-Thinker,71.0,93
GPT-5.2,71.0,93
Gemini 2.5 Flash-Lite (Sep),71.0,93
Qwen3 30B A3B 2507,71.0,93
Qwen3 VL 235B A22B,71.0,93
DeepSeek R1 (Jan),71.0,93
Nova 2.0 Omni (low),70.0,99
