model_name,score,rank
Gemini 3 Pro Preview (high),56.0,1
GPT-5.2 (xhigh),52.0,2
Gemini 3 Flash,51.0,3
Claude Opus 4.5,50.0,4
Gemini 3 Pro Preview (low),50.0,4
Gemini 3 Flash,50.0,4
Claude Opus 4.5,47.0,7
o4-mini (high),47.0,7
Grok 4,46.0,9
GLM-4.7,45.0,10
Claude 4.5 Sonnet,45.0,10
Grok 4.1 Fast,44.0,12
Grok 4 Fast,44.0,12
DeepSeek V3.2 Speciale,44.0,12
GPT-5.1 (high),43.0,15
GPT-5 (high),43.0,15
Nova 2.0 Pro Preview (medium),43.0,15
GPT-5.1 Codex mini (high),43.0,15
Gemini 2.5 Pro,43.0,15
Claude 4.5 Haiku,43.0,15
Claude 4.5 Sonnet,43.0,15
Kimi K2 Thinking,42.0,22
Qwen3 235B A22B 2507,42.0,22
Gemini 2.5 Pro (May),42.0,22
GPT-5 Codex (high),41.0,25
GPT-5 (medium),41.0,25
o3,41.0,25
MiniMax-M2.1,41.0,25
GPT-5 mini (medium),41.0,25
Claude 4.1 Opus,41.0,25
DeepSeek V3.1 Terminus,41.0,25
Doubao Seed Code,41.0,25
Grok 3 mini Reasoning (high),41.0,25
Gemini 2.5 Flash (Sep),41.0,25
Claude 4 Opus,41.0,25
Cogito v2.1,41.0,25
GPT-5.1 Codex (high),40.0,37
Claude 4 Sonnet,40.0,37
Qwen3 VL 235B A22B,40.0,37
Claude 4 Opus,40.0,37
Gemini 2.5 Pro (Mar),40.0,37
DeepSeek R1 0528,40.0,37
o3-mini (high),40.0,37
Claude 3.7 Sonnet,40.0,37
o3-mini,40.0,37
GPT-5.2,40.0,37
DeepSeek V3.2 Exp,40.0,37
GPT-4.1 mini,40.0,37
Qwen3 235B,40.0,37
MiMo-V2-Flash,39.0,50
DeepSeek V3.2,39.0,50
GPT-5 mini (high),39.0,50
GPT-5 (low),39.0,50
gpt-oss-120B (high),39.0,50
Nova 2.0 Pro Preview (low),39.0,50
Qwen3 Max Thinking,39.0,50
Qwen3 Next 80B A3B,39.0,50
DeepSeek V3.1,39.0,50
DeepSeek V3.2,39.0,50
Magistral Medium 1.2,39.0,50
Gemini 2.5 Flash,39.0,50
GPT-5 (minimal),39.0,50
DeepSeek V3.2 Exp,38.0,63
GLM-4.6,38.0,63
Qwen3 Max,38.0,63
ERNIE 5.0 Thinking Preview,38.0,63
Gemini 2.5 Flash (Sep),38.0,63
GPT-4.1,38.0,63
GPT-5 (ChatGPT),38.0,63
Claude 3.7 Sonnet,38.0,63
MiniMax M1 40k,38.0,63
DeepSeek R1 Distill Qwen 32B,38.0,63
KAT-Coder-Pro V1,37.0,73
Nova 2.0 Lite (medium),37.0,73
Apriel-v1.6-15B-Thinker,37.0,73
Seed-OSS-36B-Instruct,37.0,73
GPT-5 nano (high),37.0,73
Qwen3 Max (Preview),37.0,73
MiniMax M1 80k,37.0,73
Grok 3,37.0,73
DeepSeek V3.1,37.0,73
Claude 4 Sonnet,37.0,73
GPT-5.1,37.0,73
Ring-1T,37.0,73
GPT-5 mini (minimal),37.0,73
GPT-4o (Mar),37.0,73
Claude 3.5 Sonnet (Oct),37.0,73
MiniMax-M2,36.0,88
Nova 2.0 Omni (medium),36.0,88
Grok Code Fast 1,36.0,88
gpt-oss-120B (low),36.0,88
o1,36.0,88
Gemini 2.5 Flash,36.0,88
Qwen3 235B 2507,36.0,88
Qwen3 VL 235B A22B,36.0,88
DeepSeek R1 (Jan),36.0,88
Qwen3 Coder 480B,36.0,88
DeepSeek V3 0324,36.0,88
Mistral Large 3,36.0,88
QwQ-32B,36.0,88
Apriel-v1.5-15B-Thinker,35.0,101
GLM-4.5,35.0,101
GLM-4.7,35.0,101
Kimi K2,35.0,101
Llama Nemotron Super 49B v1.5,35.0,101
Ling-1T,35.0,101
Magistral Small 1.2,35.0,101
Qwen3 32B,35.0,101
Llama Nemotron Ultra,35.0,101
Hermes 4 405B,35.0,101
DeepSeek V3 (Dec),35.0,101
gpt-oss-20B (high),34.0,112
GPT-5 nano (medium),34.0,112
Nova 2.0 Omni (low),34.0,112
gpt-oss-20B (low),34.0,112
EXAONE 4.0 32B,34.0,112
Claude 4.5 Haiku,34.0,112
Hermes 4 70B,34.0,112
Mistral Medium 3.1,34.0,112
Gemini 2.0 Flash (exp),34.0,112
Qwen2.5 Max,34.0,112
Nova 2.0 Lite (low),33.0,122
Qwen3 30B A3B 2507,33.0,122
GLM-4.6,33.0,122
Grok 4 Fast,33.0,122
Gemini 2.0 Flash Thinking exp. (Jan),33.0,122
Devstral 2,33.0,122
Llama 4 Maverick,33.0,122
Mistral Medium 3,33.0,122
Gemini 2.0 Flash,33.0,122
GPT-4o (Nov),33.0,122
GPT-4o (ChatGPT),33.0,122
DeepSeek V3.1 Terminus,32.0,133
o1-mini,32.0,133
Qwen3 14B,32.0,133
ERNIE 4.5 300B A47B,32.0,133
Claude 3.5 Sonnet (June),32.0,133
GPT-4 Turbo,32.0,133
Kimi K2 0905,31.0,139
GLM-4.5-Air,31.0,139
Qwen3 Next 80B A3B,31.0,139
Qwen3 Omni 30B A3B,31.0,139
Qwen3 VL 30B A3B,31.0,139
Gemini 2.0 Pro Experimental,31.0,139
DeepSeek R1 Distill Llama 70B,31.0,139
GPT-4o (May),31.0,139
NVIDIA Nemotron 3 Nano,30.0,147
Mi:dm K 2.5 Pro Preview,30.0,147
Qwen3 VL 32B,30.0,147
GLM-4.6V,30.0,147
Grok 4.1 Fast,30.0,147
Solar Pro 2,30.0,147
Qwen3 30B A3B 2507,30.0,147
Magistral Medium 1,30.0,147
Gemini 1.5 Pro (Sep),30.0,147
Qwen3 235B,30.0,147
Llama 3.1 405B,30.0,147
Tulu3 405B,30.0,147
Grok Beta,30.0,147
Gemini 2.5 Flash-Lite (Sep),29.0,160
K2-V2 (high),29.0,160
Qwen3 VL 30B A3B,29.0,160
Gemini 2.5 Flash,29.0,160
Olmo 3.1 32B Think,29.0,160
Ling-flash-2.0,29.0,160
OLMo 3 32B Think,29.0,160
Devstral Small 2,29.0,160
GPT-5 nano (minimal),29.0,160
Devstral Medium,29.0,160
Mistral Large 2 (Nov),29.0,160
Pixtral Large,29.0,160
Qwen3 VL 32B,28.0,172
Motif-2-12.7B,28.0,172
HyperCLOVA X SEED Think (32B),28.0,172
Nova 2.0 Pro Preview,28.0,172
Gemini 2.5 Flash-Lite (Sep),28.0,172
Qwen3 30B,28.0,172
Llama 3.3 Nemotron Super 49B,28.0,172
Nova 2.0 Omni,28.0,172
