model_name,score,rank
GLM-4.7,96.0,1
MiMo-V2-Flash,95.0,2
GLM-4.7,94.0,3
Kimi K2 Thinking,93.0,4
Grok 4.1 Fast,93.0,4
Nova 2.0 Pro Preview (medium),93.0,4
DeepSeek V3.2,91.0,7
Nova 2.0 Pro Preview (low),91.0,7
Claude Opus 4.5,90.0,9
Grok 3 mini Reasoning (high),90.0,9
KAT-Coder-Pro V1,89.0,11
Gemini 3 Pro Preview (high),87.0,12
GPT-5 Codex (high),87.0,12
GPT-5 (medium),87.0,12
MiniMax-M2,87.0,12
HyperCLOVA X SEED Think (32B),87.0,12
Claude Opus 4.5,86.0,17
GPT-5.2 (xhigh),85.0,18
GPT-5 (high),85.0,18
MiniMax-M2.1,85.0,18
GPT-5 (low),84.0,21
Qwen3 Max Thinking,84.0,21
ERNIE 5.0 Thinking Preview,84.0,21
MiMo-V2-Flash,84.0,21
GPT-5.1 Codex (high),83.0,25
GPT-5.1 (high),82.0,26
o3,81.0,27
Gemini 3 Flash,80.0,28
Nova 2.0 Omni (medium),80.0,28
DeepSeek V3.2,79.0,30
Claude 4.5 Sonnet,78.0,31
GLM-4.6,77.0,32
Nova 2.0 Lite (medium),76.0,33
Grok Code Fast 1,76.0,33
Grok 4,75.0,35
Qwen3 Max,74.0,36
Kimi K2 0905,73.0,37
Nova 2.0 Lite (low),72.0,38
Nova 2.0 Pro Preview,72.0,38
GPT-5 mini (medium),71.0,40
Claude 4.1 Opus,71.0,40
GLM-4.6,71.0,40
Claude 4 Opus,71.0,40
Claude 4.5 Sonnet,71.0,40
Apriel-v1.6-15B-Thinker,69.0,45
Gemini 3 Pro Preview (low),68.0,46
GPT-5 mini (high),68.0,46
Apriel-v1.5-15B-Thinker,68.0,46
Nova 2.0 Omni (low),68.0,46
GPT-5 (minimal),67.0,50
gpt-oss-120B (high),66.0,51
Grok 4 Fast,66.0,51
Claude 4 Sonnet,65.0,53
Grok 4 Fast,64.0,54
Grok 4.1 Fast,64.0,54
GPT-5.1 Codex mini (high),63.0,56
o1,63.0,56
Nova 2.0 Lite,62.0,58
Kimi K2,61.0,59
gpt-oss-20B (high),60.0,60
Doubao Seed Code,58.0,61
o4-mini (high),56.0,62
Claude 4.5 Haiku,55.0,63
Claude 3.7 Sonnet,55.0,63
Gemini 2.5 Pro,54.0,65
Qwen3 VL 235B A22B,54.0,65
Qwen3 235B A22B 2507,53.0,67
GPT-4.1 mini,53.0,67
Magistral Medium 1.2,52.0,69
Claude 4 Sonnet,52.0,69
gpt-oss-20B (low),50.0,71
Claude 3.7 Sonnet,50.0,71
Seed-OSS-36B-Instruct,49.0,73
Grok 3,49.0,73
Mi:dm K 2.5 Pro Preview,49.0,73
GLM-4.5-Air,47.0,76
GPT-5.2,47.0,76
Motif-2-12.7B,47.0,76
GPT-4.1,47.0,76
GPT-5.1,47.0,76
DeepSeek V3 0324,47.0,76
Gemini 2.5 Flash (Sep),46.0,82
Qwen3 VL 32B,46.0,82
gpt-oss-120B (low),45.0,84
Nova 2.0 Omni,45.0,84
Qwen3 Coder 480B,44.0,86
Gemini 3 Flash,43.0,87
GLM-4.5,43.0,87
Qwen3 Next 80B A3B,42.0,89
NVIDIA Nemotron 3 Nano,41.0,90
Mistral Medium 3.1,41.0,90
Nova Premier,38.0,92
DeepSeek V3.1 Terminus,37.0,93
DeepSeek V3.1,37.0,93
DeepSeek R1 0528,37.0,93
GPT-5 nano (high),37.0,93
DeepSeek V3.1 Terminus,37.0,93
Pixtral Large,37.0,93
DeepSeek V3.1,35.0,99
Qwen3 VL 235B A22B,35.0,99
Qwen3 14B,35.0,99
Qwen3 Coder 30B A3B,35.0,99
Qwen2.5 72B,35.0,99
DeepSeek V3.2 Exp,34.0,104
DeepSeek V3.2 Exp,34.0,104
MiniMax M1 80k,34.0,104
Qwen3 Max (Preview),33.0,107
Qwen3 235B 2507,33.0,107
Ling-1T,33.0,107
Claude 4.5 Haiku,33.0,107
Mistral Large 2 (Jul),33.0,107
Gemini 2.5 Flash,32.0,112
GPT-5 mini (minimal),32.0,112
