model_name,score,rank
Anthropicclaude-opus-4-5-20251101,1527.0,1
Anthropicclaude-opus-4-5-20251101-thinking-32k,1512.0,2
gemini-3-pro,1504.0,3
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1501.0,4
Anthropicclaude-sonnet-4-5-20250929,1489.0,5
gpt-5.1-high,1484.0,6
grok-4.1-thinking,1484.0,6
Anthropicclaude-opus-4-1-20250805-thinking-16k,1483.0,8
qwen3-max-preview,1468.0,9
gpt-5.1,1465.0,10
gemini-2.5-pro,1465.0,10
qwen3-235b-a22b-thinking-2507,1460.0,12
Anthropicclaude-opus-4-1-20250805,1458.0,13
gpt-5-high,1458.0,13
grok-4.1,1456.0,15
MoonshotAIkimi-k2-thinking-turbo,1452.0,16
qwen3-235b-a22b-instruct-2507,1449.0,17
o3-2025-04-16,1444.0,18
gpt-5-chat,1443.0,19
grok-4-1-fast-reasoning,1443.0,19
gemini-2.5-flash-preview-09-2025,1442.0,21
glm-4.6,1442.0,21
Anthropicclaude-opus-4-20250514-thinking-16k,1442.0,21
glm-4.5,1440.0,24
deepseek-v3.2-exp-thinking,1438.0,25
Anthropicclaude-haiku-4-5-20251001,1437.0,26
qwen3-vl-235b-a22b-thinking,1436.0,27
qwen3-vl-235b-a22b-instruct,1436.0,27
deepseek-v3.2-thinking,1433.0,29
Anthropicclaude-sonnet-4-20250514-thinking-32k,1432.0,30
grok-4-0709,1431.0,31
deepseek-v3.1-thinking,1430.0,32
deepseek-v3.1,1430.0,32
Anthropicclaude-opus-4-20250514,1430.0,32
deepseek-v3.2,1429.0,35
gemini-2.5-flash,1428.0,36
gpt-4.5-preview-2025-02-27,1426.0,37
deepseek-v3.2-exp,1426.0,37
qwen3-max-2025-09-23,1426.0,37
ernie-5.0-preview-1103,1426.0,37
grok-4-fast-chat,1424.0,41
chatgpt-4o-latest-20250326,1422.0,42
MoonshotAIkimi-k2-0905-preview,1419.0,43
longcat-flash-chat,1419.0,43
grok-4-fast-reasoning,1414.0,45
deepseek-r1-0528,1412.0,46
mistral-large-3,1409.0,47
MoonshotAIkimi-k2-0711-preview,1407.0,48
o4-mini-2025-04-16,1406.0,49
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1406.0,49
mistral-medium-2508,1405.0,51
glm-4.5v,1404.0,52
gpt-5-mini-high,1404.0,52
grok-3-preview-02-24,1402.0,54
mai-1-preview,1400.0,55
gpt-4.1-2025-04-14,1400.0,55
grok-3-mini-high,1399.0,57
qwen3-next-80b-a3b-instruct,1399.0,57
Tencenthunyuan-t1-20250711,1398.0,59
Anthropicclaude-sonnet-4-20250514,1397.0,60
o1-2024-12-17,1397.0,60
deepseek-r1,1395.0,62
qwen3-235b-a22b-no-thinking,1395.0,62
qwen3-32b,1395.0,62
o3-mini-high,1394.0,65
deepseek-v3-0324,1390.0,66
glm-4.5-air,1388.0,67
qwen3-30b-a3b-instruct-2507,1385.0,68
qwen3-next-80b-a3b-thinking,1385.0,68
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1383.0,70
Anthropicclaude-3-7-sonnet-20250219,1382.0,71
qwen3-235b-a22b,1381.0,72
gpt-4.1-mini-2025-04-14,1380.0,73
qwen3-coder-480b-a35b-instruct,1379.0,74
mistral-medium-2505,1377.0,75
o1-preview,1376.0,76
grok-3-mini-beta,1375.0,77
intellect-3,1371.0,78
Minimaxminimax-m1,1370.0,79
qwen-plus-0125,1366.0,80
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1366.0,80
gemini-2.5-flash-lite-preview-06-17-thinking,1366.0,80
Anthropicclaude-3-5-sonnet-20241022,1364.0,83
qwen2.5-max,1364.0,83
o3-mini,1362.0,85
amazon-nova-experimental-chat-10-20,1362.0,85
nova-2-lite,1360.0,87
ling-flash-2.0,1359.0,88
gpt-oss-120b,1359.0,88
qwq-32b,1358.0,90
gpt-5-nano-high,1357.0,91
Stepfunstep-3,1357.0,91
Tencenthunyuan-turbos-20250416,1352.0,93
gemini-2.0-flash-001,1351.0,94
o1-mini,1347.0,95
deepseek-v3,1342.0,96
Anthropicclaude-3-5-sonnet-20240620,1336.0,97
Coherecommand-a-03-2025,1336.0,97
Minimaxminimax-m2,1332.0,99
gemini-1.5-pro-002,1332.0,99
gemma-3-27b-it,1332.0,99
mistral-small-2506,1329.0,102
gemini-2.0-flash-lite-preview-02-05,1326.0,103
Stepfunstep-2-16k-exp-202412,1321.0,104
Metallama-3.1-405b-instruct-fp8,1317.0,105
grok-2-2024-08-13,1309.0,106
glm-4-plus-0111,1306.0,107
gpt-4o-2024-05-13,1306.0,107
gpt-4o-2024-08-06,1305.0,109
Metallama-3.1-405b-instruct-bf16,1305.0,109
gemini-advanced-0514,1289.0,111
gemma-3-12b-it,1269.0,112
