model_name,score,rank
GPT-5.2 ProOpenAI,0.932,1
GPT-5.2OpenAI,0.924,2
Gemini 3 ProGoogle,0.919,3
Gemini 3 FlashGoogle,0.904,4
Grok-4 HeavyxAI,0.884,5
GPT-5.1OpenAI,0.881,6
GPT-5.1 InstantOpenAI,0.881,6
GPT-5.1 ThinkingOpenAI,0.881,6
Grok-4xAI,0.875,9
Claude Opus 4.5Anthropic,0.87,10
Gemini 2.5 Pro Preview 06-05Google,0.864,11
GPT-5OpenAI,0.857,12
GLM-4.7NewZhipu AI,0.857,12
Grok 4 FastxAI,0.857,12
Claude 3.7 SonnetAnthropic,0.848,15
Grok-3xAI,0.846,16
Kimi K2-Thinking-0905Moonshot AI,0.845,17
Grok-3 MinixAI,0.84,18
MiMo-V2-FlashXiaomi,0.837,19
Claude Sonnet 4.5Anthropic,0.834,20
o3OpenAI,0.833,21
Gemini 2.5 ProGoogle,0.83,22
Gemini 2.5 FlashGoogle,0.828,23
DeepSeek-V3.2 (Thinking)DeepSeek,0.824,24
GPT-5 miniOpenAI,0.823,25
o4-miniOpenAI,0.814,26
Qwen3-235B-A22B-Thinking-2507Alibaba Cloud / Qwen Team,0.811,27
GLM-4.6Zhipu AI,0.81,28
DeepSeek-R1-0528DeepSeek,0.81,28
MiniMax M2.1NewMiniMax,0.81,28
Claude Opus 4.1Anthropic,0.809,31
GPT OSS 120BOpenAI,0.801,32
DeepSeek-V3.2-ExpDeepSeek,0.799,33
Claude Opus 4Anthropic,0.796,34
GLM-4.5Zhipu AI,0.791,35
o1-proOpenAI,0.79,36
o1OpenAI,0.78,37
MiniMax M2MiniMax,0.78,37
Qwen3-235B-A22B-Instruct-2507Alibaba Cloud / Qwen Team,0.775,39
o3-miniOpenAI,0.772,40
Qwen3-Next-80B-A3B-ThinkingAlibaba Cloud / Qwen Team,0.772,40
Llama 3.1 Nemotron Ultra 253B v1NVIDIA,0.76,42
Kimi K2 0905Moonshot AI,0.758,43
Claude Sonnet 4Anthropic,0.754,44
Kimi K2 InstructMoonshot AI,0.751,45
Kimi K2-Instruct-0905Moonshot AI,0.751,45
Nemotron 3 Nano (30B A3B)NVIDIA,0.75,47
GLM-4.5-AirZhipu AI,0.75,47
DeepSeek-V3.1DeepSeek,0.749,49
Qwen3 VL 30B A3B ThinkingAlibaba Cloud / Qwen Team,0.744,50
