model_name,score,rank
GPT-5.2 ProOpenAI,1.0,1
GPT-5.2OpenAI,0.994,2
DeepSeek-V3.2-SpecialeDeepSeek,0.992,3
Kimi K2-Thinking-0905Moonshot AI,0.975,4
Grok 4 FastxAI,0.933,5
GPT-5OpenAI,0.933,5
DeepSeek-V3.2 (Thinking)DeepSeek,0.902,7
GPT-5 miniOpenAI,0.878,8
MiMo-V2-FlashXiaomi,0.844,9
DeepSeek-V3.2-ExpDeepSeek,0.836,10
DeepSeek-R1-0528DeepSeek,0.794,11
GPT-5 nanoOpenAI,0.756,12
Kimi K2 InstructMoonshot AI,0.388,13
Kimi K2-Instruct-0905Moonshot AI,0.388,13
GPT-4.1 miniOpenAI,0.35,15
DeepSeek-V3.1DeepSeek,0.335,16
GPT-4.1OpenAI,0.289,17
