model_name,score,rank
Kimi K2 0905Moonshot AI,0.945,1
Claude 3.5 SonnetAnthropic,0.937,2
GPT-5OpenAI,0.934,3
Kimi K2 InstructMoonshot AI,0.933,4
Qwen2.5-Coder 32B InstructAlibaba Cloud / Qwen Team,0.927,5
o1-miniOpenAI,0.924,6
Claude 3.5 SonnetAnthropic,0.92,7
Mistral Large 2Mistral AI,0.92,7
Qwen2.5 VL 32B InstructAlibaba Cloud / Qwen Team,0.915,9
GPT-4oOpenAI,0.902,10
Granite 3.3 8B InstructIBM,0.897,11
Granite 3.3 8B BaseIBM,0.897,11
Gemini DiffusionGoogle,0.896,13
Nova ProAmazon,0.89,14
Llama 3.1 405B InstructMeta,0.89,14
DeepSeek-V2.5DeepSeek,0.89,14
Mistral Small 3.1 24B InstructMistral AI,0.884,17
Qwen2.5 32B InstructAlibaba Cloud / Qwen Team,0.884,17
Llama 3.3 70B InstructMeta,0.884,17
Qwen2.5-Coder 7B InstructAlibaba Cloud / Qwen Team,0.884,17
Grok-2xAI,0.884,17
Claude 3.5 HaikuAnthropic,0.881,22
o1OpenAI,0.881,22
GPT-4.5OpenAI,0.88,24
Gemma 3 27BGoogle,0.878,25
GPT-4o miniOpenAI,0.872,26
GPT-4 TurboOpenAI,0.871,27
Qwen2.5 72B InstructAlibaba Cloud / Qwen Team,0.866,28
Qwen2 72B InstructAlibaba Cloud / Qwen Team,0.86,29
Grok-2 minixAI,0.857,30
Nova LiteAmazon,0.854,31
Gemma 3 12BGoogle,0.854,31
Claude 3 OpusAnthropic,0.849,33
Mistral Small 3 24B InstructMistral AI,0.848,34
Qwen2.5 7B InstructAlibaba Cloud / Qwen Team,0.848,34
Gemini 1.5 ProGoogle,0.841,36
Qwen2.5 14B InstructAlibaba Cloud / Qwen Team,0.835,37
Phi 4Microsoft,0.826,38
IBM Granite 4.0 Tiny PreviewIBM,0.824,39
Nova MicroAmazon,0.811,40
Codestral-22BMistral AI,0.811,40
Llama 3.1 70B InstructMeta,0.805,42
Qwen2 7B InstructAlibaba Cloud / Qwen Team,0.799,43
Qwen2.5-Omni-7BAlibaba Cloud / Qwen Team,0.787,44
Claude 3 HaikuAnthropic,0.759,45
Gemma 3n E4B InstructedGoogle,0.75,46
Gemma 3n E4B Instructed LiteRT PreviewGoogle,0.75,46
Gemini 1.5 FlashGoogle,0.743,48
Grok-1.5xAI,0.741,49
Claude 3 SonnetAnthropic,0.73,50
