model_name,elo_overall,elo_math,elo_coding,elo_instruction_following,elo_creative_writing,elo_hard_prompts,elo_expert,AIME_score,AIME_rank,FrontierMath_Tier_1-3_score,FrontierMath_Tier_1-3_rank,FrontierMath_Tier_4_score,FrontierMath_Tier_4_rank,HMMT_Feb_2025_score,HMMT_Feb_2025_rank,MATH-500_score,MATH-500_rank,MGSM_score,MGSM_rank,Aider_Polyglot_score,Aider_Polyglot_rank,HumanEval_score,HumanEval_rank,IOI_score,IOI_rank,LiveCodeBench_score,LiveCodeBench_rank,SciCode_score,SciCode_rank,SWE-bench_Verified_score,SWE-bench_Verified_rank,SWE-bench_Bash_Only_score,SWE-bench_Bash_Only_rank,tau2-Bench_Telecom_score,tau2-Bench_Telecom_rank,Terminal-Bench_Hard_score,Terminal-Bench_Hard_rank,Terminal-Bench_v2_0_score,Terminal-Bench_v2_0_rank,IFBench_score,IFBench_rank,IFEval_score,IFEval_rank,Creative_Writing_v3_score,Creative_Writing_v3_rank,WritingBench_score,WritingBench_rank,AA-LCR_score,AA-LCR_rank,ARC-AGI-2_score,ARC-AGI-2_rank,FACTS_score,FACTS_rank,MMLU-Pro_score,MMLU-Pro_rank,GPQA_score,GPQA_rank,GPQA_Diamond_score,GPQA_Diamond_rank,Humanity_s_Last_Exam_score,Humanity_s_Last_Exam_rank,SuperGPQA_score,SuperGPQA_rank
Anthropicclaude-3-5-sonnet-20240620,1342.0,1342.0,1395.0,1330.0,1302.0,1358.0,1336.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthropicclaude-3-5-sonnet-20241022,1372.0,1349.0,1431.0,1366.0,1368.0,1396.0,1364.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.4,30,92.5818,10,51.6,17,93.7,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.3,6,53.764,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthropicclaude-3-7-sonnet-20250219,1371.0,1361.0,1427.0,1377.0,1373.0,1395.0,1382.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1387.0,1386.0,1449.0,1403.0,1388.0,1414.0,1406.0,56.0,40,4.1,20,NaN,NaN,NaN,NaN,91.6,15,92.9818,8,64.9,8,NaN,NaN,NaN,NaN,47.0,49,40.0,14,NaN,NaN,52.8,11,55.0,24,20.0,24,NaN,NaN,48.0,24,NaN,NaN,1362.6,11,73.402,15,61.0,16,NaN,NaN,NaN,NaN,84.0,16,NaN,NaN,77.0,24,10.0,28,NaN,NaN
Anthropicclaude-haiku-4-5-20251001,1402.0,1396.0,1475.0,1406.0,1376.0,1434.0,1437.0,39.0,45,5.9,16,2.1,12,NaN,NaN,NaN,NaN,92.1455,14,NaN,NaN,NaN,NaN,6.1667,14,51.0,46,34.0,46,73.3,4,NaN,NaN,33.0,43,26.0,16,28.3,5,42.0,34,NaN,NaN,NaN,NaN,77.086,10,44.0,34,4.0,11,NaN,NaN,80.0,41,NaN,NaN,65.0,49,4.0,58,NaN,NaN
Anthropicclaude-opus-4-1-20250805,1441.0,1434.0,1500.0,1447.0,1434.0,1471.0,1458.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthropicclaude-opus-4-1-20250805-thinking-16k,1448.0,1448.0,1513.0,1456.0,1441.0,1479.0,1483.0,80.0,24,7.2,15,4.2,6,NaN,NaN,95.4,3,94.4364,2,NaN,NaN,NaN,NaN,12.5151,8,65.0,31,41.0,10,NaN,NaN,NaN,NaN,71.0,14,32.0,8,NaN,NaN,55.0,16,NaN,NaN,NaN,NaN,76.364,11,66.0,10,NaN,NaN,46.52064091555789,10,88.0,3,NaN,NaN,81.0,11,12.0,19,NaN,NaN
Anthropicclaude-opus-4-20250514,1412.0,1402.0,1461.0,1409.0,1412.0,1433.0,1430.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthropicclaude-opus-4-20250514-thinking-16k,1423.0,1421.0,1495.0,1439.0,1421.0,1452.0,1442.0,73.0,30,4.1,20,4.2,6,NaN,NaN,90.4,17,93.7818,5,72.0,5,NaN,NaN,NaN,NaN,64.0,34,40.0,14,NaN,NaN,67.6,4,71.0,14,29.0,12,NaN,NaN,54.0,18,NaN,NaN,NaN,NaN,75.116,12,34.0,43,8.6,5,NaN,NaN,87.0,5,NaN,NaN,80.0,13,12.0,19,NaN,NaN
Anthropicclaude-opus-4-5-20251101,1467.0,1466.0,1515.0,1477.0,1458.0,1493.0,1527.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
