Model,Features Creator,Intelligence AIME 2025 (Competition Math)
Apriel-v1.5-15B-Thinker,ServiceNow,88%
Apriel-v1.6-15B-Thinker,ServiceNow,88%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,--
Claude 3 Sonnet,Anthropic,--
Claude 3.5 Haiku,Anthropic,--
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,--
Claude 3.7 Sonnet Thinking,Anthropic,56%
Claude 3.7 Sonnet Non-Thinking,Anthropic,21%
Claude 4 Opus Non-Thinking,Anthropic,36%
Claude 4 Opus Thinking,Anthropic,73%
Claude 4 Sonnet Non-Thinking,Anthropic,38%
Claude 4 Sonnet Thinking,Anthropic,74%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,80%
Claude 4.5 Haiku Thinking,Anthropic,84%
Claude 4.5 Haiku Non-Thinking,Anthropic,39%
Claude 4.5 Sonnet Thinking,Anthropic,88%
Claude 4.5 Sonnet Non-Thinking,Anthropic,37%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,63%
Claude Opus 4.5 Thinking,Anthropic,91%
Cogito v2.1,Deep Cogito,73%
Command A,Cohere,13%
Command-R (Mar),Cohere,--
Command-R+ (Apr),Cohere,--
DBRX,Databricks,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
DeepHermes 3 - Mistral 24B,Nous Research,--
DeepSeek Coder V2 Lite,DeepSeek,--
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,68%
DeepSeek R1 0528,DeepSeek,76%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,64%
DeepSeek R1 Distill Llama 70B,DeepSeek,54%
DeepSeek R1 Distill Llama 8B,DeepSeek,41%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,22%
DeepSeek R1 Distill Qwen 14B,DeepSeek,56%
DeepSeek R1 Distill Qwen 32B,DeepSeek,63%
DeepSeek V3 (Dec),DeepSeek,26%
