Model,Features Creator,Intelligence LiveCodeBench (Coding)
Apriel-v1.5-15B-Thinker,ServiceNow,73%
Apriel-v1.6-15B-Thinker,ServiceNow,81%
Arctic,Snowflake,--
Claude 2.0,Anthropic,17%
Claude 2.1,Anthropic,20%
Claude 3 Haiku,Anthropic,15%
Claude 3 Opus,Anthropic,28%
Claude 3 Sonnet,Anthropic,18%
Claude 3.5 Haiku,Anthropic,31%
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,38%
Claude 3.7 Sonnet Thinking,Anthropic,47%
Claude 3.7 Sonnet Non-Thinking,Anthropic,39%
Claude 4 Opus Non-Thinking,Anthropic,54%
Claude 4 Opus Thinking,Anthropic,64%
Claude 4 Sonnet Non-Thinking,Anthropic,45%
Claude 4 Sonnet Thinking,Anthropic,66%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,65%
Claude 4.5 Haiku Thinking,Anthropic,62%
Claude 4.5 Haiku Non-Thinking,Anthropic,51%
Claude 4.5 Sonnet Thinking,Anthropic,71%
Claude 4.5 Sonnet Non-Thinking,Anthropic,59%
Claude Instant,Anthropic,11%
Claude Opus 4.5 Non-Thinking,Anthropic,74%
Claude Opus 4.5 Thinking,Anthropic,87%
Cogito v2.1,Deep Cogito,69%
Command A,Cohere,29%
Command-R (Mar),Cohere,5%
Command-R+ (Apr),Cohere,12%
DBRX,Databricks,9%
DeepHermes 3 - Llama-3.1 8B,Nous Research,9%
DeepHermes 3 - Mistral 24B,Nous Research,20%
DeepSeek Coder V2 Lite,DeepSeek,16%
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,62%
DeepSeek R1 0528,DeepSeek,77%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,51%
DeepSeek R1 Distill Llama 70B,DeepSeek,27%
DeepSeek R1 Distill Llama 8B,DeepSeek,23%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,7%
DeepSeek R1 Distill Qwen 14B,DeepSeek,38%
DeepSeek R1 Distill Qwen 32B,DeepSeek,27%
DeepSeek V3 (Dec),DeepSeek,36%
DeepSeek V3 0324,DeepSeek,41%
DeepSeek V3.1 Non-Thinking,DeepSeek,58%
DeepSeek V3.1 Thinking,DeepSeek,78%
DeepSeek V3.1 Terminus Thinking,DeepSeek,80%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,53%
DeepSeek V3.2 Non-Thinking,DeepSeek,59%
DeepSeek V3.2 Thinking,DeepSeek,86%
DeepSeek V3.2 Exp Thinking,DeepSeek,79%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,55%
DeepSeek V3.2 Speciale,DeepSeek,90%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,45%
Devstral Medium,Mistral,34%
Devstral Small,Mistral,25%
Devstral Small (May),Mistral,26%
Devstral Small 2,Mistral,35%
Doubao Seed Code,ByteDance Seed,77%
ERNIE 4.5 300B A47B,Baidu,47%
ERNIE 5.0 Thinking Preview,Baidu,81%
EXAONE 4.0 32B Non-Thinking,LG AI Research,47%
EXAONE 4.0 32B Thinking,LG AI Research,75%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,29%
Exaone 4.0 1.2B Thinking,LG AI Research,52%
GLM-4.5,Z AI,74%
GLM-4.5-Air,Z AI,68%
GLM-4.5V Thinking,Z AI,60%
GLM-4.5V Non-Thinking,Z AI,35%
GLM-4.6 Non-Thinking,Z AI,56%
GLM-4.6 Thinking,Z AI,70%
GLM-4.6V Thinking,Z AI,16%
GLM-4.6V Non-Thinking,Z AI,41%
GLM-4.7 Non-Thinking,Z AI,56%
GLM-4.7 Thinking,Z AI,89%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,29%
GPT-4.1,OpenAI,46%
GPT-4.1 mini,OpenAI,48%
GPT-4.1 nano,OpenAI,33%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,32%
GPT-4o (ChatGPT),OpenAI,--
GPT-4o (Mar),OpenAI,43%
GPT-4o (May),OpenAI,33%
GPT-4o (Nov),OpenAI,31%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,23%
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,54%
GPT-5 (high),OpenAI,85%
GPT-5 (low),OpenAI,76%
GPT-5 (medium),OpenAI,70%
GPT-5 (minimal),OpenAI,56%
GPT-5 Codex (high),OpenAI,84%
GPT-5 mini (high),OpenAI,84%
GPT-5 mini (medium),OpenAI,69%
GPT-5 mini (minimal),OpenAI,55%
GPT-5 nano (high),OpenAI,79%
GPT-5 nano (medium),OpenAI,76%
GPT-5 nano (minimal),OpenAI,47%
GPT-5.1,OpenAI,49%
GPT-5.1 (high),OpenAI,87%
GPT-5.1 Codex (high),OpenAI,85%
GPT-5.1 Codex mini (high),OpenAI,84%
GPT-5.2,OpenAI,67%
GPT-5.2 (xhigh),OpenAI,89%
Gemini 1.0 Pro,Google,12%
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,20%
Gemini 1.5 Flash (Sep),Google,27%
Gemini 1.5 Flash-8B,Google,22%
Gemini 1.5 Pro (May),Google,24%
Gemini 1.5 Pro (Sep),Google,32%
Gemini 2.0 Flash,Google,33%
Gemini 2.0 Flash (exp),Google,21%
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,32%
Gemini 2.0 Flash-Lite (Feb),Google,19%
Gemini 2.0 Flash-Lite (Preview),Google,18%
Gemini 2.0 Pro Experimental,Google,35%
Gemini 2.5 Flash Thinking 2504,Google,51%
Gemini 2.5 Flash Non-Thinking 2504,Google,41%
Gemini 2.5 Flash Non-Thinking 2505,Google,50%
Gemini 2.5 Flash Thinking 2505,Google,70%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,63%
Gemini 2.5 Flash (Sep) Thinking,Google,71%
Gemini 2.5 Flash-Lite Thinking,Google,59%
Gemini 2.5 Flash-Lite Non-Thinking,Google,40%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,69%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,64%
Gemini 2.5 Pro,Google,80%
Gemini 2.5 Pro (Mar),Google,78%
Gemini 2.5 Pro (May),Google,77%
Gemini 3 Flash Thinking,Google,91%
Gemini 3 Flash Non-Thinking,Google,80%
Gemini 3 Pro Preview (high),Google,92%
Gemini 3 Pro Preview (low),Google,86%
Gemma 3 12B,Google,14%
Gemma 3 1B,Google,2%
Gemma 3 270M,Google,0%
Gemma 3 27B,Google,14%
Gemma 3 4B,Google,11%
Gemma 3n E2B,Google,10%
Gemma 3n E4B,Google,15%
Gemma 3n E4B (May),Google,14%
Granite 3.3 8B,IBM,13%
Granite 4.0 1B,IBM,5%
Granite 4.0 350M,IBM,2%
Granite 4.0 H 1B,IBM,12%
Granite 4.0 H 350M,IBM,2%
Granite 4.0 H Small,IBM,25%
Granite 4.0 Micro,IBM,18%
Grok 2,xAI,27%
Grok 3,xAI,43%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,70%
Grok 4,xAI,82%
Grok 4 Fast Thinking,xAI,83%
Grok 4 Fast Non-Thinking,xAI,40%
Grok 4.1 Fast Non-Thinking,xAI,40%
Grok 4.1 Fast Thinking,xAI,82%
Grok Beta,xAI,24%
Grok Code Fast 1,xAI,66%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,19%
Hermes 4 405B Non-Thinking,Nous Research,55%
Hermes 4 405B Thinking,Nous Research,69%
Hermes 4 70B Thinking,Nous Research,65%
Hermes 4 70B Non-Thinking,Nous Research,27%
HyperCLOVA X SEED Think (32B),Naver,63%
Jamba 1.5 Large,AI21 Labs,14%
Jamba 1.5 Mini,AI21 Labs,6%
Jamba 1.6 Large,AI21 Labs,17%
Jamba 1.6 Mini,AI21 Labs,7%
Jamba 1.7 Large,AI21 Labs,18%
Jamba 1.7 Mini,AI21 Labs,6%
Jamba Reasoning 3B,AI21 Labs,21%
K2-V2 (high),MBZUAI Institute of Foundation Models,69%
K2-V2 (low),MBZUAI Institute of Foundation Models,39%
K2-V2 (medium),MBZUAI Institute of Foundation Models,54%
KAT-Coder-Pro V1,KwaiKAT,75%
Kimi K2,Kimi,56%
Kimi K2 0905,Kimi,61%
Kimi K2 Thinking,Kimi,85%
Kimi Linear 48B A3B Instruct,Kimi,38%
LFM 40B,Liquid AI,10%
LFM2 1.2B,Liquid AI,2%
LFM2 2.6B,Liquid AI,8%
LFM2 8B A1B,Liquid AI,15%
Ling-1T,InclusionAI,68%
Ling-flash-2.0,InclusionAI,59%
Ling-mini-2.0,InclusionAI,43%
Llama 2 Chat 13B,Meta,10%
Llama 2 Chat 70B,Meta,10%
Llama 2 Chat 7B,Meta,0%
Llama 3 70B,Meta,20%
Llama 3 8B,Meta,10%
Llama 3.1 405B,Meta,31%
Llama 3.1 70B,Meta,23%
Llama 3.1 8B,Meta,12%
Llama 3.1 Nemotron 70B,NVIDIA,17%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,49%
Llama 3.2 11B (Vision),Meta,11%
Llama 3.2 1B,Meta,2%
Llama 3.2 3B,Meta,8%
Llama 3.2 90B (Vision),Meta,21%
Llama 3.3 70B,Meta,29%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,28%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,28%
Llama 4 Maverick,Meta,40%
Llama 4 Scout,Meta,30%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,74%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,29%
Llama Nemotron Ultra,NVIDIA,64%
Magistral Medium 1,Mistral,53%
Magistral Medium 1.2,Mistral,75%
Magistral Small 1,Mistral,51%
Magistral Small 1.2,Mistral,72%
Mi:dm K 2.5 Pro Preview,Korea Telecom,58%
MiMo-V2-Flash Thinking,Xiaomi,87%
MiMo-V2-Flash Non-Thinking,Xiaomi,40%
MiniMax M1 40k,MiniMax,66%
MiniMax M1 80k,MiniMax,71%
MiniMax-M2,MiniMax,83%
MiniMax-M2.1,MiniMax,81%
Ministral 14B (Dec '25),Mistral,35%
Ministral 3B (Dec '25),Mistral,25%
Ministral 8B (Dec '25),Mistral,30%
Mistral 7B,Mistral,5%
Mistral Large (Feb),Mistral,18%
Mistral Large 2 (Jul),Mistral,27%
Mistral Large 2 (Nov),Mistral,29%
Mistral Large 3,Mistral,47%
Mistral Medium,Mistral,10%
Mistral Medium 3,Mistral,40%
Mistral Medium 3.1,Mistral,41%
Mistral Saba,Mistral,--
Mistral Small (Feb),Mistral,11%
Mistral Small (Sep),Mistral,14%
Mistral Small 3,Mistral,25%
Mistral Small 3.1,Mistral,21%
Mistral Small 3.2,Mistral,28%
Mixtral 8x22B,Mistral,15%
Mixtral 8x7B,Mistral,7%
Molmo 7B-D,Allen Institute for AI,4%
Motif-2-12.7B,Motif Technologies,65%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,36%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,74%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,35%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,69%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,70%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,72%
