Model,Features Creator,Intelligence MMLU-Pro (Reasoning & Knowledge)
Apriel-v1.5-15B-Thinker,ServiceNow,77%
Apriel-v1.6-15B-Thinker,ServiceNow,79%
Arctic,Snowflake,--
Claude 2.0,Anthropic,49%
Claude 2.1,Anthropic,50%
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,70%
Claude 3 Sonnet,Anthropic,58%
Claude 3.5 Haiku,Anthropic,63%
Claude 3.5 Sonnet (June),Anthropic,75%
Claude 3.5 Sonnet (Oct),Anthropic,77%
Claude 3.7 Sonnet Thinking,Anthropic,84%
Claude 3.7 Sonnet Non-Thinking,Anthropic,80%
Claude 4 Opus Non-Thinking,Anthropic,86%
Claude 4 Opus Thinking,Anthropic,87%
Claude 4 Sonnet Non-Thinking,Anthropic,84%
Claude 4 Sonnet Thinking,Anthropic,84%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,88%
Claude 4.5 Haiku Thinking,Anthropic,76%
Claude 4.5 Haiku Non-Thinking,Anthropic,80%
Claude 4.5 Sonnet Thinking,Anthropic,88%
Claude 4.5 Sonnet Non-Thinking,Anthropic,86%
Claude Instant,Anthropic,43%
Claude Opus 4.5 Non-Thinking,Anthropic,89%
Claude Opus 4.5 Thinking,Anthropic,90%
Cogito v2.1,Deep Cogito,85%
Command A,Cohere,71%
Command-R (Mar),Cohere,34%
Command-R+ (Apr),Cohere,43%
DBRX,Databricks,40%
DeepHermes 3 - Llama-3.1 8B,Nous Research,37%
DeepHermes 3 - Mistral 24B,Nous Research,58%
DeepSeek Coder V2 Lite,DeepSeek,43%
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,84%
DeepSeek R1 0528,DeepSeek,85%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,74%
DeepSeek R1 Distill Llama 70B,DeepSeek,80%
DeepSeek R1 Distill Llama 8B,DeepSeek,54%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,27%
DeepSeek R1 Distill Qwen 14B,DeepSeek,74%
DeepSeek R1 Distill Qwen 32B,DeepSeek,74%
DeepSeek V3 (Dec),DeepSeek,75%
DeepSeek V3 0324,DeepSeek,82%
DeepSeek V3.1 Non-Thinking,DeepSeek,83%
DeepSeek V3.1 Thinking,DeepSeek,85%
DeepSeek V3.1 Terminus Thinking,DeepSeek,85%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,84%
DeepSeek V3.2 Non-Thinking,DeepSeek,84%
DeepSeek V3.2 Thinking,DeepSeek,86%
DeepSeek V3.2 Exp Thinking,DeepSeek,85%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,84%
DeepSeek V3.2 Speciale,DeepSeek,86%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
