Model,Features Creator,Intelligence Terminal-Bench Hard (Agentic Coding & Terminal Use)
Apriel-v1.5-15B-Thinker,ServiceNow,10%
Apriel-v1.6-15B-Thinker,ServiceNow,14%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,--
Claude 3 Sonnet,Anthropic,--
Claude 3.5 Haiku,Anthropic,--
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,--
Claude 3.7 Sonnet Thinking,Anthropic,20%
Claude 3.7 Sonnet Non-Thinking,Anthropic,20%
Claude 4 Opus Non-Thinking,Anthropic,--
Claude 4 Opus Thinking,Anthropic,29%
Claude 4 Sonnet Non-Thinking,Anthropic,26%
Claude 4 Sonnet Thinking,Anthropic,30%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,32%
Claude 4.5 Haiku Thinking,Anthropic,26%
Claude 4.5 Haiku Non-Thinking,Anthropic,26%
Claude 4.5 Sonnet Thinking,Anthropic,33%
Claude 4.5 Sonnet Non-Thinking,Anthropic,27%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,38%
Claude Opus 4.5 Thinking,Anthropic,44%
Cogito v2.1,Deep Cogito,16%
Command A,Cohere,1%
Command-R (Mar),Cohere,--
Command-R+ (Apr),Cohere,--
DBRX,Databricks,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
DeepHermes 3 - Mistral 24B,Nous Research,--
DeepSeek Coder V2 Lite,DeepSeek,--
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,6%
DeepSeek R1 0528,DeepSeek,15%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,1%
DeepSeek R1 Distill Llama 70B,DeepSeek,1%
DeepSeek R1 Distill Llama 8B,DeepSeek,--
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,--
DeepSeek R1 Distill Qwen 14B,DeepSeek,--
DeepSeek R1 Distill Qwen 32B,DeepSeek,--
DeepSeek V3 (Dec),DeepSeek,6%
DeepSeek V3 0324,DeepSeek,14%
DeepSeek V3.1 Non-Thinking,DeepSeek,23%
DeepSeek V3.1 Thinking,DeepSeek,24%
DeepSeek V3.1 Terminus Thinking,DeepSeek,28%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,30%
DeepSeek V3.2 Non-Thinking,DeepSeek,31%
DeepSeek V3.2 Thinking,DeepSeek,33%
DeepSeek V3.2 Exp Thinking,DeepSeek,29%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,23%
DeepSeek V3.2 Speciale,DeepSeek,33%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,18%
Devstral Medium,Mistral,9%
Devstral Small,Mistral,6%
Devstral Small (May),Mistral,--
Devstral Small 2,Mistral,16%
Doubao Seed Code,ByteDance Seed,25%
ERNIE 4.5 300B A47B,Baidu,6%
ERNIE 5.0 Thinking Preview,Baidu,23%
EXAONE 4.0 32B Non-Thinking,LG AI Research,1%
EXAONE 4.0 32B Thinking,LG AI Research,4%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,0%
Exaone 4.0 1.2B Thinking,LG AI Research,0%
GLM-4.5,Z AI,21%
GLM-4.5-Air,Z AI,19%
GLM-4.5V Thinking,Z AI,5%
GLM-4.5V Non-Thinking,Z AI,6%
GLM-4.6 Non-Thinking,Z AI,27%
GLM-4.6 Thinking,Z AI,23%
GLM-4.6V Thinking,Z AI,14%
GLM-4.6V Non-Thinking,Z AI,3%
GLM-4.7 Non-Thinking,Z AI,28%
GLM-4.7 Thinking,Z AI,30%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,--
GPT-4.1,OpenAI,13%
GPT-4.1 mini,OpenAI,7%
GPT-4.1 nano,OpenAI,4%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,--
GPT-4o (ChatGPT),OpenAI,--
GPT-4o (Mar),OpenAI,--
GPT-4o (May),OpenAI,--
GPT-4o (Nov),OpenAI,8%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,--
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,12%
GPT-5 (high),OpenAI,31%
GPT-5 (low),OpenAI,25%
GPT-5 (medium),OpenAI,36%
GPT-5 (minimal),OpenAI,18%
GPT-5 Codex (high),OpenAI,36%
GPT-5 mini (high),OpenAI,31%
GPT-5 mini (medium),OpenAI,27%
GPT-5 mini (minimal),OpenAI,14%
GPT-5 nano (high),OpenAI,11%
GPT-5 nano (medium),OpenAI,16%
GPT-5 nano (minimal),OpenAI,6%
GPT-5.1,OpenAI,21%
GPT-5.1 (high),OpenAI,43%
GPT-5.1 Codex (high),OpenAI,33%
GPT-5.1 Codex mini (high),OpenAI,31%
GPT-5.2,OpenAI,30%
GPT-5.2 (xhigh),OpenAI,44%
Gemini 1.0 Pro,Google,--
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,--
Gemini 1.5 Flash (Sep),Google,--
Gemini 1.5 Flash-8B,Google,--
Gemini 1.5 Pro (May),Google,--
Gemini 1.5 Pro (Sep),Google,--
Gemini 2.0 Flash,Google,4%
Gemini 2.0 Flash (exp),Google,--
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,--
Gemini 2.0 Flash-Lite (Feb),Google,--
Gemini 2.0 Flash-Lite (Preview),Google,--
Gemini 2.0 Pro Experimental,Google,--
Gemini 2.5 Flash Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2505,Google,11%
Gemini 2.5 Flash Thinking 2505,Google,13%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,14%
Gemini 2.5 Flash (Sep) Thinking,Google,16%
Gemini 2.5 Flash-Lite Thinking,Google,4%
Gemini 2.5 Flash-Lite Non-Thinking,Google,2%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,12%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,7%
Gemini 2.5 Pro,Google,25%
Gemini 2.5 Pro (Mar),Google,--
Gemini 2.5 Pro (May),Google,--
Gemini 3 Flash Thinking,Google,36%
Gemini 3 Flash Non-Thinking,Google,30%
Gemini 3 Pro Preview (high),Google,39%
Gemini 3 Pro Preview (low),Google,32%
Gemma 3 12B,Google,1%
Gemma 3 1B,Google,0%
Gemma 3 270M,Google,0%
Gemma 3 27B,Google,4%
Gemma 3 4B,Google,1%
Gemma 3n E2B,Google,1%
Gemma 3n E4B,Google,2%
Gemma 3n E4B (May),Google,--
Granite 3.3 8B,IBM,0%
Granite 4.0 1B,IBM,0%
Granite 4.0 350M,IBM,0%
Granite 4.0 H 1B,IBM,0%
Granite 4.0 H 350M,IBM,0%
Granite 4.0 H Small,IBM,2%
Granite 4.0 Micro,IBM,1%
Grok 2,xAI,--
Grok 3,xAI,11%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,16%
Grok 4,xAI,38%
Grok 4 Fast Thinking,xAI,18%
Grok 4 Fast Non-Thinking,xAI,11%
Grok 4.1 Fast Non-Thinking,xAI,14%
Grok 4.1 Fast Thinking,xAI,23%
Grok Beta,xAI,--
Grok Code Fast 1,xAI,16%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,--
Hermes 4 405B Non-Thinking,Nous Research,9%
Hermes 4 405B Thinking,Nous Research,11%
Hermes 4 70B Thinking,Nous Research,4%
Hermes 4 70B Non-Thinking,Nous Research,0%
HyperCLOVA X SEED Think (32B),Naver,11%
Jamba 1.5 Large,AI21 Labs,--
Jamba 1.5 Mini,AI21 Labs,--
Jamba 1.6 Large,AI21 Labs,--
Jamba 1.6 Mini,AI21 Labs,--
Jamba 1.7 Large,AI21 Labs,2%
Jamba 1.7 Mini,AI21 Labs,0%
Jamba Reasoning 3B,AI21 Labs,1%
K2-V2 (high),MBZUAI Institute of Foundation Models,9%
K2-V2 (low),MBZUAI Institute of Foundation Models,4%
K2-V2 (medium),MBZUAI Institute of Foundation Models,8%
KAT-Coder-Pro V1,KwaiKAT,9%
Kimi K2,Kimi,15%
Kimi K2 0905,Kimi,23%
Kimi K2 Thinking,Kimi,29%
Kimi Linear 48B A3B Instruct,Kimi,11%
LFM 40B,Liquid AI,--
LFM2 1.2B,Liquid AI,0%
LFM2 2.6B,Liquid AI,1%
LFM2 8B A1B,Liquid AI,0%
Ling-1T,InclusionAI,10%
Ling-flash-2.0,InclusionAI,10%
Ling-mini-2.0,InclusionAI,1%
Llama 2 Chat 13B,Meta,--
Llama 2 Chat 70B,Meta,--
Llama 2 Chat 7B,Meta,--
Llama 3 70B,Meta,--
Llama 3 8B,Meta,--
Llama 3.1 405B,Meta,6%
Llama 3.1 70B,Meta,3%
Llama 3.1 8B,Meta,1%
Llama 3.1 Nemotron 70B,NVIDIA,4%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,--
Llama 3.2 11B (Vision),Meta,1%
Llama 3.2 1B,Meta,0%
Llama 3.2 3B,Meta,--
Llama 3.2 90B (Vision),Meta,--
Llama 3.3 70B,Meta,3%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,0%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,0%
Llama 4 Maverick,Meta,6%
Llama 4 Scout,Meta,1%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,5%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,4%
Llama Nemotron Ultra,NVIDIA,2%
Magistral Medium 1,Mistral,9%
Magistral Medium 1.2,Mistral,13%
Magistral Small 1,Mistral,4%
Magistral Small 1.2,Mistral,4%
Mi:dm K 2.5 Pro Preview,Korea Telecom,3%
MiMo-V2-Flash Thinking,Xiaomi,26%
MiMo-V2-Flash Non-Thinking,Xiaomi,24%
MiniMax M1 40k,MiniMax,2%
MiniMax M1 80k,MiniMax,3%
MiniMax-M2,MiniMax,24%
MiniMax-M2.1,MiniMax,27%
Ministral 14B (Dec '25),Mistral,4%
Ministral 3B (Dec '25),Mistral,0%
Ministral 8B (Dec '25),Mistral,4%
Mistral 7B,Mistral,--
Mistral Large (Feb),Mistral,--
Mistral Large 2 (Jul),Mistral,--
Mistral Large 2 (Nov),Mistral,6%
Mistral Large 3,Mistral,15%
Mistral Medium,Mistral,--
Mistral Medium 3,Mistral,4%
Mistral Medium 3.1,Mistral,10%
Mistral Saba,Mistral,--
Mistral Small (Feb),Mistral,--
Mistral Small (Sep),Mistral,--
Mistral Small 3,Mistral,--
Mistral Small 3.1,Mistral,7%
Mistral Small 3.2,Mistral,6%
Mixtral 8x22B,Mistral,--
Mixtral 8x7B,Mistral,--
Molmo 7B-D,Allen Institute for AI,0%
Motif-2-12.7B,Motif Technologies,4%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,11%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,13%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,0%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,4%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,1%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,1%
Nova 2.0 Lite,Amazon,6%
Nova 2.0 Lite (low),Amazon,4%
Nova 2.0 Lite (medium),Amazon,16%
Nova 2.0 Omni,Amazon,6%
Nova 2.0 Omni (low),Amazon,4%
Nova 2.0 Omni (medium),Amazon,4%
Nova 2.0 Pro Preview,Amazon,16%
Nova 2.0 Pro Preview (low),Amazon,16%
Nova 2.0 Pro Preview (medium),Amazon,23%
Nova Lite,Amazon,1%
Nova Micro,Amazon,1%
Nova Premier,Amazon,6%
Nova Pro,Amazon,6%
OLMo 2 32B,Allen Institute for AI,0%
OLMo 2 7B,Allen Institute for AI,0%
OLMo 3 32B Think,Allen Institute for AI,1%
OLMo 3 7B,Allen Institute for AI,0%
OLMo 3 7B Think,Allen Institute for AI,1%
Olmo 3.1 32B Think,Allen Institute for AI,0%
OpenChat 3.5,OpenChat,--
PALM-2,Google,--
Phi-3 Mini,Microsoft Azure,0%
Phi-4,Microsoft Azure,4%
Phi-4 Mini,Microsoft Azure,0%
Phi-4 Multimodal,Microsoft Azure,--
Pixtral Large,Mistral,--
QwQ 32B-Preview,Alibaba,--
QwQ-32B,Alibaba,--
Qwen Chat 14B,Alibaba,--
Qwen Chat 72B,Alibaba,--
Qwen1.5 Chat 110B,Alibaba,--
Qwen2 72B,Alibaba,--
Qwen2.5 72B,Alibaba,4%
Qwen2.5 Coder 32B,Alibaba,--
Qwen2.5 Coder 7B,Alibaba,--
Qwen2.5 Instruct 32B,Alibaba,--
Qwen2.5 Max,Alibaba,--
Qwen2.5 Turbo,Alibaba,--
Qwen3 0.6B Non-Thinking,Alibaba,0%
Qwen3 0.6B Thinking,Alibaba,0%
Qwen3 1.7B Thinking,Alibaba,0%
Qwen3 1.7B Non-Thinking,Alibaba,0%
Qwen3 14B Non-Thinking,Alibaba,5%
Qwen3 14B Thinking,Alibaba,4%
Qwen3 235B Thinking,Alibaba,6%
Qwen3 235B Non-Thinking,Alibaba,6%
Qwen3 235B 2507,Alibaba,14%
Qwen3 235B A22B 2507,Alibaba,13%
Qwen3 30B Thinking,Alibaba,2%
Qwen3 30B Non-Thinking,Alibaba,6%
Qwen3 30B A3B 2507 Thinking,Alibaba,5%
Qwen3 30B A3B 2507 Non-Thinking,Alibaba,6%
Qwen3 32B Non-Thinking,Alibaba,--
Qwen3 32B Thinking,Alibaba,3%
Qwen3 4B Thinking,Alibaba,--
Qwen3 4B Non-Thinking,Alibaba,--
Qwen3 4B 2507 Non-Thinking,Alibaba,4%
Qwen3 4B 2507 Thinking,Alibaba,1%
Qwen3 8B Thinking,Alibaba,2%
Qwen3 8B Non-Thinking,Alibaba,2%
Qwen3 Coder 30B A3B,Alibaba,14%
Qwen3 Coder 480B,Alibaba,18%
Qwen3 Max,Alibaba,19%
Qwen3 Max (Preview),Alibaba,18%
Qwen3 Max Thinking,Alibaba,16%
Qwen3 Next 80B A3B Non-Thinking,Alibaba,7%
Qwen3 Next 80B A3B Thinking,Alibaba,9%
Qwen3 Omni 30B A3B Non-Thinking,Alibaba,1%
Qwen3 Omni 30B A3B Thinking,Alibaba,4%
Qwen3 VL 235B A22B Non-Thinking,Alibaba,6%
Qwen3 VL 235B A22B Thinking,Alibaba,11%
Qwen3 VL 30B A3B Non-Thinking,Alibaba,6%
Qwen3 VL 30B A3B Thinking,Alibaba,5%
Qwen3 VL 32B Non-Thinking,Alibaba,8%
Qwen3 VL 32B Thinking,Alibaba,7%
Qwen3 VL 4B Thinking,Alibaba,1%
Qwen3 VL 4B Non-Thinking,Alibaba,0%
Qwen3 VL 8B Non-Thinking,Alibaba,2%
Qwen3 VL 8B Thinking,Alibaba,4%
R1 1776,Perplexity,--
Reka Flash,Reka AI,--
Reka Flash 3,Reka AI,0%
Ring-1T,InclusionAI,6%
Ring-flash-2.0,InclusionAI,7%
Seed-OSS-36B-Instruct,ByteDance Seed,6%
Solar Mini,Upstage,--
Solar Pro 2 Non-Thinking,Upstage,4%
Solar Pro 2 Preview Non-Thinking,Upstage,--
Solar Pro 2 Preview Thinking,Upstage,--
Solar Pro 2 Thinking,Upstage,3%
Sonar,Perplexity,--
Sonar Pro,Perplexity,--
Sonar Reasoning,Perplexity,--
Sonar Reasoning Pro,Perplexity,--
Tulu3 405B,Allen Institute for AI,--
gpt-oss-120B (high),OpenAI,22%
gpt-oss-120B (low),OpenAI,5%
gpt-oss-20B (high),OpenAI,10%
gpt-oss-20B (low),OpenAI,4%
o1,OpenAI,12%
o1-mini,OpenAI,--
o1-preview,OpenAI,--
o1-pro,OpenAI,--
o3,OpenAI,35%
o3-mini,OpenAI,6%
o3-mini (high),OpenAI,--
o3-pro,OpenAI,--
o4-mini (high),OpenAI,14%
