Model,Features Creator,Intelligence AIME 2025 (Competition Math)
Gemini 3 Pro Preview (high),Google,96%
GPT-5.2 (xhigh),OpenAI,99%
Gemini 3 Flash,Google,97%
Claude Opus 4.5,Anthropic,91%
GPT-5.1 (high),OpenAI,94%
GPT-5 Codex (high),OpenAI,99%
GPT-5 (high),OpenAI,94%
GLM-4.7,Z AI,95%
Kimi K2 Thinking,Kimi,95%
GPT-5.1 Codex (high),OpenAI,96%
GPT-5 (medium),OpenAI,92%
MiMo-V2-Flash,Xiaomi,96%
DeepSeek V3.2,DeepSeek,92%
o3,OpenAI,88%
Grok 4,xAI,93%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,87%
GPT-5 mini (high),OpenAI,91%
Grok 4.1 Fast,xAI,89%
MiniMax-M2.1,MiniMax,83%
KAT-Coder-Pro V1,KwaiKAT,95%
Claude 4.5 Sonnet,Anthropic,88%
Nova 2.0 Pro Preview (medium),Amazon,89%
GPT-5.1 Codex mini (high),OpenAI,92%
GPT-5 (low),OpenAI,83%
MiniMax-M2,MiniMax,78%
GPT-5 mini (medium),OpenAI,85%
gpt-oss-120B (high),OpenAI,93%
Grok 4 Fast,xAI,90%
Claude Opus 4.5,Anthropic,63%
Gemini 2.5 Pro,Google,88%
o4-mini (high),OpenAI,91%
Claude 4.1 Opus,Anthropic,80%
DeepSeek V3.2 Speciale,DeepSeek,97%
Nova 2.0 Lite (medium),Amazon,89%
DeepSeek V3.1 Terminus,DeepSeek,90%
Nova 2.0 Pro Preview (low),Amazon,63%
Qwen3 235B A22B 2507,Alibaba,91%
Doubao Seed Code,ByteDance Seed,79%
Grok 3 mini Reasoning (high),xAI,85%
Apriel-v1.6-15B-Thinker,ServiceNow,88%
DeepSeek V3.2 Exp,DeepSeek,88%
Claude 4 Sonnet,Anthropic,74%
Nova 2.0 Omni (medium),Amazon,90%
GLM-4.6,Z AI,86%
Qwen3 Max Thinking,Alibaba,82%
Qwen3 Max,Alibaba,81%
Claude 4.5 Haiku,Anthropic,84%
Gemini 3 Flash,Google,56%
Gemini 2.5 Flash (Sep),Google,78%
Qwen3 VL 235B A22B,Alibaba,88%
Qwen3 Next 80B A3B,Alibaba,84%
Claude 4 Opus,Anthropic,73%
Gemini 2.5 Pro (Mar),Google,--
DeepSeek V3.1,DeepSeek,90%
ERNIE 5.0 Thinking Preview,Baidu,85%
Gemini 2.5 Pro (May),Google,--
DeepSeek V3.2,DeepSeek,59%
gpt-oss-20B (high),OpenAI,89%
Magistral Medium 1.2,Mistral,82%
DeepSeek R1 0528,DeepSeek,76%
Qwen3 VL 32B,Alibaba,85%
NVIDIA Nemotron 3 Nano,NVIDIA,91%
Seed-OSS-36B-Instruct,ByteDance Seed,85%
Apriel-v1.5-15B-Thinker,ServiceNow,88%
GLM-4.5,Z AI,74%
Gemini 2.5 Flash,Google,73%
GPT-5 nano (high),OpenAI,84%
o3-mini (high),OpenAI,--
GLM-4.7,Z AI,48%
Kimi K2 0905,Kimi,57%
Claude 3.7 Sonnet,Anthropic,56%
Claude 4.5 Sonnet,Anthropic,37%
GPT-5 nano (medium),OpenAI,78%
GLM-4.5-Air,Z AI,81%
Nova 2.0 Omni (low),Amazon,56%
Grok Code Fast 1,xAI,43%
Qwen3 Max (Preview),Alibaba,75%
Kimi K2,Kimi,57%
o3-mini,OpenAI,--
o1-pro,OpenAI,--
GPT-5.2,OpenAI,51%
Gemini 2.5 Flash-Lite (Sep),Google,69%
gpt-oss-120B (low),OpenAI,67%
o1,OpenAI,--
Nova 2.0 Lite (low),Amazon,47%
Gemini 2.5 Flash (Sep),Google,57%
Qwen3 30B A3B 2507,Alibaba,56%
K2-V2 (high),MBZUAI Institute of Foundation Models,78%
Sonar Reasoning Pro,Perplexity,--
DeepSeek V3.2 Exp,DeepSeek,58%
MiniMax M1 80k,MiniMax,61%
MiMo-V2-Flash,Xiaomi,68%
Gemini 2.5 Flash,Google,--
DeepSeek V3.1 Terminus,DeepSeek,54%
Qwen3 235B 2507,Alibaba,72%
Qwen3 VL 30B A3B,Alibaba,82%
Grok 3,xAI,58%
Llama Nemotron Super 49B v1.5,NVIDIA,77%
Motif-2-12.7B,Motif Technologies,80%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,66%
Ling-1T,InclusionAI,71%
DeepSeek V3.1,DeepSeek,50%
GLM-4.6,Z AI,44%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,59%
Claude 4 Sonnet,Anthropic,38%
gpt-oss-20B (low),OpenAI,62%
Qwen3 VL 235B A22B,Alibaba,71%
DeepSeek R1 (Jan),DeepSeek,68%
Mi:dm K 2.5 Pro Preview,Korea Telecom,79%
GPT-5 (minimal),OpenAI,32%
GPT-4.1,OpenAI,35%
Qwen3 4B 2507,Alibaba,83%
Magistral Small 1.2,Mistral,80%
GPT-5.1,OpenAI,38%
EXAONE 4.0 32B,LG AI Research,80%
GPT-4.1 mini,OpenAI,46%
Claude 4 Opus,Anthropic,36%
Qwen3 Coder 480B,Alibaba,39%
Nova 2.0 Pro Preview,Amazon,31%
Ring-1T,InclusionAI,89%
GPT-5 (ChatGPT),OpenAI,48%
Claude 4.5 Haiku,Anthropic,39%
Qwen3 235B,Alibaba,82%
Gemini 2.5 Flash-Lite (Sep),Google,47%
GPT-5 mini (minimal),OpenAI,47%
Hermes 4 405B,Nous Research,70%
Grok 3 Reasoning Beta,xAI,--
DeepSeek V3 0324,DeepSeek,41%
Claude 3.7 Sonnet,Anthropic,21%
Qwen3 VL 32B,Alibaba,68%
GLM-4.6V,Z AI,85%
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,75%
Gemini 2.5 Flash,Google,60%
Gemini 2.5 Flash-Lite,Google,53%
MiniMax M1 40k,MiniMax,14%
K2-V2 (medium),MBZUAI Institute of Foundation Models,65%
Qwen3 Omni 30B A3B,Alibaba,74%
