Model,Features Creator,Intelligence GPQA Diamond (Scientific Reasoning)
Gemini 3 Pro Preview (high),Google,91%
GPT-5.2 (xhigh),OpenAI,90%
Gemini 3 Flash,Google,90%
Claude Opus 4.5,Anthropic,87%
GPT-5.1 (high),OpenAI,87%
GPT-5 Codex (high),OpenAI,84%
GPT-5 (high),OpenAI,85%
GLM-4.7,Z AI,86%
Kimi K2 Thinking,Kimi,84%
GPT-5.1 Codex (high),OpenAI,86%
GPT-5 (medium),OpenAI,84%
MiMo-V2-Flash,Xiaomi,85%
DeepSeek V3.2,DeepSeek,84%
o3,OpenAI,83%
Grok 4,xAI,88%
o3-pro,OpenAI,85%
Gemini 3 Pro Preview (low),Google,89%
GPT-5 mini (high),OpenAI,83%
Grok 4.1 Fast,xAI,85%
MiniMax-M2.1,MiniMax,83%
KAT-Coder-Pro V1,KwaiKAT,76%
Claude 4.5 Sonnet,Anthropic,83%
Nova 2.0 Pro Preview (medium),Amazon,79%
GPT-5.1 Codex mini (high),OpenAI,81%
GPT-5 (low),OpenAI,81%
MiniMax-M2,MiniMax,78%
GPT-5 mini (medium),OpenAI,80%
gpt-oss-120B (high),OpenAI,78%
Grok 4 Fast,xAI,85%
Claude Opus 4.5,Anthropic,81%
Gemini 2.5 Pro,Google,84%
o4-mini (high),OpenAI,78%
Claude 4.1 Opus,Anthropic,81%
DeepSeek V3.2 Speciale,DeepSeek,87%
Nova 2.0 Lite (medium),Amazon,77%
DeepSeek V3.1 Terminus,DeepSeek,79%
Nova 2.0 Pro Preview (low),Amazon,75%
Qwen3 235B A22B 2507,Alibaba,79%
Doubao Seed Code,ByteDance Seed,76%
Grok 3 mini Reasoning (high),xAI,79%
Apriel-v1.6-15B-Thinker,ServiceNow,73%
DeepSeek V3.2 Exp,DeepSeek,80%
Claude 4 Sonnet,Anthropic,78%
Nova 2.0 Omni (medium),Amazon,76%
GLM-4.6,Z AI,78%
Qwen3 Max Thinking,Alibaba,78%
Qwen3 Max,Alibaba,76%
Claude 4.5 Haiku,Anthropic,67%
Gemini 3 Flash,Google,81%
Gemini 2.5 Flash (Sep),Google,79%
Qwen3 VL 235B A22B,Alibaba,77%
Qwen3 Next 80B A3B,Alibaba,76%
Claude 4 Opus,Anthropic,80%
Gemini 2.5 Pro (Mar),Google,84%
DeepSeek V3.1,DeepSeek,78%
ERNIE 5.0 Thinking Preview,Baidu,78%
Gemini 2.5 Pro (May),Google,82%
DeepSeek V3.2,DeepSeek,75%
gpt-oss-20B (high),OpenAI,69%
Magistral Medium 1.2,Mistral,74%
DeepSeek R1 0528,DeepSeek,81%
Qwen3 VL 32B,Alibaba,73%
NVIDIA Nemotron 3 Nano,NVIDIA,76%
Seed-OSS-36B-Instruct,ByteDance Seed,73%
Apriel-v1.5-15B-Thinker,ServiceNow,71%
GLM-4.5,Z AI,78%
Gemini 2.5 Flash,Google,79%
GPT-5 nano (high),OpenAI,68%
o3-mini (high),OpenAI,77%
GLM-4.7,Z AI,66%
Kimi K2 0905,Kimi,77%
Claude 3.7 Sonnet,Anthropic,77%
Claude 4.5 Sonnet,Anthropic,73%
GPT-5 nano (medium),OpenAI,67%
GLM-4.5-Air,Z AI,73%
Nova 2.0 Omni (low),Amazon,70%
Grok Code Fast 1,xAI,73%
Qwen3 Max (Preview),Alibaba,76%
Kimi K2,Kimi,77%
o3-mini,OpenAI,75%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,71%
Gemini 2.5 Flash-Lite (Sep),Google,71%
gpt-oss-120B (low),OpenAI,67%
o1,OpenAI,75%
Nova 2.0 Lite (low),Amazon,70%
Gemini 2.5 Flash (Sep),Google,77%
Qwen3 30B A3B 2507,Alibaba,71%
K2-V2 (high),MBZUAI Institute of Foundation Models,68%
Sonar Reasoning Pro,Perplexity,--
DeepSeek V3.2 Exp,DeepSeek,74%
MiniMax M1 80k,MiniMax,70%
MiMo-V2-Flash,Xiaomi,66%
Gemini 2.5 Flash,Google,70%
DeepSeek V3.1 Terminus,DeepSeek,75%
Qwen3 235B 2507,Alibaba,75%
Qwen3 VL 30B A3B,Alibaba,72%
Grok 3,xAI,69%
Llama Nemotron Super 49B v1.5,NVIDIA,75%
Motif-2-12.7B,Motif Technologies,70%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,74%
Ling-1T,InclusionAI,72%
DeepSeek V3.1,DeepSeek,74%
GLM-4.6,Z AI,63%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,62%
Claude 4 Sonnet,Anthropic,68%
gpt-oss-20B (low),OpenAI,61%
Qwen3 VL 235B A22B,Alibaba,71%
DeepSeek R1 (Jan),DeepSeek,71%
Mi:dm K 2.5 Pro Preview,Korea Telecom,72%
GPT-5 (minimal),OpenAI,67%
GPT-4.1,OpenAI,67%
Qwen3 4B 2507,Alibaba,67%
Magistral Small 1.2,Mistral,66%
GPT-5.1,OpenAI,64%
EXAONE 4.0 32B,LG AI Research,74%
GPT-4.1 mini,OpenAI,66%
Claude 4 Opus,Anthropic,70%
Qwen3 Coder 480B,Alibaba,62%
Nova 2.0 Pro Preview,Amazon,64%
Ring-1T,InclusionAI,60%
GPT-5 (ChatGPT),OpenAI,69%
Claude 4.5 Haiku,Anthropic,65%
Qwen3 235B,Alibaba,70%
Gemini 2.5 Flash-Lite (Sep),Google,65%
GPT-5 mini (minimal),OpenAI,69%
Hermes 4 405B,Nous Research,73%
Grok 3 Reasoning Beta,xAI,--
DeepSeek V3 0324,DeepSeek,66%
