Model,Features Creator,Intelligence Humanity's Last Exam (Reasoning & Knowledge)
Apriel-v1.5-15B-Thinker,ServiceNow,12%
Apriel-v1.6-15B-Thinker,ServiceNow,10%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,4%
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,3%
Claude 3 Sonnet,Anthropic,4%
Claude 3.5 Haiku,Anthropic,4%
Claude 3.5 Sonnet (June),Anthropic,4%
Claude 3.5 Sonnet (Oct),Anthropic,4%
Claude 3.7 Sonnet Thinking,Anthropic,10%
Claude 3.7 Sonnet Non-Thinking,Anthropic,5%
Claude 4 Opus Non-Thinking,Anthropic,6%
Claude 4 Opus Thinking,Anthropic,12%
Claude 4 Sonnet Non-Thinking,Anthropic,4%
Claude 4 Sonnet Thinking,Anthropic,10%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,12%
Claude 4.5 Haiku Thinking,Anthropic,10%
Claude 4.5 Haiku Non-Thinking,Anthropic,4%
Claude 4.5 Sonnet Thinking,Anthropic,17%
Claude 4.5 Sonnet Non-Thinking,Anthropic,7%
Claude Instant,Anthropic,4%
Claude Opus 4.5 Non-Thinking,Anthropic,13%
Claude Opus 4.5 Thinking,Anthropic,28%
Cogito v2.1,Deep Cogito,11%
Command A,Cohere,5%
Command-R (Mar),Cohere,5%
Command-R+ (Apr),Cohere,5%
DBRX,Databricks,7%
DeepHermes 3 - Llama-3.1 8B,Nous Research,4%
DeepHermes 3 - Mistral 24B,Nous Research,4%
DeepSeek Coder V2 Lite,DeepSeek,5%
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,9%
DeepSeek R1 0528,DeepSeek,15%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,6%
DeepSeek R1 Distill Llama 70B,DeepSeek,6%
DeepSeek R1 Distill Llama 8B,DeepSeek,4%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,3%
DeepSeek R1 Distill Qwen 14B,DeepSeek,4%
DeepSeek R1 Distill Qwen 32B,DeepSeek,6%
DeepSeek V3 (Dec),DeepSeek,4%
DeepSeek V3 0324,DeepSeek,5%
DeepSeek V3.1 Non-Thinking,DeepSeek,6%
