Model,Features Creator,Intelligence IFBench (Instruction Following)
Apriel-v1.5-15B-Thinker,ServiceNow,62%
Apriel-v1.6-15B-Thinker,ServiceNow,69%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,--
Claude 3 Sonnet,Anthropic,--
Claude 3.5 Haiku,Anthropic,--
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,--
Claude 3.7 Sonnet Thinking,Anthropic,48%
Claude 3.7 Sonnet Non-Thinking,Anthropic,44%
Claude 4 Opus Non-Thinking,Anthropic,43%
Claude 4 Opus Thinking,Anthropic,54%
Claude 4 Sonnet Non-Thinking,Anthropic,45%
Claude 4 Sonnet Thinking,Anthropic,55%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,55%
Claude 4.5 Haiku Thinking,Anthropic,54%
Claude 4.5 Haiku Non-Thinking,Anthropic,42%
Claude 4.5 Sonnet Thinking,Anthropic,57%
Claude 4.5 Sonnet Non-Thinking,Anthropic,43%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,43%
Claude Opus 4.5 Thinking,Anthropic,58%
Cogito v2.1,Deep Cogito,46%
Command A,Cohere,37%
Command-R (Mar),Cohere,--
Command-R+ (Apr),Cohere,--
DBRX,Databricks,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
DeepHermes 3 - Mistral 24B,Nous Research,--
DeepSeek Coder V2 Lite,DeepSeek,--
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,39%
DeepSeek R1 0528,DeepSeek,40%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,20%
DeepSeek R1 Distill Llama 70B,DeepSeek,28%
DeepSeek R1 Distill Llama 8B,DeepSeek,18%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,13%
DeepSeek R1 Distill Qwen 14B,DeepSeek,22%
DeepSeek R1 Distill Qwen 32B,DeepSeek,23%
DeepSeek V3 (Dec),DeepSeek,35%
DeepSeek V3 0324,DeepSeek,41%
DeepSeek V3.1 Non-Thinking,DeepSeek,38%
DeepSeek V3.1 Thinking,DeepSeek,42%
DeepSeek V3.1 Terminus Thinking,DeepSeek,57%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,41%
DeepSeek V3.2 Non-Thinking,DeepSeek,49%
DeepSeek V3.2 Thinking,DeepSeek,61%
DeepSeek V3.2 Exp Thinking,DeepSeek,54%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,43%
DeepSeek V3.2 Speciale,DeepSeek,64%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,38%
Devstral Medium,Mistral,30%
Devstral Small,Mistral,35%
Devstral Small (May),Mistral,--
Devstral Small 2,Mistral,31%
Doubao Seed Code,ByteDance Seed,51%
ERNIE 4.5 300B A47B,Baidu,39%
ERNIE 5.0 Thinking Preview,Baidu,41%
EXAONE 4.0 32B Non-Thinking,LG AI Research,34%
EXAONE 4.0 32B Thinking,LG AI Research,36%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,25%
Exaone 4.0 1.2B Thinking,LG AI Research,23%
GLM-4.5,Z AI,44%
GLM-4.5-Air,Z AI,38%
GLM-4.5V Thinking,Z AI,34%
GLM-4.5V Non-Thinking,Z AI,29%
GLM-4.6 Non-Thinking,Z AI,37%
GLM-4.6 Thinking,Z AI,43%
GLM-4.6V Thinking,Z AI,30%
GLM-4.6V Non-Thinking,Z AI,28%
GLM-4.7 Non-Thinking,Z AI,55%
GLM-4.7 Thinking,Z AI,68%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,--
GPT-4.1,OpenAI,43%
GPT-4.1 mini,OpenAI,38%
GPT-4.1 nano,OpenAI,32%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,--
GPT-4o (ChatGPT),OpenAI,--
GPT-4o (Mar),OpenAI,--
GPT-4o (May),OpenAI,--
GPT-4o (Nov),OpenAI,34%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,31%
GPT-4o mini Realtime (Dec),OpenAI,--
GPT-5 (ChatGPT),OpenAI,45%
GPT-5 (high),OpenAI,73%
GPT-5 (low),OpenAI,67%
GPT-5 (medium),OpenAI,71%
GPT-5 (minimal),OpenAI,46%
GPT-5 Codex (high),OpenAI,74%
GPT-5 mini (high),OpenAI,75%
GPT-5 mini (medium),OpenAI,71%
GPT-5 mini (minimal),OpenAI,46%
GPT-5 nano (high),OpenAI,68%
GPT-5 nano (medium),OpenAI,66%
GPT-5 nano (minimal),OpenAI,33%
GPT-5.1,OpenAI,43%
GPT-5.1 (high),OpenAI,73%
GPT-5.1 Codex (high),OpenAI,70%
GPT-5.1 Codex mini (high),OpenAI,68%
GPT-5.2,OpenAI,47%
GPT-5.2 (xhigh),OpenAI,75%
Gemini 1.0 Pro,Google,--
Gemini 1.0 Ultra,Google,--
Gemini 1.5 Flash (May),Google,--
Gemini 1.5 Flash (Sep),Google,--
Gemini 1.5 Flash-8B,Google,--
Gemini 1.5 Pro (May),Google,--
Gemini 1.5 Pro (Sep),Google,--
Gemini 2.0 Flash,Google,40%
Gemini 2.0 Flash (exp),Google,--
Gemini 2.0 Flash Thinking exp. (Dec),Google,--
Gemini 2.0 Flash Thinking exp. (Jan),Google,--
Gemini 2.0 Flash-Lite (Feb),Google,--
Gemini 2.0 Flash-Lite (Preview),Google,--
Gemini 2.0 Pro Experimental,Google,--
Gemini 2.5 Flash Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2504,Google,--
Gemini 2.5 Flash Non-Thinking 2505,Google,39%
Gemini 2.5 Flash Thinking 2505,Google,50%
Gemini 2.5 Flash (Sep) Non-Thinking,Google,44%
Gemini 2.5 Flash (Sep) Thinking,Google,52%
Gemini 2.5 Flash-Lite Thinking,Google,50%
Gemini 2.5 Flash-Lite Non-Thinking,Google,32%
Gemini 2.5 Flash-Lite (Sep) Thinking,Google,53%
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,Google,42%
Gemini 2.5 Pro,Google,49%
Gemini 2.5 Pro (Mar),Google,--
Gemini 2.5 Pro (May),Google,--
Gemini 3 Flash Thinking,Google,78%
Gemini 3 Flash Non-Thinking,Google,55%
Gemini 3 Pro Preview (high),Google,70%
Gemini 3 Pro Preview (low),Google,50%
Gemma 3 12B,Google,37%
Gemma 3 1B,Google,20%
Gemma 3 270M,Google,12%
Gemma 3 27B,Google,32%
Gemma 3 4B,Google,28%
Gemma 3n E2B,Google,22%
Gemma 3n E4B,Google,28%
Gemma 3n E4B (May),Google,--
Granite 3.3 8B,IBM,22%
Granite 4.0 1B,IBM,21%
Granite 4.0 350M,IBM,16%
Granite 4.0 H 1B,IBM,26%
Granite 4.0 H 350M,IBM,18%
Granite 4.0 H Small,IBM,32%
Granite 4.0 Micro,IBM,25%
Grok 2,xAI,--
Grok 3,xAI,47%
Grok 3 Reasoning Beta,xAI,--
Grok 3 mini Reasoning (high),xAI,46%
Grok 4,xAI,54%
Grok 4 Fast Thinking,xAI,51%
Grok 4 Fast Non-Thinking,xAI,38%
Grok 4.1 Fast Non-Thinking,xAI,37%
Grok 4.1 Fast Thinking,xAI,53%
Grok Beta,xAI,--
Grok Code Fast 1,xAI,41%
Grok Voice Agent,xAI,--
Grok-1,xAI,--
Hermes 3 - Llama-3.1 70B,Nous Research,--
Hermes 4 405B Non-Thinking,Nous Research,35%
Hermes 4 405B Thinking,Nous Research,33%
Hermes 4 70B Thinking,Nous Research,31%
Hermes 4 70B Non-Thinking,Nous Research,29%
HyperCLOVA X SEED Think (32B),Naver,38%
Jamba 1.5 Large,AI21 Labs,--
Jamba 1.5 Mini,AI21 Labs,--
Jamba 1.6 Large,AI21 Labs,--
Jamba 1.6 Mini,AI21 Labs,--
Jamba 1.7 Large,AI21 Labs,35%
Jamba 1.7 Mini,AI21 Labs,31%
Jamba Reasoning 3B,AI21 Labs,52%
K2-V2 (high),MBZUAI Institute of Foundation Models,60%
K2-V2 (low),MBZUAI Institute of Foundation Models,41%
K2-V2 (medium),MBZUAI Institute of Foundation Models,55%
KAT-Coder-Pro V1,KwaiKAT,68%
Kimi K2,Kimi,42%
Kimi K2 0905,Kimi,42%
Kimi K2 Thinking,Kimi,68%
Kimi Linear 48B A3B Instruct,Kimi,28%
LFM 40B,Liquid AI,--
LFM2 1.2B,Liquid AI,22%
LFM2 2.6B,Liquid AI,20%
LFM2 8B A1B,Liquid AI,26%
Ling-1T,InclusionAI,35%
Ling-flash-2.0,InclusionAI,34%
Ling-mini-2.0,InclusionAI,24%
Llama 2 Chat 13B,Meta,--
Llama 2 Chat 70B,Meta,--
Llama 2 Chat 7B,Meta,--
Llama 3 70B,Meta,--
Llama 3 8B,Meta,--
Llama 3.1 405B,Meta,39%
Llama 3.1 70B,Meta,34%
Llama 3.1 8B,Meta,29%
Llama 3.1 Nemotron 70B,NVIDIA,31%
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,26%
Llama 3.2 11B (Vision),Meta,30%
Llama 3.2 1B,Meta,23%
Llama 3.2 3B,Meta,26%
Llama 3.2 90B (Vision),Meta,--
Llama 3.3 70B,Meta,47%
Llama 3.3 Nemotron Super 49B Non-Thinking,NVIDIA,40%
Llama 3.3 Nemotron Super 49B Thinking,NVIDIA,38%
Llama 4 Maverick,Meta,43%
Llama 4 Scout,Meta,40%
Llama 65B,Meta,--
Llama Nemotron Super 49B v1.5 Thinking,NVIDIA,37%
Llama Nemotron Super 49B v1.5 Non-Thinking,NVIDIA,33%
Llama Nemotron Ultra,NVIDIA,38%
Magistral Medium 1,Mistral,25%
Magistral Medium 1.2,Mistral,43%
Magistral Small 1,Mistral,25%
Magistral Small 1.2,Mistral,44%
Mi:dm K 2.5 Pro Preview,Korea Telecom,46%
MiMo-V2-Flash Thinking,Xiaomi,64%
MiMo-V2-Flash Non-Thinking,Xiaomi,40%
MiniMax M1 40k,MiniMax,41%
MiniMax M1 80k,MiniMax,42%
MiniMax-M2,MiniMax,72%
MiniMax-M2.1,MiniMax,70%
Ministral 14B (Dec '25),Mistral,32%
Ministral 3B (Dec '25),Mistral,27%
Ministral 8B (Dec '25),Mistral,29%
Mistral 7B,Mistral,--
Mistral Large (Feb),Mistral,--
Mistral Large 2 (Jul),Mistral,32%
Mistral Large 2 (Nov),Mistral,31%
Mistral Large 3,Mistral,36%
Mistral Medium,Mistral,--
Mistral Medium 3,Mistral,39%
Mistral Medium 3.1,Mistral,40%
Mistral Saba,Mistral,--
Mistral Small (Feb),Mistral,--
Mistral Small (Sep),Mistral,--
Mistral Small 3,Mistral,26%
Mistral Small 3.1,Mistral,30%
Mistral Small 3.2,Mistral,34%
Mixtral 8x22B,Mistral,--
Mixtral 8x7B,Mistral,--
Molmo 7B-D,Allen Institute for AI,20%
Motif-2-12.7B,Motif Technologies,57%
NVIDIA Nemotron 3 Nano Non-Thinking,NVIDIA,38%
NVIDIA Nemotron 3 Nano Thinking,NVIDIA,71%
NVIDIA Nemotron Nano 12B v2 VL Non-Thinking,NVIDIA,26%
NVIDIA Nemotron Nano 12B v2 VL Thinking,NVIDIA,32%
NVIDIA Nemotron Nano 9B V2 Non-Thinking,NVIDIA,27%
NVIDIA Nemotron Nano 9B V2 Thinking,NVIDIA,28%
Nova 2.0 Lite,Amazon,41%
Nova 2.0 Lite (low),Amazon,61%
Nova 2.0 Lite (medium),Amazon,69%
Nova 2.0 Omni,Amazon,41%
Nova 2.0 Omni (low),Amazon,62%
Nova 2.0 Omni (medium),Amazon,66%
Nova 2.0 Pro Preview,Amazon,52%
Nova 2.0 Pro Preview (low),Amazon,80%
Nova 2.0 Pro Preview (medium),Amazon,79%
Nova Lite,Amazon,34%
Nova Micro,Amazon,29%
Nova Premier,Amazon,36%
Nova Pro,Amazon,38%
OLMo 2 32B,Allen Institute for AI,38%
OLMo 2 7B,Allen Institute for AI,24%
OLMo 3 32B Think,Allen Institute for AI,49%
OLMo 3 7B,Allen Institute for AI,33%
OLMo 3 7B Think,Allen Institute for AI,42%
