Model,Features Creator,Intelligence SciCode (Coding)
Apriel-v1.5-15B-Thinker,ServiceNow,35%
Apriel-v1.6-15B-Thinker,ServiceNow,37%
Arctic,Snowflake,--
Claude 2.0,Anthropic,19%
Claude 2.1,Anthropic,18%
Claude 3 Haiku,Anthropic,19%
Claude 3 Opus,Anthropic,23%
Claude 3 Sonnet,Anthropic,23%
Claude 3.5 Haiku,Anthropic,27%
Claude 3.5 Sonnet (June),Anthropic,32%
Claude 3.5 Sonnet (Oct),Anthropic,37%
Claude 3.7 Sonnet Thinking,Anthropic,40%
Claude 3.7 Sonnet Non-Thinking,Anthropic,38%
Claude 4 Opus Non-Thinking,Anthropic,41%
Claude 4 Opus Thinking,Anthropic,40%
Claude 4 Sonnet Non-Thinking,Anthropic,37%
Claude 4 Sonnet Thinking,Anthropic,40%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,41%
Claude 4.5 Haiku Thinking,Anthropic,43%
Claude 4.5 Haiku Non-Thinking,Anthropic,34%
Claude 4.5 Sonnet Thinking,Anthropic,45%
Claude 4.5 Sonnet Non-Thinking,Anthropic,43%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,47%
Claude Opus 4.5 Thinking,Anthropic,50%
Cogito v2.1,Deep Cogito,41%
Command A,Cohere,28%
Command-R (Mar),Cohere,6%
Command-R+ (Apr),Cohere,12%
DBRX,Databricks,12%
DeepHermes 3 - Llama-3.1 8B,Nous Research,9%
DeepHermes 3 - Mistral 24B,Nous Research,23%
DeepSeek Coder V2 Lite,DeepSeek,14%
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,36%
DeepSeek R1 0528,DeepSeek,40%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,20%
DeepSeek R1 Distill Llama 70B,DeepSeek,31%
DeepSeek R1 Distill Llama 8B,DeepSeek,12%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,7%
DeepSeek R1 Distill Qwen 14B,DeepSeek,24%
DeepSeek R1 Distill Qwen 32B,DeepSeek,38%
DeepSeek V3 (Dec),DeepSeek,35%
DeepSeek V3 0324,DeepSeek,36%
DeepSeek V3.1 Non-Thinking,DeepSeek,37%
DeepSeek V3.1 Thinking,DeepSeek,39%
DeepSeek V3.1 Terminus Thinking,DeepSeek,41%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,32%
DeepSeek V3.2 Non-Thinking,DeepSeek,39%
DeepSeek V3.2 Thinking,DeepSeek,39%
DeepSeek V3.2 Exp Thinking,DeepSeek,38%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,40%
DeepSeek V3.2 Speciale,DeepSeek,44%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,33%
Devstral Medium,Mistral,29%
Devstral Small,Mistral,24%
Devstral Small (May),Mistral,25%
Devstral Small 2,Mistral,29%
Doubao Seed Code,ByteDance Seed,41%
ERNIE 4.5 300B A47B,Baidu,32%
ERNIE 5.0 Thinking Preview,Baidu,38%
EXAONE 4.0 32B Non-Thinking,LG AI Research,25%
EXAONE 4.0 32B Thinking,LG AI Research,34%
