Model,Features Creator,Intelligence 𝜏²-Bench Telecom (Agentic Tool Use)
Apriel-v1.5-15B-Thinker,ServiceNow,68%
Apriel-v1.6-15B-Thinker,ServiceNow,69%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,--
Claude 3 Sonnet,Anthropic,--
Claude 3.5 Haiku,Anthropic,--
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,--
Claude 3.7 Sonnet Thinking,Anthropic,55%
Claude 3.7 Sonnet Non-Thinking,Anthropic,50%
Claude 4 Opus Non-Thinking,Anthropic,--
Claude 4 Opus Thinking,Anthropic,71%
Claude 4 Sonnet Non-Thinking,Anthropic,52%
Claude 4 Sonnet Thinking,Anthropic,65%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,71%
Claude 4.5 Haiku Thinking,Anthropic,55%
Claude 4.5 Haiku Non-Thinking,Anthropic,33%
Claude 4.5 Sonnet Thinking,Anthropic,78%
Claude 4.5 Sonnet Non-Thinking,Anthropic,71%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,86%
Claude Opus 4.5 Thinking,Anthropic,90%
Cogito v2.1,Deep Cogito,--
Command A,Cohere,15%
Command-R (Mar),Cohere,--
Command-R+ (Apr),Cohere,--
DBRX,Databricks,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
DeepHermes 3 - Mistral 24B,Nous Research,--
DeepSeek Coder V2 Lite,DeepSeek,--
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,11%
DeepSeek R1 0528,DeepSeek,37%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,0%
DeepSeek R1 Distill Llama 70B,DeepSeek,22%
DeepSeek R1 Distill Llama 8B,DeepSeek,--
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,--
DeepSeek R1 Distill Qwen 14B,DeepSeek,--
DeepSeek R1 Distill Qwen 32B,DeepSeek,--
DeepSeek V3 (Dec),DeepSeek,23%
DeepSeek V3 0324,DeepSeek,47%
DeepSeek V3.1 Non-Thinking,DeepSeek,35%
DeepSeek V3.1 Thinking,DeepSeek,37%
DeepSeek V3.1 Terminus Thinking,DeepSeek,37%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,37%
DeepSeek V3.2 Non-Thinking,DeepSeek,79%
DeepSeek V3.2 Thinking,DeepSeek,91%
DeepSeek V3.2 Exp Thinking,DeepSeek,34%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,34%
DeepSeek V3.2 Speciale,DeepSeek,0%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,25%
Devstral Medium,Mistral,20%
Devstral Small,Mistral,28%
Devstral Small (May),Mistral,--
Devstral Small 2,Mistral,23%
Doubao Seed Code,ByteDance Seed,58%
ERNIE 4.5 300B A47B,Baidu,0%
ERNIE 5.0 Thinking Preview,Baidu,84%
EXAONE 4.0 32B Non-Thinking,LG AI Research,4%
EXAONE 4.0 32B Thinking,LG AI Research,17%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,21%
Exaone 4.0 1.2B Thinking,LG AI Research,16%
GLM-4.5,Z AI,43%
GLM-4.5-Air,Z AI,47%
GLM-4.5V Thinking,Z AI,23%
GLM-4.5V Non-Thinking,Z AI,20%
GLM-4.6 Non-Thinking,Z AI,77%
GLM-4.6 Thinking,Z AI,71%
GLM-4.6V Thinking,Z AI,32%
GLM-4.6V Non-Thinking,Z AI,31%
GLM-4.7 Non-Thinking,Z AI,94%
GLM-4.7 Thinking,Z AI,96%
GPT-3.5 Turbo,OpenAI,--
GPT-3.5 Turbo (0613),OpenAI,--
GPT-4,OpenAI,--
GPT-4 Turbo,OpenAI,--
GPT-4.1,OpenAI,47%
GPT-4.1 mini,OpenAI,53%
GPT-4.1 nano,OpenAI,17%
GPT-4.5 (Preview),OpenAI,--
GPT-4o (Aug),OpenAI,--
GPT-4o (ChatGPT),OpenAI,--
GPT-4o (Mar),OpenAI,--
GPT-4o (May),OpenAI,--
GPT-4o (Nov),OpenAI,25%
GPT-4o Realtime (Dec),OpenAI,--
GPT-4o mini,OpenAI,--
