Model,Features Creator,Intelligence 𝜏²-Bench Telecom (Agentic Tool Use)
Gemini 3 Pro Preview (high),Google,87%
GPT-5.2 (xhigh),OpenAI,85%
Gemini 3 Flash,Google,80%
Claude Opus 4.5,Anthropic,90%
GPT-5.1 (high),OpenAI,82%
GPT-5 Codex (high),OpenAI,87%
GPT-5 (high),OpenAI,85%
GLM-4.7,Z AI,96%
Kimi K2 Thinking,Kimi,93%
GPT-5.1 Codex (high),OpenAI,83%
GPT-5 (medium),OpenAI,87%
MiMo-V2-Flash,Xiaomi,95%
DeepSeek V3.2,DeepSeek,91%
o3,OpenAI,81%
Grok 4,xAI,75%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,68%
GPT-5 mini (high),OpenAI,68%
Grok 4.1 Fast,xAI,93%
MiniMax-M2.1,MiniMax,85%
KAT-Coder-Pro V1,KwaiKAT,89%
Claude 4.5 Sonnet,Anthropic,78%
Nova 2.0 Pro Preview (medium),Amazon,93%
GPT-5.1 Codex mini (high),OpenAI,63%
GPT-5 (low),OpenAI,84%
MiniMax-M2,MiniMax,87%
GPT-5 mini (medium),OpenAI,71%
gpt-oss-120B (high),OpenAI,66%
Grok 4 Fast,xAI,66%
Claude Opus 4.5,Anthropic,86%
Gemini 2.5 Pro,Google,54%
o4-mini (high),OpenAI,56%
Claude 4.1 Opus,Anthropic,71%
DeepSeek V3.2 Speciale,DeepSeek,0%
Nova 2.0 Lite (medium),Amazon,76%
DeepSeek V3.1 Terminus,DeepSeek,37%
Nova 2.0 Pro Preview (low),Amazon,91%
Qwen3 235B A22B 2507,Alibaba,53%
Doubao Seed Code,ByteDance Seed,58%
Grok 3 mini Reasoning (high),xAI,90%
Apriel-v1.6-15B-Thinker,ServiceNow,69%
DeepSeek V3.2 Exp,DeepSeek,34%
Claude 4 Sonnet,Anthropic,65%
Nova 2.0 Omni (medium),Amazon,80%
GLM-4.6,Z AI,71%
Qwen3 Max Thinking,Alibaba,84%
Qwen3 Max,Alibaba,74%
Claude 4.5 Haiku,Anthropic,55%
Gemini 3 Flash,Google,43%
Gemini 2.5 Flash (Sep),Google,46%
Qwen3 VL 235B A22B,Alibaba,54%
Qwen3 Next 80B A3B,Alibaba,42%
Claude 4 Opus,Anthropic,71%
Gemini 2.5 Pro (Mar),Google,--
DeepSeek V3.1,DeepSeek,37%
ERNIE 5.0 Thinking Preview,Baidu,84%
Gemini 2.5 Pro (May),Google,--
DeepSeek V3.2,DeepSeek,79%
gpt-oss-20B (high),OpenAI,60%
Magistral Medium 1.2,Mistral,52%
DeepSeek R1 0528,DeepSeek,37%
Qwen3 VL 32B,Alibaba,46%
NVIDIA Nemotron 3 Nano,NVIDIA,41%
Seed-OSS-36B-Instruct,ByteDance Seed,49%
Apriel-v1.5-15B-Thinker,ServiceNow,68%
GLM-4.5,Z AI,43%
Gemini 2.5 Flash,Google,32%
GPT-5 nano (high),OpenAI,37%
o3-mini (high),OpenAI,31%
GLM-4.7,Z AI,94%
Kimi K2 0905,Kimi,73%
Claude 3.7 Sonnet,Anthropic,55%
Claude 4.5 Sonnet,Anthropic,71%
GPT-5 nano (medium),OpenAI,30%
GLM-4.5-Air,Z AI,47%
Nova 2.0 Omni (low),Amazon,68%
Grok Code Fast 1,xAI,76%
Qwen3 Max (Preview),Alibaba,33%
Kimi K2,Kimi,61%
o3-mini,OpenAI,29%
o1-pro,OpenAI,--
GPT-5.2,OpenAI,47%
Gemini 2.5 Flash-Lite (Sep),Google,31%
gpt-oss-120B (low),OpenAI,45%
o1,OpenAI,63%
Nova 2.0 Lite (low),Amazon,72%
Gemini 2.5 Flash (Sep),Google,28%
Qwen3 30B A3B 2507,Alibaba,28%
K2-V2 (high),MBZUAI Institute of Foundation Models,28%
Sonar Reasoning Pro,Perplexity,--
DeepSeek V3.2 Exp,DeepSeek,34%
MiniMax M1 80k,MiniMax,34%
MiMo-V2-Flash,Xiaomi,84%
Gemini 2.5 Flash,Google,--
DeepSeek V3.1 Terminus,DeepSeek,37%
Qwen3 235B 2507,Alibaba,33%
Qwen3 VL 30B A3B,Alibaba,20%
Grok 3,xAI,49%
Llama Nemotron Super 49B v1.5,NVIDIA,28%
Motif-2-12.7B,Motif Technologies,47%
o1-preview,OpenAI,--
Qwen3 Next 80B A3B,Alibaba,22%
Ling-1T,InclusionAI,33%
DeepSeek V3.1,DeepSeek,35%
GLM-4.6,Z AI,77%
Claude 4.1 Opus,Anthropic,--
HyperCLOVA X SEED Think (32B),Naver,87%
Claude 4 Sonnet,Anthropic,52%
gpt-oss-20B (low),OpenAI,50%
Qwen3 VL 235B A22B,Alibaba,35%
DeepSeek R1 (Jan),DeepSeek,11%
Mi:dm K 2.5 Pro Preview,Korea Telecom,49%
GPT-5 (minimal),OpenAI,67%
GPT-4.1,OpenAI,47%
Qwen3 4B 2507,Alibaba,25%
Magistral Small 1.2,Mistral,28%
GPT-5.1,OpenAI,47%
EXAONE 4.0 32B,LG AI Research,17%
GPT-4.1 mini,OpenAI,53%
Claude 4 Opus,Anthropic,--
Qwen3 Coder 480B,Alibaba,44%
Nova 2.0 Pro Preview,Amazon,72%
Ring-1T,InclusionAI,26%
GPT-5 (ChatGPT),OpenAI,0%
Claude 4.5 Haiku,Anthropic,33%
Qwen3 235B,Alibaba,24%
Gemini 2.5 Flash-Lite (Sep),Google,30%
GPT-5 mini (minimal),OpenAI,32%
Hermes 4 405B,Nous Research,22%
Grok 3 Reasoning Beta,xAI,--
DeepSeek V3 0324,DeepSeek,47%
Claude 3.7 Sonnet,Anthropic,50%
Qwen3 VL 32B,Alibaba,29%
GLM-4.6V,Z AI,32%
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,21%
Gemini 2.5 Flash,Google,15%
Gemini 2.5 Flash-Lite,Google,18%
MiniMax M1 40k,MiniMax,32%
K2-V2 (medium),MBZUAI Institute of Foundation Models,25%
Qwen3 Omni 30B A3B,Alibaba,21%
Ring-flash-2.0,InclusionAI,0%
o1-mini,OpenAI,--
Hermes 4 70B,Nous Research,23%
Qwen3 32B,Alibaba,30%
Grok 4 Fast,xAI,64%
Llama Nemotron Ultra,NVIDIA,11%
Qwen3 VL 30B A3B,Alibaba,19%
