Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►3,Anthropicclaude-opus-4-5-20251101-thinking-32k,1540,±12,2710,Anthropic,Proprietary
2,1◄─►7,Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1525,±8,6786,Anthropic,Proprietary
3,1◄─►9,gemini-3-pro,1520,±10,4226,Google,Proprietary
4,2◄─►12,Anthropicclaude-opus-4-5-20251101,1515,±12,2846,Anthropic,Proprietary
5,2◄─►11,Anthropicclaude-opus-4-1-20250805-thinking-16k,1513,±7,9399,Anthropic,Proprietary
6,2◄─►15,grok-4.1-thinking,1508,±10,4185,xAI,Proprietary
7,3◄─►15,Anthropicclaude-sonnet-4-5-20250929,1506,±9,5680,Anthropic,Proprietary
8,2◄─►21,gemini-3-flash,1505Preliminary,±18,1091,Google,Proprietary
9,5◄─►15,Anthropicclaude-opus-4-1-20250805,1500,±6,11981,Anthropic,Proprietary
10,3◄─►28,gemini-3-flash (thinking-minimal),1497Preliminary,±17,1185,Google,Proprietary
11,6◄─►21,Anthropicclaude-opus-4-20250514-thinking-16k,1495,±8,6716,Anthropic,Proprietary
12,4◄─►33,gpt-5.2-high,1493Preliminary,±17,1224,OpenAI,Proprietary
13,6◄─►24,grok-4.1,1492,±10,4371,xAI,Proprietary
14,6◄─►32,gpt-5.1-high,1488,±11,3449,OpenAI,Proprietary
15,9◄─►35,qwen3-max-preview,1481,±8,5397,Alibaba,Proprietary
16,9◄─►35,MoonshotAIkimi-k2-thinking-turbo,1480,±10,3931,Moonshot,Modified MIT
17,4◄─►59,gpt-5.2,1480Preliminary,±27,488,OpenAI,Proprietary
18,9◄─►42,gpt-5.1,1479,±10,3887,OpenAI,Proprietary
19,9◄─►49,qwen3-max-2025-09-23,1475,±13,2034,Alibaba,Proprietary
20,11◄─►44,Anthropicclaude-haiku-4-5-20251001,1475,±8,6469,Anthropic,Proprietary
21,9◄─►49,longcat-flash-chat,1474,±13,2244,Meituan,MIT
22,11◄─►52,deepseek-v3.2-exp-thinking,1472,±13,1918,DeepSeek AI,MIT
23,11◄─►53,mistral-large-3,1471,±13,2073,Mistral,Apache 2.0
24,15◄─►46,gemini-2.5-pro,1470,±6,15366,Google,Proprietary
25,14◄─►47,qwen3-235b-a22b-instruct-2507,1470,±6,10826,Alibaba,Apache 2.0
26,13◄─►49,gpt-5-high,1469,±8,6455,OpenAI,Proprietary
27,13◄─►49,Anthropicclaude-sonnet-4-20250514-thinking-32k,1469,±8,6484,Anthropic,Proprietary
28,12◄─►55,deepseek-v3.2-exp,1468,±12,2524,DeepSeek AI,MIT
29,12◄─►59,deepseek-v3.2-thinking,1466,±15,1698,DeepSeek AI,MIT
30,9◄─►66,ernie-5.0-preview-1203,1466Preliminary,±24,601,Baidu,Proprietary
31,12◄─►61,ernie-5.0-preview-1103,1466,±16,1370,Baidu,Proprietary
32,13◄─►59,qwen3-vl-235b-a22b-instruct,1465,±13,1986,Alibaba,Apache 2.0
33,13◄─►59,MoonshotAIkimi-k2-0905-preview,1465,±13,2232,Moonshot,Modified MIT
34,17◄─►52,chatgpt-4o-latest-20250326,1464,±6,12670,OpenAI,Proprietary
35,15◄─►59,deepseek-r1-0528,1462,±11,2778,DeepSeek,MIT
36,17◄─►58,glm-4.6,1462,±8,5877,Z.ai,MIT
37,17◄─►58,Anthropicclaude-opus-4-20250514,1461,±7,7984,Anthropic,Proprietary
38,18◄─►59,gpt-5-chat,1459,±8,6008,OpenAI,Proprietary
39,19◄─►61,MoonshotAIkimi-k2-0711-preview,1457,±8,5299,Moonshot,Modified MIT
40,12◄─►77,deepseek-v3.1-terminus-thinking,1457,±24,638,DeepSeek AI,MIT
41,17◄─►64,gpt-4.5-preview-2025-02-27,1457,±13,1944,OpenAI,Proprietary
42,17◄─►64,deepseek-v3.2,1457,±13,2237,DeepSeek AI,MIT
43,21◄─►60,o3-2025-04-16,1456,±6,11914,OpenAI,Proprietary
44,17◄─►66,deepseek-v3.1-thinking,1456,±13,1896,DeepSeek,MIT
45,19◄─►65,grok-4-1-fast-reasoning,1455,±12,2744,xAI,Proprietary
46,20◄─►64,qwen3-coder-480b-a35b-instruct,1454,±9,4560,Alibaba,Apache 2.0
47,21◄─►64,glm-4.5,1454,±9,4773,Z.ai,MIT
48,16◄─►71,grok-4-fast-chat,1454,±16,1259,xAI,Proprietary
49,25◄─►63,gpt-4.1-2025-04-14,1454,±7,9394,OpenAI,Proprietary
50,25◄─►64,mistral-medium-2508,1453,±7,10003,Mistral,Proprietary
51,18◄─►71,qwen3-vl-235b-a22b-thinking,1452,±14,1622,Alibaba,Apache 2.0
52,28◄─►67,Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1449,±8,6245,Anthropic,Proprietary
53,27◄─►75,deepseek-v3.1,1447,±12,2643,DeepSeek,MIT
54,30◄─►71,Anthropicclaude-sonnet-4-20250514,1446,±7,7498,Anthropic,Proprietary
55,29◄─►73,qwen3-next-80b-a3b-instruct,1446,±9,4816,Alibaba,Apache 2.0
56,37◄─►75,qwen3-235b-a22b-no-thinking,1443,±8,7044,Alibaba,Apache 2.0
57,29◄─►80,deepseek-r1,1443,±12,2336,DeepSeek,MIT
58,38◄─►78,grok-3-preview-02-24,1442,±8,5498,xAI,Proprietary
59,29◄─►84,qwen3-235b-a22b-thinking-2507,1441,±15,1629,Alibaba,Apache 2.0
60,41◄─►81,qwen3-30b-a3b-instruct-2507,1438,±9,4676,Alibaba,Apache 2.0
61,40◄─►81,grok-4-fast-reasoning,1438,±10,3957,xAI,Proprietary
62,28◄─►95,deepseek-v3.1-terminus,1437,±21,773,DeepSeek AI,MIT
63,25◄─►99,Tencenthunyuan-vision-1.5-thinking,1433,±27,433,Tencent,Proprietary
64,50◄─►84,grok-4-0709,1432,±7,8279,xAI,Proprietary
65,50◄─►85,gpt-4.1-mini-2025-04-14,1432,±8,7027,OpenAI,Proprietary
66,49◄─►87,qwen3-235b-a22b,1432,±9,4392,Alibaba,Apache 2.0
67,46◄─►90,o3-mini-high,1432,±11,2602,OpenAI,Proprietary
68,54◄─►84,Anthropicclaude-3-5-sonnet-20241022,1431,±5,15092,Anthropic,Proprietary
69,50◄─►89,o1-2024-12-17,1430,±9,3989,OpenAI,Proprietary
70,53◄─►88,mistral-medium-2505,1429,±8,5929,Mistral,Proprietary
71,54◄─►87,o4-mini-2025-04-16,1429,±7,8837,OpenAI,Proprietary
72,53◄─►90,gpt-5-mini-high,1429,±9,5557,OpenAI,Proprietary
73,50◄─►93,mai-1-preview,1429,±11,2782,Microsoft AI,Proprietary
74,56◄─►91,Anthropicclaude-3-7-sonnet-20250219,1427,±7,7246,Anthropic,Proprietary
75,57◄─►93,glm-4.5-air,1426,±8,6168,Z.ai,MIT
76,58◄─►93,deepseek-v3-0324,1425,±7,8452,DeepSeek,MIT
77,58◄─►95,gemini-2.5-flash-preview-09-2025,1424,±8,6873,Google,Proprietary
78,40◄─►103,mimo-v2-flash (non-thinking),1423,±26,516,Xiaomi,MIT
79,56◄─►96,qwen3-next-80b-a3b-thinking,1423,±11,2692,Alibaba,Apache 2.0
80,61◄─►95,gemini-2.5-flash,1422,±6,14779,Google,Proprietary
81,47◄─►103,amazon-nova-experimental-chat-11-10,1421Preliminary,±22,690,Amazon,Proprietary
82,65◄─►97,Minimaxminimax-m1,1416,±8,6629,MiniMax,Apache 2.0
83,65◄─►99,o1-preview,1414,±9,5137,OpenAI,Proprietary
84,72◄─►98,o3-mini,1413,±6,9569,OpenAI,Proprietary
85,61◄─►103,ling-flash-2.0,1412,±15,1548,Ant Group,MIT
86,67◄─►101,mistral-small-2506,1412,±10,3375,Mistral,Apache 2.0
87,71◄─►109,amazon-nova-experimental-chat-10-20,1407,±12,2327,Amazon,Proprietary
88,64◄─►123,intellect-3,1406,±19,984,Prime Intellect,MIT
89,59◄─►125,qwen3-32b,1405,±25,513,Alibaba,Apache 2.0
90,69◄─►123,Stepfunstep-3,1404,±17,1235,StepFun,Apache 2.0
91,68◄─►124,glm-4.5v,1403,±19,988,Z.ai,MIT
92,80◄─►116,qwen2.5-max,1400,±8,5200,Alibaba,Proprietary
93,78◄─►124,nova-2-lite,1399,±13,2031,Amazon,Proprietary
94,61◄─►139,Tencenthunyuan-turbos-20250226,1397,±31,277,Tencent,Proprietary
95,75◄─►128,Tencenthunyuan-t1-20250711,1397,±20,810,Tencent,Proprietary
96,75◄─►132,Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1395,±22,676,Nvidia,Nvidia Open
97,83◄─►122,Anthropicclaude-3-5-sonnet-20240620,1395,±7,13637,Anthropic,Proprietary
98,84◄─►124,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1393,±8,6863,Google,Proprietary
99,81◄─►128,Tencenthunyuan-turbos-20250416,1392,±14,1812,Tencent,Proprietary
100,83◄─►132,ring-flash-2.0,1390,±15,1545,Ant Group,MIT
101,72◄─►145,Nvidiallama-3.1-nemotron-ultra-253b-v1,1389,±30,367,Nvidia,Nvidia Open Model
102,87◄─►125,gpt-oss-120b,1389,±8,6531,OpenAI,Apache 2.0
103,88◄─►125,Coherecommand-a-03-2025,1387,±6,10347,Cohere,CC-BY-NC-4.0
104,87◄─►128,grok-3-mini-high,1387,±10,3361,xAI,Proprietary
105,79◄─►142,amazon-nova-experimental-chat-10-09,1387,±24,561,Amazon,Proprietary
106,88◄─►128,o1-mini,1386,±7,8495,OpenAI,Proprietary
107,87◄─►129,deepseek-v3,1386,±10,3299,DeepSeek,DeepSeek
108,87◄─►132,magistral-medium-2506,1385,±12,2291,Mistral,Proprietary
109,88◄─►130,grok-3-mini-beta,1384,±9,4317,xAI,Proprietary
110,88◄─►131,qwen3-30b-a3b,1384,±9,4601,Alibaba,Apache 2.0
