Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►8,Anthropicclaude-opus-4-5-20251101,1527,±24,685,Anthropic,Proprietary
2,1◄─►13,Anthropicclaude-opus-4-5-20251101-thinking-32k,1512,±24,654,Anthropic,Proprietary
3,1◄─►13,gemini-3-pro,1504,±19,1140,Google,Proprietary
4,1◄─►13,Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1501,±16,1513,Anthropic,Proprietary
5,1◄─►28,gpt-5.2-high,1490Preliminary,±32,365,OpenAI,Proprietary
6,1◄─►18,Anthropicclaude-sonnet-4-5-20250929,1489,±17,1294,Anthropic,Proprietary
7,1◄─►40,gemini-3-flash,1487Preliminary,±36,271,Google,Proprietary
8,1◄─►24,gpt-5.1-high,1484,±21,828,OpenAI,Proprietary
9,2◄─►24,grok-4.1-thinking,1484,±19,1057,xAI,Proprietary
10,2◄─►20,Anthropicclaude-opus-4-1-20250805-thinking-16k,1483,±13,2154,Anthropic,Proprietary
11,5◄─►40,qwen3-max-preview,1468,±17,1252,Alibaba,Proprietary
12,2◄─►50,gemini-3-flash (thinking-minimal),1467Preliminary,±32,349,Google,Proprietary
13,5◄─►45,gpt-5.1,1465,±19,1023,OpenAI,Proprietary
14,5◄─►36,gemini-2.5-pro,1465,±10,4100,Google,Proprietary
15,2◄─►54,qwen3-235b-a22b-thinking-2507,1460,±28,425,Alibaba,Apache 2.0
16,6◄─►42,Anthropicclaude-opus-4-1-20250805,1458,±12,2796,Anthropic,Proprietary
17,5◄─►47,gpt-5-high,1458,±16,1646,OpenAI,Proprietary
18,2◄─►59,ernie-5.0-preview-1203,1457Preliminary,±38,228,Baidu,Proprietary
19,5◄─►48,grok-4.1,1456,±18,1177,xAI,Proprietary
20,6◄─►54,MoonshotAIkimi-k2-thinking-turbo,1452,±20,1000,Moonshot,Modified MIT
21,9◄─►49,qwen3-235b-a22b-instruct-2507,1449,±12,2637,Alibaba,Apache 2.0
22,10◄─►54,o3-2025-04-16,1444,±12,3012,OpenAI,Proprietary
23,9◄─►55,gpt-5-chat,1443,±16,1476,OpenAI,Proprietary
24,7◄─►60,grok-4-1-fast-reasoning,1443,±24,627,xAI,Proprietary
25,10◄─►55,gemini-2.5-flash-preview-09-2025,1442,±15,1597,Google,Proprietary
26,10◄─►55,glm-4.6,1442,±17,1376,Z.ai,MIT
27,10◄─►55,Anthropicclaude-opus-4-20250514-thinking-16k,1442,±14,1751,Anthropic,Proprietary
28,10◄─►56,glm-4.5,1440,±18,1126,Z.ai,MIT
29,7◄─►71,deepseek-v3.2-exp-thinking,1438,±30,381,DeepSeek AI,MIT
30,11◄─►57,Anthropicclaude-haiku-4-5-20251001,1437,±16,1540,Anthropic,Proprietary
31,7◄─►73,qwen3-vl-235b-a22b-thinking,1436,±31,370,Alibaba,Apache 2.0
32,9◄─►69,qwen3-vl-235b-a22b-instruct,1436,±26,494,Alibaba,Apache 2.0
33,9◄─►73,deepseek-v3.2-thinking,1433,±28,477,DeepSeek AI,MIT
34,14◄─►60,Anthropicclaude-sonnet-4-20250514-thinking-32k,1432,±14,1718,Anthropic,Proprietary
35,15◄─►60,grok-4-0709,1431,±14,2060,xAI,Proprietary
36,10◄─►72,deepseek-v3.1-thinking,1430,±25,541,DeepSeek,MIT
37,11◄─►71,deepseek-v3.1,1430,±22,729,DeepSeek,MIT
38,16◄─►63,Anthropicclaude-opus-4-20250514,1430,±13,2282,Anthropic,Proprietary
39,11◄─►74,deepseek-v3.2,1429,±25,569,DeepSeek AI,MIT
40,17◄─►61,gemini-2.5-flash,1428,±10,4223,Google,Proprietary
41,13◄─►74,gpt-4.5-preview-2025-02-27,1426,±23,611,OpenAI,Proprietary
42,13◄─►76,deepseek-v3.2-exp,1426,±24,607,DeepSeek AI,MIT
43,11◄─►76,qwen3-max-2025-09-23,1426,±27,444,Alibaba,Proprietary
44,10◄─►78,ernie-5.0-preview-1103,1426,±29,396,Baidu,Proprietary
45,10◄─►87,grok-4-fast-chat,1424,±34,316,xAI,Proprietary
46,7◄─►93,amazon-nova-experimental-chat-11-10,1423Preliminary,±45,172,Amazon,Proprietary
47,19◄─►68,chatgpt-4o-latest-20250326,1422,±11,3323,OpenAI,Proprietary
48,15◄─►81,MoonshotAIkimi-k2-0905-preview,1419,±25,543,Moonshot,Modified MIT
49,14◄─►82,longcat-flash-chat,1419,±26,516,Meituan,MIT
50,19◄─►81,grok-4-fast-reasoning,1414,±20,862,xAI,Proprietary
51,22◄─►82,deepseek-r1-0528,1412,±19,921,DeepSeek,MIT
52,19◄─►92,mistral-large-3,1409,±26,557,Mistral,Apache 2.0
53,26◄─►85,MoonshotAIkimi-k2-0711-preview,1407,±16,1525,Moonshot,Modified MIT
54,29◄─►82,o4-mini-2025-04-16,1406,±13,2304,OpenAI,Proprietary
55,28◄─►84,Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1406,±14,1911,Anthropic,Proprietary
56,32◄─►84,mistral-medium-2508,1405,±13,2404,Mistral,Proprietary
57,14◄─►102,glm-4.5v,1404,±42,194,Z.ai,MIT
58,27◄─►91,gpt-5-mini-high,1404,±19,1137,OpenAI,Proprietary
59,34◄─►89,grok-3-preview-02-24,1402,±15,1585,xAI,Proprietary
60,28◄─►93,mai-1-preview,1400,±21,778,Microsoft AI,Proprietary
61,34◄─►89,gpt-4.1-2025-04-14,1400,±12,2593,OpenAI,Proprietary
62,33◄─►93,grok-3-mini-high,1399,±18,958,xAI,Proprietary
63,33◄─►93,qwen3-next-80b-a3b-instruct,1399,±19,1008,Alibaba,Apache 2.0
64,18◄─►102,Tencenthunyuan-t1-20250711,1398,±39,205,Tencent,Proprietary
65,35◄─►92,Anthropicclaude-sonnet-4-20250514,1397,±13,2139,Anthropic,Proprietary
66,34◄─►92,o1-2024-12-17,1397,±16,1344,OpenAI,Proprietary
67,34◄─►95,deepseek-r1,1395,±19,863,DeepSeek,MIT
68,36◄─►92,qwen3-235b-a22b-no-thinking,1395,±14,1936,Alibaba,Apache 2.0
69,19◄─►105,qwen3-32b,1395,±38,236,Alibaba,Apache 2.0
70,34◄─►98,o3-mini-high,1394,±20,860,OpenAI,Proprietary
71,43◄─►93,deepseek-v3-0324,1390,±12,2350,DeepSeek,MIT
72,41◄─►100,glm-4.5-air,1388,±16,1408,Z.ai,MIT
73,43◄─►101,qwen3-30b-a3b-instruct-2507,1385,±17,1165,Alibaba,Apache 2.0
74,36◄─►102,qwen3-next-80b-a3b-thinking,1385,±24,613,Alibaba,Apache 2.0
75,45◄─►101,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1383,±15,1600,Google,Proprietary
76,46◄─►100,Anthropicclaude-3-7-sonnet-20250219,1382,±13,2185,Anthropic,Proprietary
77,45◄─►101,qwen3-235b-a22b,1381,±16,1352,Alibaba,Apache 2.0
78,48◄─►101,gpt-4.1-mini-2025-04-14,1380,±13,2057,OpenAI,Proprietary
79,46◄─►102,qwen3-coder-480b-a35b-instruct,1379,±16,1314,Alibaba,Apache 2.0
80,54◄─►101,mistral-medium-2505,1377,±14,1825,Mistral,Proprietary
81,55◄─►102,o1-preview,1376,±14,1983,OpenAI,Proprietary
82,51◄─►104,grok-3-mini-beta,1375,±17,1215,xAI,Proprietary
83,38◄─►121,intellect-3,1371,±37,284,Prime Intellect,MIT
84,58◄─►105,Minimaxminimax-m1,1370,±15,1679,MiniMax,Apache 2.0
85,46◄─►118,qwen-plus-0125,1366,±30,359,Alibaba,Proprietary
86,39◄─►124,Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1366,±39,196,Nvidia,Nvidia Open
87,62◄─►107,gemini-2.5-flash-lite-preview-06-17-thinking,1366,±15,1649,Google,Proprietary
88,69◄─►105,Anthropicclaude-3-5-sonnet-20241022,1364,±9,5101,Anthropic,Proprietary
89,67◄─►107,qwen2.5-max,1364,±13,1715,Alibaba,Proprietary
90,69◄─►107,o3-mini,1362,±11,2944,OpenAI,Proprietary
91,57◄─►118,amazon-nova-experimental-chat-10-20,1362,±23,647,Amazon,Proprietary
92,57◄─►121,nova-2-lite,1360,±26,531,Amazon,Proprietary
93,55◄─►122,ling-flash-2.0,1359,±30,350,Ant Group,MIT
94,54◄─►124,ring-flash-2.0,1359,±32,343,Ant Group,MIT
95,68◄─►112,gpt-oss-120b,1359,±17,1315,OpenAI,Apache 2.0
96,68◄─►114,qwq-32b,1358,±17,1216,Alibaba,Apache 2.0
97,53◄─►125,gpt-5-nano-high,1357,±34,314,OpenAI,Proprietary
98,51◄─►127,Stepfunstep-3,1357,±35,258,StepFun,Apache 2.0
99,67◄─►122,Tencenthunyuan-turbos-20250416,1352,±24,615,Tencent,Proprietary
100,76◄─►118,gemini-2.0-flash-001,1351,±13,2233,Google,Proprietary
101,82◄─►120,o1-mini,1347,±11,3198,OpenAI,Proprietary
102,81◄─►124,qwen3-30b-a3b,1343,±16,1360,Alibaba,Apache 2.0
103,81◄─►124,deepseek-v3,1342,±16,1249,DeepSeek,DeepSeek
104,68◄─►151,Nvidianvidia-nemotron-3-nano-30b-a3b-bf16,1338Preliminary,±36,270,Nvidia,NVIDIA Open Model
105,88◄─►124,Anthropicclaude-3-5-sonnet-20240620,1336,±11,4318,Anthropic,Proprietary
106,88◄─►125,Coherecommand-a-03-2025,1336,±11,2822,Cohere,CC-BY-NC-4.0
107,71◄─►153,Minimaxminimax-m2,1332,±36,259,MiniMax,Apache 2.0
108,89◄─►127,gemini-1.5-pro-002,1332,±10,3326,Google,Proprietary
109,88◄─►131,gemma-3-27b-it,1332,±13,2325,Google,Gemma
110,88◄─►142,mistral-small-2506,1329,±19,876,Mistral,Apache 2.0
111,90◄─►140,01.AIyi-lightning,1326,±14,1532,01 AI,Proprietary
112,89◄─►142,gemini-2.0-flash-lite-preview-02-05,1326,±16,1247,Google,Proprietary
113,93◄─►142,Metallama-4-maverick-17b-128e-instruct,1323,±13,2077,Meta,Llama 4
114,85◄─►156,Stepfunstep-2-16k-exp-202412,1321,±31,311,StepFun,Proprietary
115,85◄─►160,Tencenthunyuan-large-2025-02-10,1318,±36,228,Tencent,Proprietary
116,90◄─►152,qwen2.5-plus-1127,1318,±21,664,Alibaba,Proprietary
117,98◄─►145,Metallama-3.1-405b-instruct-fp8,1317,±11,3125,Meta,Llama 3.1 Community
118,88◄─►158,gpt-oss-20b,1317,±28,489,OpenAI,Apache 2.0
119,105◄─►151,gemini-1.5-pro-001,1311,±11,3913,Google,Proprietary
120,107◄─►149,Anthropicclaude-3-opus-20240229,1311,±9,10402,Anthropic,Proprietary
121,90◄─►163,gpt-4.1-nano-2025-04-14,1310,±31,328,OpenAI,Proprietary
122,107◄─►152,grok-2-2024-08-13,1309,±10,3544,xAI,Proprietary
123,108◄─►152,Anthropicclaude-3-5-haiku-20241022,1307,±10,3576,Anthropic,Proprietary
124,105◄─►155,mistral-small-3.1-24b-instruct-2503,1307,±15,1688,Mistral,Apache 2.0
125,107◄─►155,athene-v2-chat,1307,±14,1474,NexusFlow,NexusFlow
126,94◄─►165,glm-4-plus-0111,1306,±29,356,Zhipu,Proprietary
127,108◄─►153,gpt-4o-2024-05-13,1306,±9,5892,OpenAI,Proprietary
128,108◄─►155,gpt-4o-2024-08-06,1305,±12,2352,OpenAI,Proprietary
129,108◄─►155,Metallama-3.1-405b-instruct-bf16,1305,±12,2139,Meta,Llama 3.1 Community
130,107◄─►158,Metallama-4-scout-17b-16e-instruct,1305,±16,1549,Meta,Llama
131,90◄─►175,ibm-granite-h-small,1303,±37,280,IBM,Apache 2.0
132,93◄─►172,Tencenthunyuan-large-vision,1303,±33,296,Tencent,Proprietary
