Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►4,Anthropicclaude-opus-4-5-20251101-thinking-32k,1479,±11,3443,Anthropic,Proprietary
2,1◄─►5,Anthropicclaude-opus-4-5-20251101,1477,±11,3736,Anthropic,Proprietary
3,1◄─►5,gemini-3-pro,1474,±9,5555,Google,Proprietary
4,2◄─►10,Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1460,±7,8625,Anthropic,Proprietary
5,4◄─►11,Anthropicclaude-opus-4-1-20250805-thinking-16k,1456,±6,12441,Anthropic,Proprietary
6,1◄─►16,gemini-3-flash,1456Preliminary,±16,1399,Google,Proprietary
7,4◄─►15,Anthropicclaude-sonnet-4-5-20250929,1453,±8,7234,Anthropic,Proprietary
8,5◄─►16,Anthropicclaude-opus-4-1-20250805,1447,±6,15857,Anthropic,Proprietary
9,4◄─►18,gpt-5.1-high,1445,±10,4708,OpenAI,Proprietary
10,6◄─►17,gemini-2.5-pro,1444,±5,20773,Google,Proprietary
11,4◄─►21,gemini-3-flash (thinking-minimal),1443Preliminary,±15,1491,Google,Proprietary
12,6◄─►21,grok-4.1-thinking,1440,±9,5542,xAI,Proprietary
13,6◄─►20,Anthropicclaude-opus-4-20250514-thinking-16k,1439,±7,9187,Anthropic,Proprietary
14,4◄─►37,gpt-5.2,1436Preliminary,±22,720,OpenAI,Proprietary
15,6◄─►33,gpt-5.2-high,1434Preliminary,±14,1722,OpenAI,Proprietary
16,9◄─►27,gpt-4.5-preview-2025-02-27,1432,±8,5543,OpenAI,Proprietary
17,10◄─►31,grok-4.1,1430,±9,5672,xAI,Proprietary
18,11◄─►36,gpt-5.1,1426,±9,5215,OpenAI,Proprietary
19,7◄─►50,ernie-5.0-preview-1203,1425Preliminary,±20,839,Baidu,Proprietary
20,11◄─►35,qwen3-max-preview,1425,±7,7262,Alibaba,Proprietary
21,14◄─►37,chatgpt-4o-latest-20250326,1420,±5,18769,OpenAI,Proprietary
22,14◄─►46,MoonshotAIkimi-k2-thinking-turbo,1416,±9,5306,Moonshot,Modified MIT
23,14◄─►51,deepseek-v3.1-thinking,1415,±11,2851,DeepSeek,MIT
24,15◄─►46,glm-4.6,1415,±7,7877,Z.ai,MIT
25,16◄─►45,qwen3-235b-a22b-instruct-2507,1415,±6,14483,Alibaba,Apache 2.0
26,14◄─►52,deepseek-v3.2-thinking,1414,±12,2475,DeepSeek AI,MIT
27,14◄─►52,deepseek-v3.2-exp-thinking,1414,±12,2541,DeepSeek AI,MIT
28,14◄─►54,qwen3-max-2025-09-23,1412,±11,2600,Alibaba,Proprietary
29,17◄─►50,gpt-5-chat,1412,±7,8158,OpenAI,Proprietary
30,15◄─►54,deepseek-v3.2-exp,1412,±10,3301,DeepSeek AI,MIT
31,15◄─►55,deepseek-v3.2,1411,±11,3006,DeepSeek AI,MIT
32,12◄─►63,deepseek-v3.1-terminus-thinking,1411,±20,859,DeepSeek AI,MIT
33,17◄─►51,gpt-5-high,1411,±7,8424,OpenAI,Proprietary
34,15◄─►56,qwen3-vl-235b-a22b-instruct,1410,±12,2565,Alibaba,Apache 2.0
35,18◄─►52,Anthropicclaude-sonnet-4-20250514-thinking-32k,1410,±7,8715,Anthropic,Proprietary
36,19◄─►52,Anthropicclaude-opus-4-20250514,1409,±6,10887,Anthropic,Proprietary
37,16◄─►59,mistral-large-3,1408,±11,2793,Mistral,Apache 2.0
38,21◄─►56,Anthropicclaude-haiku-4-5-20251001,1406,±7,8325,Anthropic,Proprietary
39,21◄─►59,glm-4.5,1404,±8,6161,Z.ai,MIT
40,21◄─►59,Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1403,±6,10331,Anthropic,Proprietary
41,21◄─►59,grok-3-preview-02-24,1403,±6,9913,xAI,Proprietary
42,24◄─►59,gemini-2.5-flash,1402,±5,20181,Google,Proprietary
43,21◄─►63,deepseek-v3.1,1401,±10,3701,DeepSeek,MIT
44,24◄─►59,o1-2024-12-17,1401,±6,10339,OpenAI,Proprietary
45,24◄─►60,gemini-2.5-flash-preview-09-2025,1400,±7,9260,Google,Proprietary
46,21◄─►66,grok-4-fast-chat,1400,±14,1725,xAI,Proprietary
47,26◄─►60,o3-2025-04-16,1399,±6,15717,OpenAI,Proprietary
48,28◄─►63,mistral-medium-2508,1398,±6,13125,Mistral,Proprietary
49,24◄─►66,grok-4-1-fast-reasoning,1397,±10,3644,xAI,Proprietary
50,32◄─►64,gpt-4.1-2025-04-14,1396,±6,13440,OpenAI,Proprietary
51,34◄─►65,grok-4-0709,1394,±6,11021,xAI,Proprietary
52,37◄─►66,deepseek-r1,1391,±7,6498,DeepSeek,MIT
53,22◄─►76,deepseek-v3.1-terminus,1391,±18,1016,DeepSeek AI,MIT
54,32◄─►73,ernie-5.0-preview-1103,1389,±13,1977,Baidu,Proprietary
55,21◄─►84,mimo-v2-flash (non-thinking),1389,±22,725,Xiaomi,MIT
56,37◄─►72,deepseek-r1-0528,1388,±9,4155,DeepSeek,MIT
57,37◄─►73,longcat-flash-chat,1388,±11,2945,Meituan,MIT
58,43◄─►70,Anthropicclaude-sonnet-4-20250514,1387,±7,10196,Anthropic,Proprietary
59,35◄─►74,qwen3-235b-a22b-thinking-2507,1387,±12,2132,Alibaba,Apache 2.0
60,21◄─►86,Tencenthunyuan-vision-1.5-thinking,1386,±23,598,Tencent,Proprietary
61,45◄─►73,grok-4-fast-reasoning,1384,±8,5304,xAI,Proprietary
62,45◄─►78,MoonshotAIkimi-k2-0905-preview,1381,±11,2853,Moonshot,Modified MIT
63,49◄─►77,qwen3-coder-480b-a35b-instruct,1380,±8,6015,Alibaba,Apache 2.0
64,50◄─►77,qwen3-next-80b-a3b-instruct,1379,±8,6267,Alibaba,Apache 2.0
65,48◄─►86,qwen3-vl-235b-a22b-thinking,1378,±12,2089,Alibaba,Apache 2.0
66,53◄─►78,qwen3-235b-a22b-no-thinking,1377,±7,9387,Alibaba,Apache 2.0
67,53◄─►77,Anthropicclaude-3-7-sonnet-20250219,1377,±6,12583,Anthropic,Proprietary
68,45◄─►91,Tencenthunyuan-t1-20250711,1375,±17,1098,Tencent,Proprietary
69,53◄─►79,o1-preview,1375,±7,12879,OpenAI,Proprietary
70,53◄─►86,gpt-5-mini-high,1373,±8,6894,OpenAI,Proprietary
71,54◄─►81,deepseek-v3-0324,1373,±6,12542,DeepSeek,MIT
72,54◄─►86,MoonshotAIkimi-k2-0711-preview,1372,±8,6902,Moonshot,Modified MIT
73,55◄─►90,mai-1-preview,1369,±9,4153,Microsoft AI,Proprietary
74,59◄─►89,gemini-2.5-flash-lite-preview-06-17-thinking,1367,±7,8239,Google,Proprietary
75,59◄─►89,gpt-4.1-mini-2025-04-14,1367,±6,10221,OpenAI,Proprietary
76,65◄─►88,Anthropicclaude-3-5-sonnet-20241022,1366,±4,31626,Anthropic,Proprietary
77,63◄─►90,o4-mini-2025-04-16,1365,±6,12099,OpenAI,Proprietary
78,60◄─►91,qwen3-30b-a3b-instruct-2507,1364,±8,5941,Alibaba,Apache 2.0
79,66◄─►93,o3-mini-high,1361,±8,6736,OpenAI,Proprietary
80,66◄─►93,mistral-medium-2505,1360,±7,8191,Mistral,Proprietary
81,67◄─►93,glm-4.5-air,1360,±7,8096,Z.ai,MIT
82,68◄─►93,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1360,±7,9314,Google,Proprietary
83,67◄─►96,grok-3-mini-high,1358,±9,4314,xAI,Proprietary
84,68◄─►97,qwen3-next-80b-a3b-thinking,1356,±10,3476,Alibaba,Apache 2.0
85,58◄─►110,amazon-nova-experimental-chat-11-10,1355Preliminary,±19,894,Amazon,Proprietary
86,72◄─►96,qwen3-235b-a22b,1355,±8,6318,Alibaba,Apache 2.0
87,77◄─►96,qwen2.5-max,1353,±6,11189,Alibaba,Proprietary
88,75◄─►102,grok-3-mini-beta,1352,±8,5703,xAI,Proprietary
89,73◄─►108,Tencenthunyuan-turbos-20250416,1349,±12,2536,Tencent,Proprietary
90,67◄─►123,Nvidiallama-3.1-nemotron-ultra-253b-v1,1346,±21,673,Nvidia,Nvidia Open Model
91,83◄─►108,Minimaxminimax-m1,1345,±7,8941,MiniMax,Apache 2.0
92,83◄─►106,gemini-2.0-flash-001,1344,±5,13909,Google,Proprietary
93,79◄─►114,amazon-nova-experimental-chat-10-20,1344,±11,3105,Amazon,Proprietary
94,72◄─►121,Tencenthunyuan-turbos-20250226,1344,±18,901,Tencent,Proprietary
95,79◄─►121,Stepfunstep-3,1341,±14,1628,StepFun,Apache 2.0
96,87◄─►112,gemma-3-27b-it,1340,±6,12877,Google,Gemma
97,87◄─►112,o3-mini,1340,±5,17251,OpenAI,Proprietary
98,87◄─►115,deepseek-v3,1339,±7,8688,DeepSeek,DeepSeek
99,88◄─►115,Coherecommand-a-03-2025,1337,±5,15714,Cohere,CC-BY-NC-4.0
100,83◄─►127,glm-4.5v,1336,±16,1286,Z.ai,MIT
101,89◄─►115,gemini-1.5-pro-002,1334,±5,22961,Google,Proprietary
102,88◄─►121,mistral-small-2506,1334,±9,4461,Mistral,Apache 2.0
103,87◄─►127,Minimaxminimax-m2,1332,±13,2004,MiniMax,Apache 2.0
104,86◄─►131,intellect-3,1331,±16,1420,Prime Intellect,MIT
105,92◄─►121,Anthropicclaude-3-5-sonnet-20240620,1330,±5,32234,Anthropic,Proprietary
106,88◄─►130,qwen-plus-0125,1328,±12,2268,Alibaba,Proprietary
107,95◄─►124,o1-mini,1328,±5,21599,OpenAI,Proprietary
108,94◄─►124,gemini-2.0-flash-lite-preview-02-05,1327,±6,9374,Google,Proprietary
109,89◄─►131,nova-2-lite,1327,±12,2661,Amazon,Proprietary
110,87◄─►141,qwen3-32b,1327,±19,866,Alibaba,Apache 2.0
111,92◄─►141,gpt-5-nano-high,1322,±13,2007,OpenAI,Proprietary
112,98◄─►131,gpt-oss-120b,1322,±7,7820,OpenAI,Apache 2.0
113,98◄─►131,qwq-32b,1321,±7,7310,Alibaba,Apache 2.0
114,88◄─►146,Nvidiallama-3.3-nemotron-49b-super-v1,1321,±19,814,Nvidia,Nvidia
115,102◄─►131,gpt-4o-2024-05-13,1320,±5,43998,OpenAI,Proprietary
116,91◄─►151,Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1318,±20,827,Nvidia,Nvidia Open
117,94◄─►146,gemma-3-12b-it,1317,±16,1156,Google,Gemma
118,91◄─►153,amazon-nova-experimental-chat-10-09,1316,±21,717,Amazon,Proprietary
119,98◄─►146,ling-flash-2.0,1315,±14,1826,Ant Group,MIT
120,98◄─►148,ring-flash-2.0,1313,±14,1871,Ant Group,MIT
121,107◄─►141,gpt-4o-2024-08-06,1313,±6,18431,OpenAI,Proprietary
122,102◄─►148,glm-4-plus-0111,1312,±12,2174,Zhipu,Proprietary
123,103◄─►150,Stepfunstep-2-16k-exp-202412,1311,±12,1978,StepFun,Proprietary
124,98◄─►151,Tencenthunyuan-large-2025-02-10,1311,±16,1308,Tencent,Proprietary
125,105◄─►150,deepseek-v2.5-1210,1310,±11,2990,DeepSeek,DeepSeek
126,107◄─►143,Metallama-4-maverick-17b-128e-instruct,1310,±6,10691,Meta,Llama 4
127,107◄─►143,gemini-advanced-0514,1310,±7,18667,Google,Proprietary
128,98◄─►159,Tencenthunyuan-turbo-0110,1309,±18,851,Tencent,Proprietary
129,113◄─►143,Metallama-3.1-405b-instruct-fp8,1308,±5,23756,Meta,Llama 3.1 Community
130,113◄─►143,Metallama-3.1-405b-instruct-bf16,1308,±5,16364,Meta,Llama 3.1 Community
131,108◄─►148,qwen3-30b-a3b,1308,±8,6303,Alibaba,Apache 2.0
132,105◄─►152,Stepfunstep-1o-turbo-202506,1307,±12,2226,StepFun,Proprietary
133,113◄─►146,grok-2-2024-08-13,1307,±5,25735,xAI,Proprietary
134,113◄─►145,Anthropicclaude-3-5-haiku-20241022,1307,±5,22236,Anthropic,Proprietary
135,113◄─►145,Anthropicclaude-3-opus-20240229,1307,±4,72416,Anthropic,Proprietary
136,113◄─►151,01.AIyi-lightning,1305,±7,11002,01 AI,Proprietary
137,105◄─►161,Nvidianvidia-nemotron-3-nano-30b-a3b-bf16,1304Preliminary,±16,1406,Nvidia,NVIDIA Open Model
138,113◄─►150,gemini-1.5-pro-001,1304,±6,30020,Google,Proprietary
139,113◄─►159,magistral-medium-2506,1300,±11,3166,Mistral,Proprietary
140,116◄─►158,athene-v2-chat,1298,±6,10300,NexusFlow,NexusFlow
141,116◄─►160,qwen-max-0919,1297,±8,6955,Alibaba,Qwen
142,122◄─►158,gpt-4-turbo-2024-04-09,1297,±5,36513,OpenAI,Proprietary
143,113◄─►163,gpt-4.1-nano-2025-04-14,1296,±12,2029,OpenAI,Proprietary
144,120◄─►160,glm-4-plus,1296,±7,10820,Zhipu AI,Proprietary
145,120◄─►161,Metallama-4-scout-17b-16e-instruct,1295,±7,7598,Meta,Llama
146,113◄─►169,olmo-3-32b-think,1294,±16,1478,Allen AI,Apache 2.0
147,129◄─►161,mistral-large-2407,1294,±5,18453,Mistral,Mistral Research
148,129◄─►163,mistral-small-3.1-24b-instruct-2503,1292,±7,8142,Mistral,Apache 2.0
149,126◄─►165,qwen2.5-plus-1127,1292,±9,4263,Alibaba,Proprietary
150,135◄─►163,gpt-4-1106-preview,1290,±5,34619,OpenAI,Proprietary
151,136◄─►164,mistral-large-2411,1289,±6,11108,Mistral,MRL
152,137◄─►163,gpt-4o-mini-2024-07-18,1289,±5,26908,OpenAI,Proprietary
153,137◄─►166,qwen2.5-72b-instruct,1287,±5,16457,Alibaba,Qwen
154,137◄─►165,Metallama-3.3-70b-instruct,1287,±5,19056,Meta,Llama-3.3
155,137◄─►167,deepseek-v2.5,1287,±7,10261,DeepSeek,DeepSeek
156,139◄─►167,gemini-1.5-flash-002,1286,±6,14689,Google,Proprietary
157,126◄─►176,Tencenthunyuan-large-vision,1284,±16,1255,Tencent,Proprietary
158,141◄─►169,gpt-4-0125-preview,1284,±6,33512,OpenAI,Proprietary
159,146◄─►173,gemma-3n-e4b-it,1280,±8,5189,Google,Gemma
160,150◄─►170,grok-2-mini-2024-08-13,1279,±5,21194,xAI,Proprietary
161,137◄─►179,Tencenthunyuan-standard-2025-02-10,1277,±15,1337,Tencent,Proprietary
162,143◄─►178,gpt-oss-20b,1277,±12,2554,OpenAI,Apache 2.0
163,146◄─►178,Nvidiallama-3.1-nemotron-70b-instruct,1276,±11,2990,Nvidia,Llama 3.1
164,153◄─►176,gpt-4-0314,1275,±7,18226,OpenAI,Proprietary
165,132◄─►189,mercury,1273,±25,584,Inception AI,Proprietary
166,156◄─►179,athene-70b-0725,1271,±8,7547,NexusFlow,CC-BY-NC-4.0
167,158◄─►178,amazon-nova-pro-v1.0,1271,±6,9673,Amazon,Proprietary
168,159◄─►179,Metallama-3.1-70b-instruct,1268,±5,22090,Meta,Llama 3.1 Community
