Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►9,gpt-5.2-high,1503Preliminary,±29,404,OpenAI,Proprietary
2,1◄─►10,gemini-3-pro,1480,±17,1260,Google,Proprietary
3,1◄─►22,gemini-3-flash,1480Preliminary,±32,335,Google,Proprietary
4,1◄─►25,gemini-3-flash (thinking-minimal),1474Preliminary,±29,369,Google,Proprietary
5,1◄─►15,gpt-5.1-high,1474,±19,975,OpenAI,Proprietary
6,1◄─►25,Anthropicclaude-opus-4-5-20251101,1466,±21,746,Anthropic,Proprietary
7,1◄─►28,Anthropicclaude-opus-4-5-20251101-thinking-32k,1466,±22,709,Anthropic,Proprietary
8,1◄─►21,Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1464,±14,1731,Anthropic,Proprietary
9,1◄─►37,grok-4.1-thinking,1456,±18,1106,xAI,Proprietary
10,2◄─►25,o3-2025-04-16,1455,±10,3889,OpenAI,Proprietary
11,3◄─►28,gemini-2.5-pro,1453,±9,4906,Google,Proprietary
12,3◄─►38,Anthropicclaude-opus-4-1-20250805-thinking-16k,1448,±11,2749,Anthropic,Proprietary
13,3◄─►54,qwen3-max-preview,1442,±15,1518,Alibaba,Proprietary
14,4◄─►55,gpt-5-high,1438,±13,1958,OpenAI,Proprietary
15,5◄─►55,grok-4-0709,1437,±12,2295,xAI,Proprietary
16,3◄─►70,qwen3-max-2025-09-23,1436,±23,588,Alibaba,Proprietary
17,9◄─►55,Anthropicclaude-opus-4-1-20250805,1434,±10,3571,Anthropic,Proprietary
18,4◄─►66,MoonshotAIkimi-k2-thinking-turbo,1432,±18,1057,Moonshot,Modified MIT
19,6◄─►66,grok-4.1,1430,±16,1335,xAI,Proprietary
20,9◄─►66,Anthropicclaude-sonnet-4-5-20250929,1429,±15,1558,Anthropic,Proprietary
21,11◄─►61,qwen3-235b-a22b-instruct-2507,1429,±11,3206,Alibaba,Apache 2.0
22,4◄─►75,longcat-flash-chat,1428,±22,693,Meituan,MIT
23,11◄─►70,glm-4.6,1428,±15,1508,Z.ai,MIT
24,4◄─►78,deepseek-v3.2-exp-thinking,1428,±26,484,DeepSeek AI,MIT
25,11◄─►74,qwen3-next-80b-a3b-instruct,1426,±17,1221,Alibaba,Apache 2.0
26,4◄─►81,grok-4-fast-chat,1426,±29,408,xAI,Proprietary
27,6◄─►76,deepseek-v3.2,1425,±23,637,DeepSeek AI,MIT
28,4◄─►80,deepseek-v3.2-thinking,1425,±25,528,DeepSeek AI,MIT
29,9◄─►79,deepseek-v3.1-thinking,1422,±22,672,DeepSeek,MIT
30,13◄─►74,gemini-2.5-flash-preview-09-2025,1422,±14,1784,Google,Proprietary
31,6◄─►81,mistral-large-3,1422,±24,604,Mistral,Apache 2.0
32,13◄─►74,Anthropicclaude-opus-4-20250514-thinking-16k,1421,±12,2356,Anthropic,Proprietary
33,13◄─►76,glm-4.5,1420,±15,1462,Z.ai,MIT
34,13◄─►74,o4-mini-2025-04-16,1419,±11,3046,OpenAI,Proprietary
35,11◄─►82,deepseek-v3.2-exp,1419,±22,715,DeepSeek AI,MIT
36,13◄─►80,deepseek-v3.1,1418,±18,1015,DeepSeek,MIT
37,13◄─►79,gpt-5.1,1418,±17,1140,OpenAI,Proprietary
38,11◄─►83,MoonshotAIkimi-k2-0905-preview,1417,±21,750,Moonshot,Modified MIT
39,3◄─►97,deepseek-v3.1-terminus-thinking,1415,±40,204,DeepSeek AI,MIT
40,11◄─►87,ernie-5.0-preview-1103,1415,±27,452,Baidu,Proprietary
41,13◄─►78,gpt-5-chat,1415,±14,1832,OpenAI,Proprietary
42,11◄─►88,qwen3-vl-235b-a22b-thinking,1414,±29,423,Alibaba,Apache 2.0
43,13◄─►81,gpt-5-mini-high,1414,±15,1470,OpenAI,Proprietary
44,13◄─►81,gpt-4.5-preview-2025-02-27,1413,±15,1401,OpenAI,Proprietary
45,17◄─►76,gemini-2.5-flash,1413,±9,5110,Google,Proprietary
46,13◄─►87,qwen3-vl-235b-a22b-instruct,1413,±24,580,Alibaba,Apache 2.0
47,14◄─►81,deepseek-r1,1413,±14,1636,DeepSeek,MIT
48,13◄─►84,grok-4-fast-reasoning,1412,±18,1055,xAI,Proprietary
