Rank,Rank Spread,Model,Score,95% CI (±),Votes,Organization,License
1,1◄─►2,gemini-3-pro,1490,±6,20141,Google,Proprietary
2,1◄─►7,gemini-3-flash,1478Preliminary,±9,5333,Google,Proprietary
3,2◄─►6,grok-4.1-thinking,1477,±6,20967,xAI,Proprietary
4,2◄─►7,Anthropicclaude-opus-4-5-20251101-thinking-32k,1469,±6,13596,Anthropic,Proprietary
5,2◄─►7,Anthropicclaude-opus-4-5-20251101,1467,±6,14395,Anthropic,Proprietary
6,3◄─►8,grok-4.1,1464,±5,21934,xAI,Proprietary
7,2◄─►11,gemini-3-flash (thinking-minimal),1463Preliminary,±9,5629,Google,Proprietary
8,6◄─►14,gpt-5.1-high,1455,±6,17868,OpenAI,Proprietary
9,7◄─►16,gemini-2.5-pro,1451,±3,80690,Google,Proprietary
10,8◄─►16,Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1450,±4,31992,Anthropic,Proprietary
11,8◄─►17,Anthropicclaude-opus-4-1-20250805-thinking-16k,1448,±4,47738,Anthropic,Proprietary
12,8◄─►19,Anthropicclaude-sonnet-4-5-20250929,1447,±5,27356,Anthropic,Proprietary
13,7◄─►24,ernie-5.0-preview-1203,1446Preliminary,±11,3185,Baidu,Proprietary
14,7◄─►25,gpt-5.2,1443Preliminary,±12,2435,OpenAI,Proprietary
15,9◄─►23,gpt-4.5-preview-2025-02-27,1443,±6,14646,OpenAI,Proprietary
16,11◄─►21,Anthropicclaude-opus-4-1-20250805,1441,±4,60843,Anthropic,Proprietary
17,12◄─►21,chatgpt-4o-latest-20250326,1440,±3,67658,OpenAI,Proprietary
18,9◄─►25,gpt-5.2-high,1440Preliminary,±9,6193,OpenAI,Proprietary
19,12◄─►25,gpt-5.1,1438,±6,19276,OpenAI,Proprietary
20,13◄─►25,gpt-5-high,1436,±5,32759,OpenAI,Proprietary
21,15◄─►26,o3-2025-04-16,1433,±4,61371,OpenAI,Proprietary
22,13◄─►29,qwen3-max-preview,1433,±5,28023,Alibaba,Proprietary
23,16◄─►37,grok-4-1-fast-reasoning,1430,±6,13526,xAI,Proprietary
24,15◄─►42,ernie-5.0-preview-1103,1429,±8,7430,Baidu,Proprietary
25,17◄─►40,MoonshotAIkimi-k2-thinking-turbo,1428,±5,19526,Moonshot,Modified MIT
26,22◄─►44,gpt-5-chat,1425,±4,32021,OpenAI,Proprietary
27,22◄─►44,glm-4.6,1424,±4,27979,Z.ai,MIT
28,21◄─►44,qwen3-max-2025-09-23,1424,±6,9222,Alibaba,Proprietary
29,22◄─►44,deepseek-v3.2-exp,1423,±7,11926,DeepSeek AI,MIT
30,23◄─►44,Anthropicclaude-opus-4-20250514-thinking-16k,1423,±4,37703,Anthropic,Proprietary
31,23◄─►46,deepseek-v3.2-exp-thinking,1422,±7,9188,DeepSeek AI,MIT
32,23◄─►47,deepseek-v3.2-thinking,1422,±7,9657,DeepSeek AI,MIT
33,23◄─►44,qwen3-235b-a22b-instruct-2507,1421,±4,55241,Alibaba,Apache 2.0
34,23◄─►49,grok-4-fast-chat,1420,±8,7036,xAI,Proprietary
35,23◄─►50,deepseek-v3.2,1419,±7,11544,DeepSeek AI,MIT
36,23◄─►50,MoonshotAIkimi-k2-0905-preview,1419,±7,11873,Moonshot,Modified MIT
37,24◄─►49,deepseek-r1-0528,1418,±6,19162,DeepSeek,MIT
38,24◄─►51,mistral-large-3,1417,±7,10299,Mistral,Apache 2.0
39,25◄─►51,deepseek-v3.1,1417,±6,15210,DeepSeek,MIT
40,26◄─►50,MoonshotAIkimi-k2-0711-preview,1416,±5,28520,Moonshot,Modified MIT
41,25◄─►51,deepseek-v3.1-thinking,1416,±7,11944,DeepSeek,MIT
42,23◄─►55,deepseek-v3.1-terminus,1415,±10,3733,DeepSeek AI,MIT
43,26◄─►52,qwen3-vl-235b-a22b-instruct,1414,±7,9449,Alibaba,Apache 2.0
44,24◄─►58,deepseek-v3.1-terminus-thinking,1414,±10,3508,DeepSeek AI,MIT
45,32◄─►52,gpt-4.1-2025-04-14,1412,±4,52374,OpenAI,Proprietary
46,32◄─►52,Anthropicclaude-opus-4-20250514,1412,±4,45461,Anthropic,Proprietary
47,33◄─►52,mistral-medium-2508,1411,±4,49247,Mistral,Proprietary
48,34◄─►55,grok-3-preview-02-24,1410,±4,34041,xAI,Proprietary
49,36◄─►57,grok-4-0709,1409,±4,42387,xAI,Proprietary
50,34◄─►58,glm-4.5,1409,±5,24723,Z.ai,MIT
51,39◄─►57,gemini-2.5-flash,1408,±3,80226,Google,Proprietary
52,42◄─►63,gemini-2.5-flash-preview-09-2025,1405,±4,33373,Google,Proprietary
53,46◄─►64,Anthropicclaude-haiku-4-5-20251001,1402,±4,30384,Anthropic,Proprietary
54,46◄─►64,grok-4-fast-reasoning,1402,±5,18804,xAI,Proprietary
55,48◄─►65,o1-2024-12-17,1401,±4,28039,OpenAI,Proprietary
56,48◄─►67,qwen3-next-80b-a3b-instruct,1400,±5,23005,Alibaba,Apache 2.0
57,46◄─►68,longcat-flash-chat,1400,±6,11465,Meituan,MIT
58,50◄─►67,qwen3-235b-a22b-no-thinking,1400,±4,39231,Alibaba,Apache 2.0
59,52◄─►68,Anthropicclaude-sonnet-4-20250514-thinking-32k,1399,±4,36055,Anthropic,Proprietary
60,52◄─►73,qwen3-235b-a22b-thinking-2507,1397,±6,9310,Alibaba,Apache 2.0
61,52◄─►72,deepseek-r1,1396,±5,18722,DeepSeek,MIT
62,52◄─►75,qwen3-vl-235b-a22b-thinking,1394,±7,7959,Alibaba,Apache 2.0
63,56◄─►73,deepseek-v3-0324,1392,±4,46613,DeepSeek,MIT
64,55◄─►74,gpt-5-mini-high,1392,±5,27328,OpenAI,Proprietary
65,52◄─►80,Tencenthunyuan-vision-1.5-thinking,1391,±12,2204,Tencent,Proprietary
66,58◄─►75,o4-mini-2025-04-16,1391,±4,46697,OpenAI,Proprietary
67,56◄─►76,mai-1-preview,1391,±5,18102,Microsoft AI,Proprietary
68,60◄─►77,Anthropicclaude-sonnet-4-20250514,1389,±4,41477,Anthropic,Proprietary
69,53◄─►82,mimo-v2-flash (non-thinking),1388,±12,2604,Xiaomi,MIT
70,60◄─►78,o1-preview,1387,±5,31505,OpenAI,Proprietary
71,61◄─►77,Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1387,±4,39815,Anthropic,Proprietary
72,60◄─►78,qwen3-coder-480b-a35b-instruct,1386,±5,24124,Alibaba,Apache 2.0
73,60◄─►81,Tencenthunyuan-t1-20250711,1385,±9,4802,Tencent,Proprietary
74,63◄─►80,mistral-medium-2505,1383,±5,34390,Mistral,Proprietary
75,64◄─►80,qwen3-30b-a3b-instruct-2507,1382,±5,24105,Alibaba,Apache 2.0
76,67◄─►81,gpt-4.1-mini-2025-04-14,1381,±4,40365,OpenAI,Proprietary
77,66◄─►85,Tencenthunyuan-turbos-20250416,1380,±6,11094,Tencent,Proprietary
78,69◄─►85,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1378,±4,33428,Google,Proprietary
79,71◄─►86,gemini-2.5-flash-lite-preview-06-17-thinking,1375,±4,33803,Google,Proprietary
80,71◄─►87,qwen3-235b-a22b,1374,±5,27066,Alibaba,Apache 2.0
81,74◄─►87,qwen2.5-max,1373,±4,33497,Alibaba,Proprietary
82,77◄─►87,Anthropicclaude-3-5-sonnet-20241022,1372,±3,89725,Anthropic,Proprietary
83,77◄─►90,Anthropicclaude-3-7-sonnet-20250219,1371,±4,44474,Anthropic,Proprietary
84,77◄─►90,glm-4.5-air,1370,±4,31522,Z.ai,MIT
85,79◄─►94,qwen3-next-80b-a3b-thinking,1367,±6,13762,Alibaba,Apache 2.0
86,80◄─►93,Minimaxminimax-m1,1366,±4,36709,MiniMax,Apache 2.0
87,76◄─►102,amazon-nova-experimental-chat-11-10,1365Preliminary,±11,3479,Amazon,Proprietary
88,83◄─►94,gemma-3-27b-it,1364,±4,49174,Google,Gemma
89,83◄─►98,o3-mini-high,1362,±5,18725,OpenAI,Proprietary
90,83◄─►98,grok-3-mini-high,1362,±5,17496,xAI,Proprietary
91,85◄─►101,gemini-2.0-flash-001,1360,±4,45008,Google,Proprietary
92,85◄─►109,deepseek-v3,1357,±5,21995,DeepSeek,DeepSeek
93,86◄─►109,grok-3-mini-beta,1357,±5,23693,xAI,Proprietary
94,85◄─►115,intellect-3,1355,±8,5426,Prime Intellect,MIT
95,88◄─►114,mistral-small-2506,1355,±5,18247,Mistral,Apache 2.0
96,90◄─►115,gpt-oss-120b,1353,±4,31118,OpenAI,Apache 2.0
97,90◄─►114,gemini-2.0-flash-lite-preview-02-05,1352,±4,25222,Google,Proprietary
98,88◄─►117,glm-4.5v,1352,±8,4967,Z.ai,MIT
99,91◄─►114,Coherecommand-a-03-2025,1352,±3,57626,Cohere,CC-BY-NC-4.0
100,92◄─►115,gemini-1.5-pro-002,1351,±3,56014,Google,Proprietary
101,94◄─►117,o3-mini,1348,±3,58682,OpenAI,Proprietary
102,92◄─►118,amazon-nova-experimental-chat-10-20,1347,±6,11625,Amazon,Proprietary
103,88◄─►127,Tencenthunyuan-turbos-20250226,1346,±12,2254,Tencent,Proprietary
104,92◄─►122,Stepfunstep-3,1346,±7,6611,StepFun,Apache 2.0
105,92◄─►121,ling-flash-2.0,1346,±7,7120,Ant Group,MIT
106,90◄─►127,amazon-nova-experimental-chat-10-09,1346,±11,2878,Amazon,Proprietary
107,92◄─►124,Minimaxminimax-m2,1346,±8,7084,MiniMax,Apache 2.0
108,88◄─►128,Nvidiallama-3.1-nemotron-ultra-253b-v1,1346,±12,2573,Nvidia,Nvidia Open Model
109,97◄─►117,gpt-4o-2024-05-13,1345,±3,113568,OpenAI,Proprietary
110,92◄─►127,qwen3-32b,1345,±9,3944,Alibaba,Apache 2.0
111,92◄─►127,qwen-plus-0125,1344,±8,5862,Alibaba,Proprietary
112,94◄─►127,glm-4-plus-0111,1343,±8,5808,Zhipu,Proprietary
