Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
google/facts,gemini-3-pro-preview,Average,1,,0.6881958831381151,,,
google/facts,gemini-3-pro-preview,"Grounding Score",1,,0.6902680652680653,0.021877179628493497,0.021877179628493497,
google/facts,gemini-3-pro-preview,"Multimodal Score",1,,0.46067729435,0.035615289635,0.035615289635,
google/facts,gemini-3-pro-preview,"Search Score",1,,0.8375796178343949,0.0162137706526701,0.0162137706526701,
google/facts,gemini-3-pro-preview,"Parametric Score",1,,0.7642585551,0.0181369121,0.0181369121,
google/facts,gemini-2.5-pro,Average,1,,0.6205365688033265,,,
google/facts,gemini-2.5-pro,"Grounding Score",1,,0.7428737638161722,0.020660501509208146,0.020660501509208146,
google/facts,gemini-2.5-pro,"Multimodal Score",1,,0.46860820194999997,0.035613374795,0.035613374795,
google/facts,gemini-2.5-pro,"Search Score",1,,0.6385350318471338,0.0202138547304376,0.0202138547304376,
google/facts,gemini-2.5-pro,"Parametric Score",1,,0.6321292776,0.02060515039,0.02060515039,
google/facts,gpt-5-2025-08-07,Average,1,,0.6180432292695748,,,
google/facts,gpt-5-2025-08-07,"Grounding Score",1,,0.6963350785340314,0.021737850754493245,0.021737850754493245,
google/facts,gpt-5-2025-08-07,"Multimodal Score",1,,0.44078298395000004,0.03547107771,0.03547107771,
google/facts,gpt-5-2025-08-07,"Search Score",1,,0.7770700636942676,0.0159080722116933,0.0159080722116933,
google/facts,gpt-5-2025-08-07,"Parametric Score",1,,0.5579847909,0.02122047058,0.02122047058,
google/facts,grok-4-0709,Average,1,,0.5358011281715549,,,
google/facts,grok-4-0709,"Grounding Score",1,,0.5474388824214202,0.023536557940271378,0.023536557940271378,
google/facts,grok-4-0709,"Multimodal Score",1,,0.2570295860890035,0.031166799166746362,0.031166799166746362,
google/facts,grok-4-0709,"Search Score",1,,0.7531847133757962,0.017908382782756,0.017908382782756,
google/facts,grok-4-0709,"Parametric Score",1,,0.5855513308,0.021049563,0.021049563,
google/facts,o3-2025-04-16,Average,1,,0.5199995583252819,,,
google/facts,o3-2025-04-16,"Grounding Score",1,,0.3621291448516579,0.022719997114384063,0.022719997114384063,
google/facts,o3-2025-04-16,"Multimodal Score",1,,0.3991747402,0.0349738135,0.0349738135,
google/facts,o3-2025-04-16,"Search Score",1,,0.7478768577494692,0.0198482327449783,0.0198482327449783,
google/facts,o3-2025-04-16,"Parametric Score",1,,0.5708174905,0.02114924492,0.02114924492,
google/facts,claude-opus-4-5-20251101,Average,1,,0.5125903585049715,,,
google/facts,claude-opus-4-5-20251101,"Grounding Score",1,,0.6206293706,0.02295818039,0.02295818039,
google/facts,claude-opus-4-5-20251101,"Multimodal Score",1,,0.39165280550000003,0.035192365535,0.035192365535,
google/facts,claude-opus-4-5-20251101,"Search Score",1,,0.732484076433121,0.017171092345267,0.017171092345267,
google/facts,claude-opus-4-5-20251101,"Parametric Score",1,,0.3055951814867649,0.0196882932156137,0.0196882932156137,
google/facts,gpt-4.1-2025-04-14,Average,1,,0.5046573342929961,,,
google/facts,gpt-4.1-2025-04-14,"Grounding Score",1,,0.456369982547993,0.023546176916482267,0.023546176916482267,
google/facts,gpt-4.1-2025-04-14,"Multimodal Score",1,,0.4010841994,0.035019918994999996,0.035019918994999996,
google/facts,gpt-4.1-2025-04-14,"Search Score",1,,0.6459660297239915,0.0222245781252529,0.0222245781252529,
google/facts,gpt-4.1-2025-04-14,"Parametric Score",1,,0.5152091255,0.02135473639,0.02135473639,
google/facts,gemini-2.5-flash,Average,1,,0.5039963457012847,,,
google/facts,gemini-2.5-flash,"Grounding Score",1,,0.699825479930192,0.02166665861202827,0.02166665861202827,
google/facts,gemini-2.5-flash,"Multimodal Score",1,,0.4098132817,0.03513287587,0.03513287587,
google/facts,gemini-2.5-flash,"Search Score",1,,0.5997876857749469,0.0224012552685725,0.0224012552685725,
google/facts,gemini-2.5-flash,"Parametric Score",1,,0.3065589354,0.01970094194,0.01970094194,
google/facts,gpt-5.1-2025-11-13,Average,1,,0.49367455121401277,,,
google/facts,gpt-5.1-2025-11-13,"Grounding Score",1,,0.5002913753,0.0236569842,0.0236569842,
google/facts,gpt-5.1-2025-11-13,"Multimodal Score",1,,0.418010359,0.03520258363,0.03520258363,
google/facts,gpt-5.1-2025-11-13,"Search Score",1,,0.6242038216560509,0.021017843923894,0.021017843923894,
google/facts,gpt-5.1-2025-11-13,"Parametric Score",1,,0.4321926489,0.0211672489,0.0211672489,
google/facts,claude-sonnet-4-5-thinking-20250929,Average,1,,0.479035215590499,,,
google/facts,claude-sonnet-4-5-thinking-20250929,"Grounding Score",1,,0.6177156177,0.02299201415,0.02299201415,
google/facts,claude-sonnet-4-5-thinking-20250929,"Multimodal Score",1,,0.3106767038,0.032990384495,0.032990384495,
google/facts,claude-sonnet-4-5-thinking-20250929,"Search Score",1,,0.6979830148619958,0.0195709955286104,0.0195709955286104,
google/facts,claude-sonnet-4-5-thinking-20250929,"Parametric Score",1,,0.289765526,0.01938427022,0.01938427022,
google/facts,claude-opus-4-1-20250805,Average,1,,0.46520640915557887,,,
google/facts,claude-opus-4-1-20250805,"Grounding Score",1,,0.5477299185098953,0.023535242250018393,0.023535242250018393,
google/facts,claude-opus-4-1-20250805,"Multimodal Score",1,,0.33118985485,0.033971098465,0.033971098465,
google/facts,claude-opus-4-1-20250805,"Search Score",1,,0.6496815286624203,0.0189852949647192,0.0189852949647192,
google/facts,claude-opus-4-1-20250805,"Parametric Score",1,,0.3322243346,0.02012594297,0.02012594297,
google/facts,gpt-5-mini-2025-08-07,Average,1,,0.4592882508622942,,,
google/facts,gpt-5-mini-2025-08-07,"Grounding Score",1,,0.583041958041958,0.02332843104554183,0.02332843104554183,
google/facts,gpt-5-mini-2025-08-07,"Multimodal Score",1,,0.4147483514,0.035180990135,0.035180990135,
google/facts,gpt-5-mini-2025-08-07,"Search Score",1,,0.6788747346072187,0.0185730370609391,0.0185730370609391,
google/facts,gpt-5-mini-2025-08-07,"Parametric Score",1,,0.1604879594,0.0156841113,0.0156841113,
google/facts,claude-sonnet-4-20250514,Average,1,,0.42847430165700856,,,
google/facts,claude-sonnet-4-20250514,"Grounding Score",1,,0.5607911576497964,0.02346098645394516,0.02346098645394516,
google/facts,claude-sonnet-4-20250514,"Multimodal Score",1,,0.28625754285,0.032492589934999996,0.032492589934999996,
google/facts,claude-sonnet-4-20250514,"Search Score",1,,0.6629511677282378,0.0186258950375829,0.0186258950375829,
google/facts,claude-sonnet-4-20250514,"Parametric Score",1,,0.2038973384,0.01721533743,0.01721533743,
google/facts,o4-mini-2025-04-16,Average,1,,0.37635100881902633,,,
google/facts,o4-mini-2025-04-16,"Grounding Score",1,,0.29348458406050026,0.021526014121547872,0.021526014121547872,
google/facts,o4-mini-2025-04-16,"Multimodal Score",1,,0.34465116035,0.033918306195,0.033918306195,
google/facts,o4-mini-2025-04-16,"Search Score",1,,0.6624203821656051,0.0201843924295658,0.0201843924295658,
google/facts,o4-mini-2025-04-16,"Parametric Score",1,,0.2048479087,0.01724511494,0.01724511494,
google/facts,grok-4-fast-reasoning,Average,1,,0.3598614903466032,,,
google/facts,grok-4-fast-reasoning,"Grounding Score",1,,0.4314868804664723,0.023440672768366387,0.023440672768366387,
google/facts,grok-4-fast-reasoning,"Multimodal Score",1,,0.1773702850016814,0.0272461956559606,0.0272461956559606,
google/facts,grok-4-fast-reasoning,"Search Score",1,,0.673036093418259,0.0189588324449446,0.0189588324449446,
google/facts,grok-4-fast-reasoning,"Parametric Score",1,,0.1575527025,0.01557086552,0.01557086552,
google/facts,claude-3-5-sonnet-20241022,Average,1,,,,,
google/facts,claude-3-5-sonnet-20241022,"Grounding Score",1,,,,,
google/facts,claude-3-5-sonnet-20241022,"Multimodal Score",1,,,,,
google/facts,claude-3-5-sonnet-20241022,"Search Score",1,,,,,
google/facts,claude-3-5-sonnet-20241022,"Parametric Score",1,,,,,
google/facts,gemini-1.5-pro-002,Average,1,,,,,
google/facts,gemini-1.5-pro-002,"Grounding Score",1,,,,,
google/facts,gemini-1.5-pro-002,"Multimodal Score",1,,,,,
google/facts,gemini-1.5-pro-002,"Search Score",1,,,,,
google/facts,gemini-1.5-pro-002,"Parametric Score",1,,,,,
google/facts,gemini-1.5-flash-002,Average,1,,,,,
google/facts,gemini-1.5-flash-002,"Grounding Score",1,,,,,
google/facts,gemini-1.5-flash-002,"Multimodal Score",1,,,,,
google/facts,gemini-1.5-flash-002,"Search Score",1,,,,,
google/facts,gemini-1.5-flash-002,"Parametric Score",1,,,,,
google/facts,gemini-1.5-flash-8b-001,Average,1,,,,,
google/facts,gemini-1.5-flash-8b-001,"Grounding Score",1,,,,,
google/facts,gemini-1.5-flash-8b-001,"Multimodal Score",1,,,,,
google/facts,gemini-1.5-flash-8b-001,"Search Score",1,,,,,
google/facts,gemini-1.5-flash-8b-001,"Parametric Score",1,,,,,
google/facts,gemini-2.0-flash-001,Average,1,,,,,
google/facts,gemini-2.0-flash-001,"Grounding Score",1,,,,,
google/facts,gemini-2.0-flash-001,"Multimodal Score",1,,,,,
google/facts,gemini-2.0-flash-001,"Search Score",1,,,,,
google/facts,gemini-2.0-flash-001,"Parametric Score",1,,,,,
google/facts,gemini-2.5-pro-preview-05-06,Average,1,,,,,
google/facts,gemini-2.5-pro-preview-05-06,"Grounding Score",1,,,,,
google/facts,gemini-2.5-pro-preview-05-06,"Multimodal Score",1,,,,,
google/facts,gemini-2.5-pro-preview-05-06,"Search Score",1,,,,,
google/facts,gemini-2.5-pro-preview-05-06,"Parametric Score",1,,,,,
google/facts,grok-2-1212,Average,1,,,,,
google/facts,grok-2-1212,"Grounding Score",1,,,,,
google/facts,grok-2-1212,"Multimodal Score",1,,,,,
google/facts,grok-2-1212,"Search Score",1,,,,,
google/facts,grok-2-1212,"Parametric Score",1,,,,,
google/facts,o3-mini-2025-01-31,Average,1,,,,,
google/facts,o3-mini-2025-01-31,"Grounding Score",1,,,,,
google/facts,o3-mini-2025-01-31,"Multimodal Score",1,,,,,
google/facts,o3-mini-2025-01-31,"Search Score",1,,,,,
google/facts,o3-mini-2025-01-31,"Parametric Score",1,,,,,
google/facts,o1-mini-2024-09-12,Average,1,,,,,
google/facts,o1-mini-2024-09-12,"Grounding Score",1,,,,,
google/facts,o1-mini-2024-09-12,"Multimodal Score",1,,,,,
google/facts,o1-mini-2024-09-12,"Search Score",1,,,,,
google/facts,o1-mini-2024-09-12,"Parametric Score",1,,,,,
google/facts,o1-2024-12-17,Average,1,,,,,
google/facts,o1-2024-12-17,"Grounding Score",1,,,,,
google/facts,o1-2024-12-17,"Multimodal Score",1,,,,,
google/facts,o1-2024-12-17,"Search Score",1,,,,,
google/facts,o1-2024-12-17,"Parametric Score",1,,,,,
google/facts,gpt-4o-mini-2024-07-18,Average,1,,,,,
google/facts,gpt-4o-mini-2024-07-18,"Grounding Score",1,,,,,
google/facts,gpt-4o-mini-2024-07-18,"Multimodal Score",1,,,,,
google/facts,gpt-4o-mini-2024-07-18,"Search Score",1,,,,,
google/facts,gpt-4o-mini-2024-07-18,"Parametric Score",1,,,,,
google/facts,claude-3-5-haiku-20241022,Average,1,,,,,
google/facts,claude-3-5-haiku-20241022,"Grounding Score",1,,,,,
google/facts,claude-3-5-haiku-20241022,"Multimodal Score",1,,,,,
google/facts,claude-3-5-haiku-20241022,"Search Score",1,,,,,
google/facts,claude-3-5-haiku-20241022,"Parametric Score",1,,,,,
google/facts,claude-3-7-sonnet-20250219,Average,1,,,,,
google/facts,claude-3-7-sonnet-20250219,"Grounding Score",1,,,,,
google/facts,claude-3-7-sonnet-20250219,"Multimodal Score",1,,,,,
google/facts,claude-3-7-sonnet-20250219,"Search Score",1,,,,,
google/facts,claude-3-7-sonnet-20250219,"Parametric Score",1,,,,,
google/facts,ministral-3b-2410,Average,1,,,,,
google/facts,ministral-3b-2410,"Grounding Score",1,,,,,
google/facts,ministral-3b-2410,"Multimodal Score",1,,,,,
google/facts,ministral-3b-2410,"Search Score",1,,,,,
google/facts,ministral-3b-2410,"Parametric Score",1,,,,,
google/facts,ministral-8b-2410,Average,1,,,,,
google/facts,ministral-8b-2410,"Grounding Score",1,,,,,
google/facts,ministral-8b-2410,"Multimodal Score",1,,,,,
