model_name,accuracy,latency,stderr,cost_per_test
google/gemini-3-pro-preview,96.4,32.1462,0.8331,0.050514
grok/grok-4-0709,96.2,27.2612,0.8551,0.037425
openai/gpt-5-2025-08-07,96.0,32.2169,0.8764,0.020071
anthropic/claude-opus-4-1-20250805-thinking,95.4,45.9791,0.9368,0.202262
google/gemini-2.5-pro-exp-03-25,95.2,25.8278,0.956,0.007941
fireworks/gpt-oss-120b,94.8,16.2754,0.9929,0.001381
openai/gpt-5-mini-2025-08-07,94.8,12.0573,0.9929,0.003686
fireworks/qwen3-235b-a22b,94.6,142.7537,1.0108,0.003361
openai/o3-2025-04-16,94.6,16.5909,1.0108,0.010795
together/moonshotai/Kimi-K2-Instruct,94.2,37.3456,1.0453,0.002985
fireworks/gpt-oss-20b,94.2,31.4721,1.0453,0.000955
grok/grok-3-mini-fast-high-reasoning,94.2,22.7659,1.0453,0.001879
openai/o4-mini-2025-04-16,94.2,12.536,1.0453,0.004784
zai/glm-4.5,94.0,84.9278,1.0621,0.012744
anthropic/claude-sonnet-4-20250514-thinking,93.8,63.4737,1.0785,0.068378
openai/gpt-5-nano-2025-08-07,93.8,22.3963,1.0785,0.001664
anthropic/claude-opus-4-1-20250805,93.0,30.9324,1.1411,0.045983
fireworks/deepseek-r1,92.2,156.4744,2.3636,0.010886
google/gemini-2.5-flash-preview-04-17-thinking,91.8,23.6566,1.227,0.011241
openai/o3-mini-2025-01-31,91.8,14.3649,2.4168,0.007661
anthropic/claude-3-7-sonnet-20250219-thinking,91.6,94.2423,1.2405,0.125312
google/gemini-2.5-flash-preview-04-17,91.6,9.4965,1.2405,0.006461
together/langston/nim/nvidia/llama-3.3-nemotron-super-49b-v1-42e84561-thinking,91.4,42.8278,1.2538,
openai/o1-2024-12-17,90.4,23.5374,2.5907,0.095269
anthropic/claude-opus-4-20250514,90.4,14.8123,1.3175,0.045429
anthropic/claude-sonnet-4-20250514,90.3226,10.0276,1.2879,0.010201
grok/grok-3,89.8,9.0854,1.3535,0.012781
minimax/MiniMax-M2.1,89.0,59.6924,1.3993,0.004642
google/gemini-2.0-flash-exp,89.0,3.3524,2.7482,0.0002
fireworks/deepseek-v3-0324,88.6,12.5448,1.4213,0.00074
openai/gpt-4.1-mini-2025-04-14,88.0,5.7599,1.4533,0.00122
google/gemini-2.0-flash-001,88.0,3.3669,2.8522,0.00026
openai/gpt-4.1-2025-04-14,87.2,12.53,1.4941,0.009426
mistralai/mistral-medium-2505,87.0,14.1295,1.504,0.001841
fireworks/llama4-maverick-instruct-basic,85.2,7.4688,1.5881,0.00059
google/gemini-2.0-flash-thinking-exp-01-21,84.6,11.8014,3.1627,0.000387
google/gemini-1.5-pro-002,82.8,5.0206,3.3047,0.002164
fireworks/deepseek-v3,80.4,7.9395,1.7753,0.000563
openai/gpt-4.1-nano-2025-04-14,80.2,3.3717,1.7821,0.000314
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,79.2,10.5232,1.8151,0.00043
google/gemini-1.5-flash-002,78.8,2.6452,3.5756,0.00012
grok/grok-2-1212,78.4,20.4402,3.5998,0.006277
anthropic/claude-3-7-sonnet-20250219,76.8,5.527,1.8877,0.006868
cohere/command-a-03-2025,76.2,8.6649,1.9045,0.005983
openai/gpt-4o-2024-08-06,75.2,12.2911,3.7757,0.005641
mistralai/mistral-large-2411,74.4,9.9279,3.8153,0.003323
openai/gpt-4o-2024-11-20,74.0,12.8036,3.8344,0.008846
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,73.4,5.414,3.8624,0.000698
openai/gpt-4o-mini-2024-07-18,72.6,6.3042,3.8982,0.00035
anthropic/claude-3-5-sonnet-20241022,72.4,4.6275,3.907,0.004988
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,71.4,45.3044,3.9492,0.002967
together/langston/nim/nvidia/llama-3.3-nemotron-super-49b-v1-42e84561,71.2,12.5503,2.0251,
mistralai/mistral-small-2402,70.6,4.8851,3.9812,0.000327
grok/grok-3-mini-fast-low-reasoning,70.2,9.885,2.0455,0.000893
mistralai/mistral-small-2503,68.4,6.4058,2.0792,0.000158
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,65.0,9.2011,4.1663,0.001035
anthropic/claude-3-5-haiku-20241022,64.2,5.1278,4.1875,0.001498
ai21labs/jamba-large-1.6,54.8,13.0066,2.2257,0.00395
together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,44.4,5.8412,4.3386,0.000351
ai21labs/jamba-mini-1.6,25.4,4.8589,1.9467,0.000306
