model_name,accuracy,latency,stderr,cost_per_test
anthropic/claude-opus-4-5-20251101-thinking,95.2,11.56,1.2844,0.063151
anthropic/claude-opus-4-5-20251101,94.7636,5.56,1.3499,0.027118
anthropic/claude-opus-4-1-20250805-thinking,94.4364,14.2818,1.4289,0.054705
anthropic/claude-sonnet-4-5-20250929-thinking,94.3273,10.2709,1.4156,0.011286
anthropic/claude-opus-4-1-20250805,94.2182,7.8964,1.4559,0.027189
openai/gpt-5.2-2025-12-11,94.0,10.5957,1.4158,0.010576
google/gemini-3-pro-preview,93.9273,12.8991,1.4133,0.003342
anthropic/claude-opus-4-20250514,93.7818,10.1009,1.4989,0.027191
openai/o4-mini-2025-04-16,93.4182,8.0682,1.5066,0.002905
google/gemini-3-flash-preview,93.3091,14.0203,1.4561,0.007116
anthropic/claude-sonnet-4-20250514,93.0182,5.9855,1.5626,0.00576
anthropic/claude-3-7-sonnet-20250219-thinking,92.9818,23.5118,1.5681,0.025944
openai/gpt-5.1-2025-11-13,92.9818,8.3464,1.5365,0.001675
openai/gpt-5-2025-08-07,92.8364,20.3536,1.5591,0.014278
openai/gpt-5-mini-2025-08-07,92.5818,12.5736,1.5898,0.003698
anthropic/claude-3-5-sonnet-20241022,92.5818,4.0991,1.6162,0.004012
fireworks/qwen3-235b-a22b,92.4727,31.8973,1.6249,0.001108
fireworks/llama4-maverick-instruct-basic,92.4364,2.7136,1.6347,0.000218
anthropic/claude-3-7-sonnet-20250219,92.4,4.8627,1.6265,0.00566
fireworks/deepseek-r1,92.2545,10.1673,1.655,0.006274
alibaba/qwen3-max-preview,92.1455,21.1582,1.6436,0.002344
fireworks/deepseek-v3,92.1455,15.68,1.663,0.000364
anthropic/claude-haiku-4-5-20251001-thinking,92.1455,9.6236,1.6493,0.006874
fireworks/gpt-oss-120b,92.0364,5.7936,1.642,0.000659
alibaba/qwen3-max,91.8182,11.4527,1.6771,0.002856
openai/o3-2025-04-16,91.7455,6.76,1.6728,0.003754
fireworks/deepseek-v3-0324,91.6727,18.03,1.6955,0.000527
openai/o3-mini-2025-01-31,91.3455,15.9745,1.7185,0.008194
grok/grok-3,91.3455,5.83,1.7201,0.00567
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,91.0909,3.0082,1.7646,0.000515
together/moonshotai/Kimi-K2-Instruct,90.9455,11.83,1.7656,0.001001
grok/grok-4-0709,90.9091,116.6191,1.7784,0.026131
anthropic/claude-sonnet-4-20250514-thinking,90.8727,14.0873,1.7281,0.014593
fireworks/deepseek-v3p2,90.8727,8.9657,1.7675,0.00015
mistralai/mistral-medium-2505,90.8727,5.0064,1.7284,0.000492
grok/grok-4-fast-reasoning,90.8727,3.8536,1.7813,0.000639
zai/glm-4.5,90.8364,89.55,1.7906,0.006319
openai/gpt-4o-2024-08-06,90.6909,6.7318,1.7886,0.002941
grok/grok-3-mini-fast-high-reasoning,90.4364,10.0691,1.8402,0.000798
grok/grok-3-mini-fast-low-reasoning,90.3636,6.5609,1.8365,0.000509
openai/gpt-4o-2024-11-20,90.3636,3.9827,1.8263,0.004323
kimi/kimi-k2-thinking,90.1455,48.41,1.8298,0.004068
google/gemini-2.5-flash-preview-09-2025,89.8545,3.4127,1.7995,0.001015
google/gemini-2.5-flash-preview-09-2025-thinking,89.8182,5.7345,1.7868,0.001019
zai/glm-4.6,89.7455,34.3064,1.8034,0.004302
grok/grok-4-1-fast-reasoning,89.5273,13.5018,1.8915,0.0001
google/gemini-2.5-flash-lite-preview-09-2025,89.5273,1.4664,1.8938,0.000212
openai/gpt-5-nano-2025-08-07,89.3091,22.7745,1.8921,0.001888
openai/o1-2024-12-17,89.3091,11.2073,1.7794,0.057248
google/gemini-1.5-pro-002,89.2,2.7991,1.9209,0.001014
fireworks/gpt-oss-20b,89.0182,5.7909,1.8898,0.000303
google/gemini-2.0-flash-001,89.0182,1.5364,1.877,0.000102
google/gemini-2.5-flash-lite-preview-09-2025-thinking,88.4,4.5682,1.9276,0.000147
zai/glm-4.7,88.1818,63.1746,1.8279,0.004315
grok/grok-4-fast-non-reasoning,88.0,1.8109,1.9992,0.000338
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,87.9636,3.4973,1.9929,0.000147
minimax/MiniMax-M2.1,87.7818,13.8222,1.8347,0.001329
openai/gpt-4.1-mini-2025-04-14,87.7818,2.7464,1.9279,0.000394
openai/gpt-4.1-2025-04-14,87.6727,2.19,1.9212,0.001684
grok/grok-4-1-fast-non-reasoning,87.5636,3.6827,2.036,0.000136
mistralai/mistral-large-2411,87.2364,8.04,2.0447,0.002954
google/gemini-1.5-flash-002,86.5818,1.4127,2.1258,6.4e-05
mistralai/magistral-small-2509,86.2545,8.04,2.0646,0.001465
openai/gpt-4o-mini-2024-07-18,86.1818,4.0327,2.1328,0.000187
grok/grok-2-1212,86.1455,6.2727,2.0014,0.003759
fireworks/deepseek-v3p2-thinking,86.0364,28.2237,2.0367,0.0004
cohere/command-a-03-2025,85.7091,8.36,2.0158,0.003732
mistralai/mistral-large-2512,85.4182,7.6218,1.7871,0.000472
anthropic/claude-3-5-haiku-20241022,84.6182,3.7382,2.2032,0.001116
mistralai/mistral-small-2503,84.2182,3.8691,2.2095,9.5e-05
mistralai/mistral-small-2402,83.9636,2.9536,2.2382,0.000208
mistralai/magistral-medium-2509,74.6182,11.9318,2.5486,0.005709
ai21labs/jamba-large-1.6,71.2364,9.8618,2.6,0.003816
openai/gpt-4.1-nano-2025-04-14,69.2727,1.4582,2.7993,0.000129
ai21labs/jamba-mini-1.6,41.7091,3.9273,2.8713,0.000279
