benchmark_id,category,spearman_rho,spearman_pvalue,spearman_ci_lower,spearman_ci_upper,kendall_tau,kendall_pvalue,kendall_ci_lower,kendall_ci_upper,rbo,sample_size
AIME,Math,0.42569099273994665,0.0010722565682338156,0.1738875450171303,0.6496938161436824,0.3046671712783764,0.0010275241509375356,0.1181034656760995,0.48764458716149434,0.390379966277539,56
FrontierMath Tier 1-3,Math,0.6370811271768686,0.0009995002498750624,0.3096070420034268,0.8387354653617676,0.459395188708738,0.001999000499750125,0.20032752610538931,0.6893229739048184,0.5107097054959013,26
FrontierMath Tier 4,Math,0.3527855892148543,0.1969015492253873,-0.26168529701015564,0.8216353350419687,0.2966761621020508,0.15792103948025987,-0.17227216504309642,0.7143612271958241,0.4273884277173294,15
HMMT (Feb 2025),Math,0.406060606060606,0.2478760619690155,-0.2222222222222222,0.8251266339869273,0.28888888888888886,0.29485257371314344,-0.09999999999999999,0.6756756756756758,0.2838448111285714,10
MATH-500,Math,0.46739694676824683,0.021989005497251374,0.0627090620558411,0.7662445936677047,0.34214991373298964,0.015992003998001,0.0328370864083994,0.6092587946751922,0.45813039212668905,26
MGSM,Math,0.479851436774144,0.003533793667388766,0.16219034986131112,0.7276252154136523,0.3392716666090935,0.004463099284086009,0.10936965895158286,0.5548076740581581,0.45174686011278525,35
Aider Polyglot,Coding,0.7355840538772346,0.0009995002498750624,0.4771268998682161,0.8833595590039726,0.5495066338700726,0.0009995002498750624,0.3337498337277047,0.7396083382275295,0.48273285196533366,29
HumanEval,Coding,0.027972027972027972,0.912543728135932,-0.5699690047066927,0.6726307442364226,0.0606060606060606,0.8205897051474262,-0.40746812386156644,0.5593220338983051,0.24273590302036363,12
IOI,Coding,0.7305308353240968,0.005997001499250375,0.3599218905779562,0.9272108704272115,0.5797710356524485,0.004997501249375313,0.2741205810493624,0.8318025431034768,0.4928774627921198,15
LiveCodeBench,Coding,0.4270514926238324,0.00043278241183237397,0.17489801460096263,0.6353364471826588,0.3118920608194854,0.00030386194886076703,0.12197334036039297,0.4796406143724475,0.4392766640741625,64
SciCode,Coding,0.559168654345024,1.5658091304087074e-06,0.34331041750722824,0.7173428129840831,0.415817408938854,2.144406862954857e-06,0.2516576697448161,0.5606650590153537,0.5570976172426154,64
SWE-bench (Verified),Coding,0.3244444444444444,0.12493753123438281,-0.12395404222451081,0.6970317238237898,0.24923076923076926,0.09395302348825588,-0.07007492242364853,0.5562873946843584,0.3098577055184998,26
SWE-bench Bash Only,Coding,0.6431201152429967,0.010994502748625687,0.16876735689279887,0.9079260538398722,0.49372817116587664,0.01199400299850075,0.12279363980946671,0.7965332103687444,0.4626739073304356,16
tau2-Bench Telecom,Coding,0.4119675286724715,0.0013129382124629112,0.1434929490799117,0.6245887969105597,0.3011642560660026,0.0009332627669773587,0.10560028675743269,0.47794143355717805,0.31493175053387057,58
Terminal-Bench Hard,Coding,0.6687816789292873,9.59821497105242e-09,0.4837634960767336,0.7955995045066055,0.49542292667400567,5.91138274664417e-08,0.35496740461928405,0.6232427804991278,0.4573696257967203,58
