Model,HumanEval Score,Overall ELO,Coding ELO,HE Rank,Overall Rank,Coding Rank,Rank Diff (HE - Overall),Rank Diff (HE - Coding)
MoonshotAIkimi-k2-0905-preview,94.5,1419.0,1465.0,1.0,2.0,1.0,-1.0,0.0
Anthropicclaude-3-5-sonnet-20241022,93.7,1372.0,1431.0,2.0,4.0,3.0,-2.0,-1.0
o1-mini,92.4,1336.0,1386.0,3.0,10.0,6.0,-7.0,-3.0
Anthropicclaude-3-5-sonnet-20240620,92.0,1342.0,1395.0,4.0,8.0,5.0,-4.0,-1.0
gpt-4o-2024-05-13,90.2,1345.0,1366.0,5.0,7.0,8.0,-2.0,-3.0
Metallama-3.1-405b-instruct-bf16,89.0,1335.0,1372.0,6.0,11.0,7.0,-5.0,-1.0
grok-2-2024-08-13,88.4,1334.0,1357.0,7.0,12.0,10.0,-5.0,-3.0
o1-2024-12-17,88.1,1401.0,1430.0,8.0,3.0,4.0,5.0,4.0
gpt-4.5-preview-2025-02-27,88.0,1443.0,1457.0,9.0,1.0,2.0,8.0,7.0
gemma-3-27b-it,87.8,1364.0,1359.0,10.0,5.0,9.0,5.0,1.0
gemma-3-12b-it,85.39999999999999,1340.0,1317.0,11.0,9.0,12.0,2.0,-1.0
gemini-1.5-pro-002,84.1,1351.0,1354.0,12.0,6.0,11.0,6.0,1.0
