benchmark_id,subset_avg_score,difficulty,is_estimated_difficulty,cv,coefficient_of_variation,n,sample_size,spearman_rho,spearman_pvalue,spearman_ci_lower,spearman_ci_upper,kendall_tau,kendall_pvalue,kendall_ci_lower,kendall_ci_upper,rbo,spearman_rho_overall,spearman_pvalue_overall,kendall_tau_overall,kendall_pvalue_overall,rbo_overall,category,release_date,complexity,question_count
AIME,68.11538461538461,31.884615384615387,False,0.37923511678592736,0.37923511678592736,62,62,0.5567663647990152,2.6099925287811897e-06,0.3497707737008731,0.7221078822808318,0.40587520834731416,3.840368226745138e-06,0.24802839839621602,0.5522652878882067,0.36895573600670317,0.3582715048221524,0.003937575756327591,0.24547885570199932,0.004813688705835708,0.337992144888485,Math,2025-02-06,Analyzing,30
FrontierMath Tier 1-3,9.214285714285714,90.78571428571429,False,0.9547922448610995,0.9547922448610995,35,35,0.8445691005836704,1.8010726431424533e-10,0.6877766841073722,0.9243360130637563,0.6723176257494875,1.666672389927881e-08,0.5178683204349185,0.7996883416252157,0.6863216639666609,0.7438683208343562,3.040840059815475e-07,0.5791753854063595,1.1642921011230464e-06,0.6217597727566224,Math,2024-11-07,Analyzing,290
FrontierMath Tier 4,1.75,98.25,False,1.2170774178652075,1.2170774178652075,23,23,0.7807200471980092,0.0009995002498750624,0.48636084681274167,0.9123791701159717,0.632518272526071,0.0009995002498750624,0.37363305652393886,0.804083459240876,0.7625424210008845,0.6232467174422877,0.001999000499750125,0.5077963596336064,0.001999000499750125,0.7211120268239447,Math,2024-11-07,Analyzing,48
HMMT (Feb 2025),64.55714285714285,35.44285714285715,False,0.44842346103775255,0.44842346103775255,8,8,0.5952380952380953,0.14592703648175911,-0.19012658227848103,1.0,0.4999999999999999,0.1199400299850075,-0.0909090909090909,1.0,0.7792194857142858,0.5333333333333333,0.15692153923038482,0.3888888888888889,0.18590704647676162,0.7656487601785715,Math,2025-02-14,Analyzing,50
MATH-500,91.64000000000001,8.359999999999985,False,0.07956388425850483,0.07956388425850483,27,27,0.8549176915841946,0.0009995002498750624,0.6795045530764339,0.9532911245961675,0.7077480111628305,0.0009995002498750624,0.5314975767735369,0.8619209972882851,0.771687570365884,0.5485103196184881,0.001999000499750125,0.41438891816068796,0.001999000499750125,0.6593616827808851,Math,2023-05-31,Applying,500
MGSM,89.7686,10.231399999999994,False,0.022524807268655106,0.022524807268655106,36,36,0.39210266803430593,0.01802137335113826,0.06115312227174179,0.6617189565941988,0.2820570771691066,0.016370966196824783,0.04151810152537049,0.493949371956263,0.4816896964635457,0.2285788388291515,0.17995192649914415,0.15088457441861083,0.19972318763213504,0.5007341137839746,Math,2022-10-06,Applying,2500
Aider Polyglot,64.56666666666668,35.43333333333332,False,0.394833427226408,0.394833427226408,26,26,0.8053037844301796,0.0009995002498750624,0.5799751131460651,0.9146019691704996,0.6263633643420078,0.0009995002498750624,0.4278809630241206,0.777600725198165,0.6036574183685783,0.6833732866561336,0.0009995002498750624,0.5417982622260374,0.0009995002498750624,0.6514981681113174,Coding,2024-12-21,Applying,225
HumanEval,NaN,9.766666666666652,True,0.031901202339706086,0.031901202339706086,12,12,0.5919448657459025,0.04297851074462768,-0.07536910771198876,0.9566787003610108,0.4732962328281559,0.03498250874562719,-0.06672413793103446,0.8709677419354839,0.8232664060385715,0.16812635240120308,0.5887056471764118,0.1679438245519263,0.4897551224387806,0.6638234913619481,Coding,2021-07-07,Applying,164
IOI,10.151244444444446,89.84875555555556,False,0.8202563629410126,0.8202563629410126,21,21,0.6764133981529971,0.001999000499750125,0.28511940304441935,0.8975116755174274,0.5167523265868932,0.001999000499750125,0.20780249541447646,0.7600228629149824,0.7704213225090617,0.6902830710152725,0.001999000499750125,0.5515730271077477,0.001999000499750125,0.7720198030741791,Coding,2024-09-01,Analyzing,6
LiveCodeBench,66.11111111111111,33.888888888888886,False,0.30337256798385576,0.30337256798385576,72,72,0.37007064441195225,0.001376142359631066,0.1442474690202395,0.5821484803229233,0.26241952157560167,0.0012556363373476644,0.09542972774313933,0.42954508852707735,0.22808776536560588,0.4276348822495142,0.00017913298692374748,0.3072989852663066,0.00015662675526369546,0.36556398907575066,Coding,2024-03-12,Applying,454
SciCode,37.7037037037037,62.2962962962963,False,0.17234867387786088,0.17234867387786088,72,72,0.5252709861722675,2.1655959064026937e-06,0.3287243280568339,0.681461026851952,0.37676509000884295,5.325604202862975e-06,0.2298350486602278,0.5099422958609245,0.45379247746168416,0.55130595992547,5.20279997083607e-07,0.3924535834826721,2.073130689926291e-06,0.5393202426914983,Coding,2024-07-18,Creating,338
SWE-bench (Verified),63.06666666666667,36.93333333333333,False,0.21242685846803863,0.21242685846803863,32,32,0.6060328866366406,0.00023686568340561764,0.27411080307457164,0.8279312613203628,0.4574936279524551,0.00024525043493134135,0.18678101113910228,0.6878576209439301,0.6652572565419863,0.4302080487319603,0.013983703453544133,0.32088815529891984,0.009915704434829068,0.5448528300930612,Coding,2024-08-13,Creating,500
SWE-bench Bash Only,49.90142857142856,50.09857142857144,False,0.2989471795395201,0.2989471795395201,18,18,0.7025357659056002,0.001999000499750125,0.29830923424532385,0.9247723038590616,0.5629262517526437,0.0009995002498750624,0.24457176952308682,0.8252173011799941,0.7750194191212333,0.6064049586776861,0.009995002498750625,0.4671052631578948,0.004997501249375313,0.7575023047361125,Coding,2025-08-19,Creating,500
tau2-Bench Telecom,51.19230769230769,48.80769230769231,False,0.49375593685041236,0.49375593685041236,64,64,0.3323786299828462,0.007288292533838887,0.07281268055985089,0.5585635502525249,0.23819203744006917,0.005973364069824,0.04675490668044385,0.424498579703423,0.2062373058276465,0.45863072424728196,0.0001382115797774035,0.32397598988071236,0.0001795703439852934,0.30567576034763266,Coding,2025-06-11,Creating,50
Terminal-Bench Hard,20.73076923076923,79.26923076923077,False,0.5949161616508167,0.5949161616508167,63,63,0.6059895923478684,1.4190165969075775e-07,0.4125983861600077,0.754584643749913,0.4419890479420244,5.320862038169283e-07,0.2945322006732538,0.5781502347329968,0.4178896256229344,0.6872571223226999,4.957064367728322e-10,0.5056955402394055,9.17702824733199e-09,0.5076176359909095,Coding,2025-05-19,Applying,47
Terminal-Bench v2.0,24.119999999999997,75.88,False,0.388205767952108,0.388205767952108,14,14,0.8417582417582418,0.0029985007496251873,0.43302063223938225,0.9865771812080537,0.7142857142857144,0.0029985007496251873,0.39024390243902435,0.9518072289156626,0.8147481733766189,0.7494505494505495,0.0069965017491254375,0.5384615384615384,0.009995002498750625,0.79366198423571,Coding,2025-11-07,Applying,100
IFBench,45.34615384615385,54.65384615384615,False,0.22963921724729458,0.22963921724729458,63,63,0.416271384505461,0.0006905410417128151,0.16711992122109345,0.6207676105646498,0.2918071890095452,0.0009262473186322652,0.120083295025428,0.4494503350272806,0.22780858483025243,0.397679752443551,0.001248731576527082,0.27901782326990343,0.0015292444369860779,0.29228854359394046,Instruction Following,2025-07-03,Applying,300
