Benchmark_Name,Original_Difficulty,Reference_Difficulty,Reference_Avg_Score
FrontierMath Tier 4,98.25,95.8,4.2
Humanity's Last Exam,89.03703703703704,87.0,13.0
FrontierMath Tier 1-3,90.78571428571428,79.43333333333334,20.566666666666666
Terminal-Bench Hard,79.26923076923077,72.0,28.0
SciCode,62.2962962962963,57.666666666666664,42.333333333333336
IFBench,54.65384615384615,55.0,45.0
Terminal-Bench v2.0,75.88,54.0,46.0
FACTS,49.92212551558533,45.77328404925631,54.22671595074369
AA-LCR,52.30769230769231,41.666666666666664,58.333333333333336
tau2-Bench Telecom,48.80769230769231,37.666666666666664,62.333333333333336
AIME,31.884615384615387,37.0,63.0
LiveCodeBench,33.888888888888886,32.33333333333333,67.66666666666667
SWE-bench (Verified),36.93333333333333,26.533333333333317,73.46666666666668
GPQA Diamond,24.07407407407408,23.66666666666667,76.33333333333333
MMLU-Pro,16.555555555555557,15.0,85.0
GPQA,19.74615384615383,13.966666666666654,86.03333333333335
SuperGPQA,19.74615384615383,13.966666666666654,86.03333333333335
